 4423.8408 3.654   -7.170 -1.61 0.05 -1.58     D M74 7.43 7.40
 4807.7088 3.368  904.227 -2.15 0.05 -2.15     D M74 7.56 7.56
 5001.8636 3.882  725.240 -0.01 0.02 -0.01     D M74 7.41 7.41
 5022.2355 3.984  742.238 -0.33 0.02 -0.56     D M74 7.43 7.66
 5285.1286 4.435 1046.282 -1.66 0.13 -1.62     E M74 7.60 7.56
 5373.7086 4.473 1044.282 -0.71 0.03 -0.76     D M74 7.40 7.45
 5393.1676 3.241  791.237 -0.72 0.02 -0.72 0.03  B91 7.44 7.44
 5473.9005 4.154  738.241 -0.72 0.03 -0.79     D M74 7.48 7.55
 5538.5162 4.218   -7.480 -1.54 0.06 -3.24       K07 7.49 9.19
 5615.6439 3.332  794.241  0.04 0.02  0.05 0.03  B91 7.45 7.44
 5638.2621 4.220  730.235 -0.72 0.02 -0.84     D M74 7.42 7.54
 5717.8329 4.284  758.209 -0.96 0.03 -1.10     D M74 7.50 7.64
 5784.6584 3.397  796.244 -2.67 0.09 -2.53 0.03  B91 7.55 7.41
 6003.0123 3.882  898.241 -1.10 0.02 -1.12       K07 7.58 7.61
 6056.0047 4.733 1029.286 -0.32 0.03 -0.46       K07 7.38 7.52
 6315.8115 4.076  410.250 -1.63 0.10 -1.61       K07 7.48 7.47
 6400.0012 3.603  802.252 -0.27 0.02 -0.29 0.03  B91 7.42 7.44
 6627.5448 4.549  754.209 -1.59 0.10 -1.58       K07 7.57 7.56
 6705.1024 4.607   -7.480 -0.87 0.04 -1.39       K07 7.31 7.83
 6725.3572 4.103  897.241 -2.10 0.10 -2.01       K07 7.36 7.28
 6841.3391 4.607  759.267 -0.49 0.03 -0.78     D M74 7.25 7.54
 6843.6560 4.549  736.216 -0.73 0.03 -0.83     D M74 7.38 7.48
 6916.6815 4.154   -7.180 -1.28 0.03 -1.40     D M74 7.46 7.58
 6999.8841 4.103   -7.208 -1.38 0.03 -1.46     D M74 7.46 7.54
 7007.9701 4.178   -7.179 -1.77 0.04 -1.96       K07 7.37 7.56
 7306.5623 4.178   -7.207 -1.43 0.03 -1.43       K07 7.35 7.35
 7661.1974 4.256   -7.550 -0.88 0.02 -0.83       K07 7.52 7.47
 8571.8052 5.010   -7.480 -1.11 0.04 -1.41       K07 7.48 7.78
 8610.6120 4.435   -7.550 -1.69 0.04 -2.65       K07 7.41 8.37
 8699.4540 4.956   -7.510 -0.37 0.02 -0.38 0.13  O91 7.41 7.42
 8905.9947 5.064   -7.480 -1.22 0.04 -3.65       K07 7.45 9.88
 8945.1900 5.033   -7.530 -0.23 0.03 -0.23       K07 7.46 7.46
 9103.6375 4.178   -7.540 -2.19 0.05 -1.96       K07 7.53 7.30
 9199.4455 5.033   -7.510 -1.12 0.04 -1.01       K07 7.30 7.19
 9786.6450 4.608   -7.550 -1.84 0.04 -1.68       K07 7.46 7.30
10863.5200 4.733   -7.550 -0.90 0.02 -0.90       K07 7.45 7.45
