38806.67 2576.105 6.5 5.5 -0.24050  0.015966 0.25926
38806.67 2576.105 5.5 5.5 -0.21385  0.014197 0.02525
38806.67 2576.105 5.5 4.5 -0.06755  0.004484 0.19697
38806.67 2576.105 4.5 5.5 -0.19130  0.012700 0.00120
38806.67 2576.105 4.5 4.5 -0.04500  0.002987 0.03848
38806.67 2576.105 4.5 3.5  0.07470 -0.004959 0.14550
38806.67 2576.105 3.5 4.5 -0.02655  0.001763 0.00265
38806.67 2576.105 3.5 3.5  0.09315 -0.006184 0.04157
38806.67 2576.105 3.5 2.5  0.18625 -0.012365 0.10393
38806.67 2576.105 2.5 3.5  0.10750 -0.007137 0.00340
38806.67 2576.105 2.5 2.5  0.20060 -0.013317 0.03628
38806.67 2576.105 2.5 1.5  0.26710 -0.017732 0.07143
38806.67 2576.105 1.5 2.5  0.21085 -0.013998 0.00265
38806.67 2576.105 1.5 1.5  0.27735 -0.018412 0.02381
38806.67 2576.105 1.5 0.5  0.31725 -0.021061 0.04762
38543.08 2593.724 5.5 5.5 -0.23550  0.015849 0.25325
38543.08 2593.724 5.5 4.5 -0.08920  0.006003 0.03247
38543.08 2593.724 4.5 5.5 -0.20910  0.014072 0.03247
38543.08 2593.724 4.5 4.5 -0.06280  0.004226 0.15713
38543.08 2593.724 4.5 3.5  0.05690 -0.003829 0.04850
38543.08 2593.724 3.5 4.5 -0.04120  0.002773 0.04850
38543.08 2593.724 3.5 3.5  0.07850 -0.005283 0.09095
38543.08 2593.724 3.5 2.5  0.17160 -0.011548 0.05102
38543.08 2593.724 2.5 3.5  0.09530 -0.006414 0.05102
38543.08 2593.724 2.5 2.5  0.18840 -0.012679 0.04898
38543.08 2593.724 2.5 1.5  0.25490 -0.017154 0.04286
38543.08 2593.724 1.5 2.5  0.20040 -0.013487 0.04286
38543.08 2593.724 1.5 1.5  0.26690 -0.017962 0.02593
38543.08 2593.724 1.5 0.5  0.30680 -0.020647 0.02646
38543.08 2593.724 0.5 1.5  0.27410 -0.018446 0.02646
38543.08 2593.724 0.5 0.5  0.31400 -0.021132 0.02116
38366.18 2605.684 4.5 5.5 -0.29029  0.019717 0.28571
38366.18 2605.684 4.5 4.5 -0.14399  0.009780 0.04409
38366.18 2605.684 4.5 3.5 -0.02429  0.001650 0.00353
38366.18 2605.684 3.5 4.5 -0.06226  0.004229 0.19400
38366.18 2605.684 3.5 3.5  0.05744 -0.003901 0.06450
38366.18 2605.684 3.5 2.5  0.15054 -0.010224 0.00816
38366.18 2605.684 2.5 3.5  0.12098 -0.008217 0.12245
38366.18 2605.684 2.5 2.5  0.21408 -0.014540 0.06612
38366.18 2605.684 2.5 1.5  0.28058 -0.019057 0.01143
