 47- 51|2013 May 24|1, 3, 5, 7, 9|Ne| 3|2200-3900|250000| 60| 90
 52- 56|2013 May 21|1, 3, 5, 7, 9|Ne| 5|2200-3900|250000| 90| 60
 57- 61|2013 May 22|1, 3, 5, 7, 9|Ne|10|2200-3900|250000| 90| 60
 62- 66|2013 May 23|1, 3, 5, 7, 9|Ne|15|2200-3900|250000| 60| 90
 67- 71|2013 May 20|1, 3, 5, 7, 9|Ar| 3|2200-3900|250000|  6|900
 72- 76|2013 May 15|1, 3, 5, 7, 9|Ar| 5|2200-3900|250000| 18|300
 77- 81|2013 May 16|1, 3, 5, 7, 9|Ar|10|2200-3900|250000| 88| 60
 82- 86|2013 May 17|1, 3, 5, 7, 9|Ar|12|2200-3900|250000| 60| 90
 87- 91|2014 Jan 30|1, 3, 5, 7, 9|Ne| 5|2000-2800|250000| 18|300
 92- 96|2014 Jan 31|1, 3, 5, 7, 9|Ne|10|2000-2800|250000| 36|150
 97-101|2014 Feb  3|1, 3, 5, 7, 9|Ne|15|2000-2800|250000| 72| 75
102-106|2014 Feb  5|1, 3, 5, 7, 9|Ar|15|2000-2800|250000| 45|120
107-111|2014 Apr 24|1, 3, 5, 7, 9|Ar|32|2100-3200|250000| 30|120
112-116|2014 Apr 16|1, 3, 5, 7, 9|Ar|40|2100-3200|250000| 20|180
117-121|2014 Apr 17|1, 3, 5, 7, 9|Ar|40|2100-3200|250000| 20|180
122-126|2014 Apr 28|1, 3, 5, 7, 9|Ar|50|2100-3200|250000| 20|180
127-131|2014 May 13|1, 3, 5, 7, 9|Ar|10|2100-3200|250000| 40|180
132-136|2014 May  9|1, 3, 5, 7, 9|Ar|15|2100-3200|250000| 90| 60
137-141|2014 May 14|1, 3, 5, 7, 9|Ne|15|2100-3200|250000|120| 45
