32709.439 3056.3328  6  6 -0.01853  0.001732 0.22569
32709.439 3056.3328  6  5  0.04581 -0.004281 0.04514
32709.439 3056.3328  5  6 -0.07013  0.006554 0.04514
32709.439 3056.3328  5  5 -0.00579  0.000541 0.11546
32709.439 3056.3328  5  4  0.04779 -0.004466 0.06857
32709.439 3056.3328  4  5 -0.04879  0.004559 0.06857
32709.439 3056.3328  4  4  0.00479 -0.000448 0.04527
32709.439 3056.3328  4  3  0.04763 -0.004450 0.07366
32709.439 3056.3328  3  4 -0.02961  0.002767 0.07366
32709.439 3056.3328  3  3  0.01323 -0.001236 0.00868
32709.439 3056.3328  3  2  0.04534 -0.004236 0.06349
32709.439 3056.3328  2  3 -0.01257  0.001175 0.06349
32709.439 3056.3328  2  2  0.01954 -0.001825 0.00050
32709.439 3056.3328  2  1  0.04093 -0.003825 0.04018
32709.439 3056.3328  1  2  0.00234 -0.000218 0.04018
32709.439 3056.3328  1  1  0.02373 -0.002218 0.02232
32665.413 3060.4522  7  7 -0.05799  0.005433 0.20833
32665.413 3060.4522  7  6  0.00040 -0.000037 0.02604
32665.413 3060.4522  6  7 -0.08319  0.007794 0.02604
32665.413 3060.4522  6  6 -0.02480  0.002324 0.13542
32665.413 3060.4522  6  5  0.02520 -0.002361 0.04167
32665.413 3060.4522  5  6 -0.04640  0.004348 0.04167
32665.413 3060.4522  5  5  0.00360 -0.000337 0.08185
32665.413 3060.4522  5  4  0.04523 -0.004238 0.04836
32665.413 3060.4522  4  5 -0.01440  0.001350 0.04836
32665.413 3060.4522  4  4  0.02723 -0.002551 0.04464
32665.413 3060.4522  4  3  0.06052 -0.005670 0.04762
32665.413 3060.4522  3  4  0.01283 -0.001202 0.04762
32665.413 3060.4522  3  3  0.04612 -0.004321 0.02083
32665.413 3060.4522  3  2  0.07107 -0.006659 0.04092
32665.413 3060.4522  2  3  0.03532 -0.003309 0.04092
32665.413 3060.4522  2  2  0.06027 -0.005647 0.00744
32665.413 3060.4522  2  1  0.07690 -0.007205 0.02976
32665.413 3060.4522  1  2  0.05307 -0.004972 0.02976
32665.413 3060.4522  1  1  0.06970 -0.006531 0.00149
32665.413 3060.4522  1  0  0.07801 -0.007309 0.01563
32665.413 3060.4522  0  1  0.06610 -0.006193 0.01563
