wavelength,intensity
243.78943,3.5204366e+11
243.84216,3.839863e+11
243.8949,4.6517767e+11
243.94763,5.4717078e+11
244.00037,5.6326134e+11
244.05309,4.781455e+11
244.1058,3.2580793e+11
244.15851,1.7997416e+11
244.21121,9.709255e+10
244.26392,9.3935985e+10
244.3166,1.647297e+11
244.36931,3.032433e+11
244.42198,4.9598205e+11
244.47467,6.975415e+11
244.52734,8.58832e+11
244.58002,8.6811004e+11
244.63268,7.9793134e+11
244.68533,6.749126e+11
244.73799,5.4081647e+11
244.79065,4.1374188e+11
244.84329,2.9433214e+11
244.89594,1.858452e+11
244.94856,1.06750706e+11
245.00119,6.891452e+10
245.05382,5.535929e+10
245.10645,3.884471e+10
245.15906,9.397742e+09
245.21165,-2.389938e+10
245.26427,-4.0129032e+10
245.31686,-2.0906107e+10
245.36946,2.8095488e+10
245.42204,7.985967e+10
245.47464,1.0813332e+11
245.5272,1.023124e+11
245.57979,7.324208e+10
245.63235,4.956365e+10
245.68492,6.374462e+10
245.73747,1.3225463e+11
245.79002,2.4587359e+11
245.84258,3.7906976e+11
245.89513,4.980265e+11
245.94766,5.8527515e+11
246.0002,6.01918e+11
246.05272,6.320047e+11
246.10524,7.0107044e+11
246.15776,7.9775354e+11
246.21028,8.633354e+11
246.26279,8.7175476e+11
246.31529,7.632192e+11
246.36778,6.650076e+11
246.42027,6.013133e+11
246.47276,5.811857e+11
246.52525,5.868381e+11
246.57773,5.953586e+11
246.6302,5.866128e+11
246.68266,5.4532715e+11
246.73514,4.6878478e+11
246.78758,3.724379e+11
246.84004,2.8818234e+11
246.89249,2.4874733e+11
246.94493,2.5980264e+11
246.99738,2.9617557e+11
247.0498,3.285285e+11
247.10223,3.426698e+11
247.15465,3.4219976e+11
247.20706,3.4555737e+11
247.25948,3.701762e+11
247.31189,4.0797582e+11
247.36429,4.241556e+11
247.41669,3.935949e+11
247.46907,3.3250755e+11
247.52147,2.7592052e+11
247.57384,2.3681571e+11
247.62622,2.0934767e+11
247.67859,1.9970602e+11
247.73096,2.3305359e+11
247.78333,3.190893e+11
247.83568,4.7151294e+11
247.88803,6.253249e+11
247.94037,7.8781855e+11
247.99272,7.187781e+11
248.04506,6.705434e+11
248.09738,6.096037e+11
248.1497,5.842805e+11
248.20203,5.9398934e+11
248.25435,7.566965e+11
248.30666,9.068849e+11
248.35896,1.0916824e+12
248.41127,1.05680654e+12
248.46356,8.5360384e+11
248.51585,6.768208e+11
248.56813,5.195989e+11
248.62042,3.9772678e+11
248.6727,4.1632062e+11
248.72496,4.614016e+11
248.77722,5.455079e+11
248.82948,6.631323e+11
248.88174,8.114431e+11
248.93399,9.8034024e+11
248.98624,1.155208e+12
249.03848,1.3360265e+12
249.09071,1.4895987e+12
249.14294,1.4568835e+12
249.19518,1.448015e+12
249.24739,1.3975653e+12
249.2996,1.4416292e+12
249.35182,1.649304e+12
249.40402,2.0479807e+12
249.45622,1.4981516e+12
249.50842,5.593754e+11
249.56061,1.6111654e+11
249.6128,1.5334041e+11
249.66498,1.657497e+11
249.71715,2.121144e+11
249.76932,3.1185555e+11
249.82149,4.4277858e+11
249.87364,5.719955e+11
249.9258,6.710561e+11
249.97795,7.410018e+11
250.03009,5.333022e+11
250.08223,2.952095e+11
250.13437,3.5048882e+11
250.1865,3.684901e+11
250.23862,4.078986e+11
250.29074,4.541904e+11
250.34285,4.9715672e+11
250.39496,5.3659337e+11
250.44707,5.2340775e+11
250.49916,4.7892588e+11
250.55125,3.537541e+11
250.60335,4.408285e+11
250.65544,7.820874e+11
250.70752,1.0283616e+12
250.75958,1.352823e+12
250.81166,1.266345e+12
250.86372,6.674417e+11
250.91579,2.1005758e+11
250.96783,2.1394049e+11
251.01988,2.6881497e+11
251.07193,3.306858e+11
251.12396,5.0028603e+11
251.176,6.702899e+11
251.22803,8.2233544e+11
251.28006,8.514367e+11
251.33208,7.646754e+11
251.3841,7.467778e+11
251.4361,1.0889072e+12
251.4881,1.6039226e+12
251.5401,2.1709286e+12
251.59209,2.2986624e+12
251.64409,2.5192757e+12
251.69606,3.0472242e+12
251.74805,2.569527e+12
251.80002,1.3241928e+12
251.85199,9.315591e+11
251.90395,1.0738858e+12
251.95592,1.1688158e+12
252.00786,1.3535322e+12
252.05981,1.1063996e+12
252.11176,6.503245e+11
252.1637,6.0793546e+11
252.21562,8.073687e+11
252.26756,9.569769e+11
252.31949,1.1559434e+12
252.3714,1.4035427e+12
252.42331,1.6483454e+12
252.47522,1.8529575e+12
252.52713,2.1343778e+12
252.57903,2.0375424e+12
252.63092,1.9797976e+12
252.6828,1.914165e+12
252.7347,1.727332e+12
252.78658,1.7078676e+12
252.83844,1.9949594e+12
252.8903,2.2544798e+12
252.94217,2.4787773e+12
252.99403,2.3763023e+12
253.04588,1.7659099e+12
253.09773,1.2814558e+12
253.14958,6.658871e+11
253.20142,5.120318e+11
253.25325,5.248088e+11
253.30508,5.440874e+11
253.3569,7.97261e+11
253.40872,1.04959646e+12
253.46054,1.3701383e+12
253.51234,1.406176e+12
253.56415,1.2700638e+12
253.61595,1.140812e+12
253.66774,1.2482608e+12
253.71953,1.3748235e+12
253.77132,1.4953594e+12
253.82309,1.5747929e+12
253.87486,1.5599516e+12
253.92664,1.7637158e+12
253.9784,2.1071411e+12
254.03015,1.80488e+12
254.08191,1.1942963e+12
254.13365,1.0762789e+12
254.1854,1.09456975e+12
254.23714,1.0053499e+12
254.28888,8.97009e+11
254.3406,7.713984e+11
254.39232,6.7556246e+11
254.44405,6.383004e+11
254.49576,5.826122e+11
254.54747,5.5662674e+11
254.59917,5.6017505e+11
254.65086,5.8559857e+11
254.70256,5.757796e+11
254.75424,5.7469226e+11
254.80594,5.818602e+11
254.8576,5.783605e+11
