transition,T_e,n_e,gamma_W,gamma_d
768.9900,2500,1.000e+17,0.213,0.108
768.9900,5000,1.000e+17,0.24,0.153
768.9900,10000,1.000e+17,0.265,0.194
768.9900,20000,1.000e+17,0.294,0.234
768.9900,30000,1.000e+17,0.312,0.257
768.9900,50000,1.000e+17,0.337,0.287
447.7300,50000,1.000e+17,0.458,0.382
827.5800,2500,1.000e+17,0.249,0.124
827.5800,5000,1.000e+17,0.279,0.176
827.5800,10000,1.000e+17,0.309,0.223
827.5800,20000,1.000e+17,0.341,0.268
827.5800,30000,1.000e+17,0.361,0.295
827.5800,50000,1.000e+17,0.39,0.329
466.9800,50000,1.000e+17,0.498,0.416
338.3900,2500,1.000e+17,0.0217,0.00343
338.3900,5000,1.000e+17,0.0224,0.00408
338.3900,10000,1.000e+17,0.0226,0.00475
338.3900,20000,1.000e+17,0.0228,0.00544
338.3900,30000,1.000e+17,0.0229,0.00587
338.3900,50000,1.000e+17,0.023,0.00645
328.1600,2500,1.000e+17,0.0218,0.0039
328.1600,5000,1.000e+17,0.0226,0.00467
328.1600,10000,1.000e+17,0.0229,0.00545
328.1600,20000,1.000e+17,0.0231,0.00627
328.1600,30000,1.000e+17,0.0232,0.00677
328.1600,50000,1.000e+17,0.0234,0.00743
