transition,T_e,n_e,gamma_W,gamma_d
289.7100,5000,1.000e+17,0.168,-0.0459
289.7100,10000,1.000e+17,0.117,-0.0333
289.7100,20000,1.000e+17,0.0809,-0.0247
289.7100,30000,1.000e+17,0.0653,-0.0212
289.7100,40000,1.000e+17,0.0564,-0.0193
289.7100,50000,1.000e+17,0.0508,-0.0181
275.7100,5000,1.000e+17,0.149,-0.0391
275.7100,10000,1.000e+17,0.104,-0.0283
275.7100,20000,1.000e+17,0.0722,-0.021
275.7100,30000,1.000e+17,0.0583,-0.018
275.7100,40000,1.000e+17,0.0503,-0.0164
275.7100,50000,1.000e+17,0.0453,-0.0153
281.6100,5000,1.000e+17,0.154,-0.0435
281.6100,10000,1.000e+17,0.108,-0.0315
281.6100,20000,1.000e+17,0.0745,-0.0234
281.6100,30000,1.000e+17,0.0601,-0.0201
281.6100,40000,1.000e+17,0.0518,-0.0183
281.6100,50000,1.000e+17,0.0466,-0.0172
223.0300,5000,1.000e+17,0.0657,-0.00134
223.0300,10000,1.000e+17,0.0458,-0.000871
223.0300,20000,1.000e+17,0.0317,-0.0005
223.0300,30000,1.000e+17,0.0256,-0.000304
223.0300,40000,1.000e+17,0.0221,-0.000158
223.0300,50000,1.000e+17,0.02,-4.41e-05
232.1000,5000,1.000e+17,0.0694,-0.00308
232.1000,10000,1.000e+17,0.0483,-0.00214
232.1000,20000,1.000e+17,0.0335,-0.00144
232.1000,30000,1.000e+17,0.027,-0.00112
232.1000,40000,1.000e+17,0.0234,-0.000894
232.1000,50000,1.000e+17,0.0211,-0.000747
228.7700,5000,1.000e+17,0.0659,-0.00127
228.7700,10000,1.000e+17,0.0459,-0.000812
228.7700,20000,1.000e+17,0.0318,-0.00044
228.7700,30000,1.000e+17,0.0256,-0.000237
228.7700,40000,1.000e+17,0.0221,-0.000926
228.7700,50000,1.000e+17,0.0199,-3.99e-05
