transition,T_e,n_e,gamma_W,gamma_d
309.1000,10000,1.000e+17,0.1,0.668
309.1000,20000,1.000e+17,0.111,0.841
309.1000,30000,1.000e+17,0.118,0.939
309.1000,50000,1.000e+17,0.128,0.106
260.1000,50000,1.000e+17,0.16,0.105
395.8300,3000,1.000e+17,0.0425,0.027
395.8300,5000,1.000e+17,0.0463,0.0334
395.8300,10000,1.000e+17,0.0519,0.0415
395.8300,20000,1.000e+17,0.0581,0.0495
395.8300,30000,1.000e+17,0.062,0.0542
395.8300,50000,1.000e+17,0.0674,0.0602
265.9200,20000,1.000e+17,0.115,0.0882
265.9200,30000,1.000e+17,0.123,0.0996
265.9200,50000,1.000e+17,0.134,0.114
1314.7300,20000,1.000e+17,2.85,-1.88
1314.7300,30000,1.000e+17,3.0,-2.11
1314.7300,50000,1.000e+17,3.21,-2.4
