transition,T_e,n_e,gamma_W,gamma_d
160.0000,10000,1.000e+17,0.0157,0.00111
160.0000,20000,1.000e+17,0.0188,0.0018
160.0000,50000,1.000e+17,0.0219,0.00272
160.0000,100000,1.000e+17,0.0232,0.00331
160.0000,200000,1.000e+17,0.0239,0.00389
160.0000,500000,1.000e+17,0.0244,0.00447
74.0500,20000,1.000e+17,0.00872,0.00626
74.0500,50000,1.000e+17,0.0108,0.00907
74.0500,100000,1.000e+17,0.0138,0.0106
74.0500,200000,1.000e+17,0.0146,-0.0117
74.0500,500000,1.000e+17,0.0185,0.0131
85.6200,10000,1.000e+17,0.00114,0.00147
85.6200,20000,1.000e+17,0.00208,0.00221
85.6200,50000,1.000e+17,0.00305,0.00304
85.6200,100000,1.000e+17,0.00382,0.0036
85.6200,200000,1.000e+17,0.00447,0.00417
85.6200,500000,1.000e+17,0.00515,0.0051
56.0400,10000,1.000e+17,0.00207,0.000142
56.0400,20000,1.000e+17,0.00248,0.000229
56.0400,50000,1.000e+17,0.00289,0.000345
56.0400,100000,1.000e+17,0.00304,0.000417
56.0400,200000,1.000e+17,0.00312,0.000489
56.0400,500000,1.000e+17,0.00318,0.000558
789.1900,10000,1.000e+17,0.34,-0.129
789.1900,20000,1.000e+17,0.426,-0.193
789.1900,50000,1.000e+17,0.512,-0.263
789.1900,100000,1.000e+17,0.566,-0.313
789.1900,200000,1.000e+17,0.618,-0.366
789.1900,500000,1.000e+17,0.692,-0.445
470.2600,20000,1.000e+17,0.353,0.271
470.2600,50000,1.000e+17,0.465,0.401
470.2600,100000,1.000e+17,0.565,0.43
470.2600,200000,1.000e+17,0.573,0.503
470.2600,500000,1.000e+17,0.745,0.573
221.2800,10000,1.000e+17,0.0587,0.0383
221.2800,20000,1.000e+17,0.0749,0.0556
221.2800,50000,1.000e+17,0.0943,0.0805
221.2800,100000,1.000e+17,0.119,0.0941
221.2800,200000,1.000e+17,0.129,0.104
221.2800,500000,1.000e+17,0.165,0.117
371.0500,10000,1.000e+17,0.0318,0.0269
371.0500,20000,1.000e+17,0.0499,0.0405
371.0500,50000,1.000e+17,0.0671,0.0556
371.0500,100000,1.000e+17,0.0807,0.0656
371.0500,200000,1.000e+17,0.0912,0.0752
371.0500,500000,1.000e+17,0.1,0.091
191.2300,10000,1.000e+17,0.0241,0.000111
191.2300,20000,1.000e+17,0.0288,0.00023
191.2300,50000,1.000e+17,0.0335,0.000456
191.2300,100000,1.000e+17,0.0355,0.00063
191.2300,200000,1.000e+17,0.0363,0.00077
191.2300,500000,1.000e+17,0.0372,0.000974
959.7100,10000,1.000e+17,1.09,0.714
959.7100,20000,1.000e+17,1.39,1.03
959.7100,50000,1.000e+17,1.77,1.5
959.7100,100000,1.000e+17,2.23,1.76
959.7100,200000,1.000e+17,2.41,1.96
959.7100,500000,1.000e+17,3.04,2.2
1278.6700,10000,1.000e+17,1.1,-0.29
1278.6700,20000,1.000e+17,1.33,-0.441
1278.6700,50000,1.000e+17,1.58,-0.608
1278.6700,100000,1.000e+17,1.7,-0.708
1278.6700,200000,1.000e+17,1.77,-0.816
1278.6700,500000,1.000e+17,1.81,-0.962
