transition,T_e,n_e,gamma_W,gamma_d
276.9200,10000,1.000e+17,0.114,
276.9200,20000,1.000e+17,0.0806,
276.9200,40000,1.000e+17,0.057,
276.9200,80000,1.000e+17,0.0041,
276.9200,160000,1.000e+17,0.0033,
292.5400,10000,1.000e+17,0.133,
292.5400,20000,1.000e+17,0.0943,
292.5400,40000,1.000e+17,0.0667,
292.5400,80000,1.000e+17,0.0482,
292.5400,160000,1.000e+17,0.0389,
281.0900,10000,1.000e+17,0.117,
281.0900,20000,1.000e+17,0.0829,
281.0900,40000,1.000e+17,0.0586,
281.0900,80000,1.000e+17,0.0422,
281.0900,160000,1.000e+17,0.034,
261.7500,10000,1.000e+17,0.102,
261.7500,20000,1.000e+17,0.0721,
261.7500,40000,1.000e+17,0.051,
261.7500,80000,1.000e+17,0.00366,
261.7500,160000,1.000e+17,0.00294,
