transition,T_e,n_e,gamma_W,gamma_d
510.7500,5000,1.000e+17,6.56,0.635
510.7500,10000,1.000e+17,5.54,0.429
510.7500,20000,1.000e+17,4.57,0.274
510.7500,30000,1.000e+17,4.04,0.198
510.7500,40000,1.000e+17,3.68,0.139
510.7500,50000,1.000e+17,3.43,0.0801
799.0500,5000,1.000e+17,2.56,-1.01
799.0500,10000,1.000e+17,1.81,-0.748
799.0500,20000,1.000e+17,1.36,-0.565
799.0500,30000,1.000e+17,1.23,-0.51
799.0500,40000,1.000e+17,1.17,-0.511
799.0500,50000,1.000e+17,1.14,-0.517
435.2100,5000,1.000e+17,0.769,-0.252
435.2100,10000,1.000e+17,0.534,-0.182
435.2100,20000,1.000e+17,0.379,-0.135
435.2100,30000,1.000e+17,0.323,-0.117
435.2100,40000,1.000e+17,0.297,-0.104
435.2100,50000,1.000e+17,0.284,-0.101
549.7700,5000,1.000e+17,0.822,-0.0851
549.7700,10000,1.000e+17,0.575,-0.0462
549.7700,20000,1.000e+17,0.412,-0.00117
549.7700,30000,1.000e+17,0.352,0.0157
549.7700,40000,1.000e+17,0.327,0.0223
549.7700,50000,1.000e+17,0.315,0.0275
488.8500,5000,1.000e+17,1.11,0.00102
488.8500,10000,1.000e+17,0.905,0.0325
488.8500,20000,1.000e+17,0.874,0.0534
488.8500,30000,1.000e+17,0.778,0.0532
488.8500,40000,1.000e+17,0.721,0.0468
488.8500,50000,1.000e+17,0.683,0.0462
447.1200,5000,1.000e+17,1.21,-0.16
447.1200,10000,1.000e+17,0.848,-0.103
447.1200,20000,1.000e+17,0.613,-0.0466
447.1200,30000,1.000e+17,0.531,-0.0137
447.1200,40000,1.000e+17,0.491,0.0178
447.1200,50000,1.000e+17,0.471,0.0149
562.0600,5000,1.000e+17,1.08,-0.25
562.0600,10000,1.000e+17,0.751,-0.178
562.0600,20000,1.000e+17,0.537,-0.13
562.0600,30000,1.000e+17,0.456,-0.114
562.0600,40000,1.000e+17,0.422,-0.11
562.0600,50000,1.000e+17,0.406,-0.107
555.8100,5000,1.000e+17,1.17,-0.264
555.8100,10000,1.000e+17,0.841,-0.189
555.8100,20000,1.000e+17,0.582,-0.138
555.8100,30000,1.000e+17,0.496,-0.121
555.8100,40000,1.000e+17,0.459,-0.117
555.8100,50000,1.000e+17,0.441,-0.113
523.1300,5000,1.000e+17,0.862,-0.11
523.1300,10000,1.000e+17,0.649,-0.0624
523.1300,20000,1.000e+17,0.454,-0.0461
523.1300,30000,1.000e+17,0.45,-0.0323
523.1300,40000,1.000e+17,0.449,-0.037
523.1300,50000,1.000e+17,0.427,-0.0329
498.5400,5000,1.000e+17,1.32,-0.125
498.5400,10000,1.000e+17,1.06,-0.0679
498.5400,20000,1.000e+17,0.992,-0.0451
498.5400,30000,1.000e+17,0.878,-0.0467
498.5400,40000,1.000e+17,0.813,-0.0524
498.5400,50000,1.000e+17,0.77,-0.0575
473.0700,5000,1.000e+17,2.53,0.137
473.0700,10000,1.000e+17,2.28,0.115
473.0700,20000,1.000e+17,1.98,0.0725
473.0700,30000,1.000e+17,1.83,0.0504
473.0700,40000,1.000e+17,1.74,0.0339
473.0700,50000,1.000e+17,1.67,0.0179
455.2100,5000,1.000e+17,1.4,-0.271
455.2100,10000,1.000e+17,0.978,-0.192
455.2100,20000,1.000e+17,0.704,-0.133
455.2100,30000,1.000e+17,0.609,-0.0998
455.2100,40000,1.000e+17,0.562,-0.069
455.2100,50000,1.000e+17,0.538,-0.0733
648.5800,5000,1.000e+17,1.53,-0.374
648.5800,10000,1.000e+17,1.07,-0.268
648.5800,20000,1.000e+17,0.764,-0.197
648.5800,30000,1.000e+17,0.65,-0.175
648.5800,40000,1.000e+17,0.602,-0.171
648.5800,50000,1.000e+17,0.58,-0.162
565.1300,5000,1.000e+17,1.67,-0.0354
565.1300,10000,1.000e+17,1.45,0.0674
565.1300,20000,1.000e+17,1.11,0.093
565.1300,30000,1.000e+17,0.933,0.0788
565.1300,40000,1.000e+17,0.887,0.0579
565.1300,50000,1.000e+17,0.865,0.0366
565.1300,5000,1.000e+17,1.78,-0.192
565.1300,10000,1.000e+17,1.41,-0.111
565.1300,20000,1.000e+17,1.31,-0.0764
565.1300,30000,1.000e+17,1.16,-0.0777
565.1300,40000,1.000e+17,1.08,-0.0858
565.1300,50000,1.000e+17,1.02,-0.0926
533.1200,5000,1.000e+17,1.02,-0.252
533.1200,10000,1.000e+17,2.68,-0.126
533.1200,20000,1.000e+17,2.16,-0.0758
533.1200,30000,1.000e+17,1.91,-0.0484
533.1200,40000,1.000e+17,1.75,-0.0268
533.1200,50000,1.000e+17,1.63,-0.00634
510.5600,5000,1.000e+17,1.82,-0.367
510.5600,10000,1.000e+17,1.27,-0.261
510.5600,20000,1.000e+17,0.916,-0.182
510.5600,30000,1.000e+17,0.791,-0.14
510.5600,40000,1.000e+17,0.731,-0.101
510.5600,50000,1.000e+17,0.7,-0.107
640.5900,5000,1.000e+17,1.64,-0.392
640.5900,10000,1.000e+17,1.15,-0.281
640.5900,20000,1.000e+17,0.82,-0.207
640.5900,30000,1.000e+17,0.699,-0.183
640.5900,40000,1.000e+17,0.647,-0.179
640.5900,50000,1.000e+17,0.623,-0.174
