transition,T_e,n_e,gamma_W,gamma_d
267.6700,2500,1.000e+17,0.00926,0.00119
267.6700,5000,1.000e+17,0.00946,0.0014
267.6700,10000,1.000e+17,0.00953,0.00161
267.6700,20000,1.000e+17,0.00957,0.00183
267.6700,30000,1.000e+17,0.00959,0.00197
267.6700,50000,1.000e+17,0.00961,0.00216
242.8700,2500,1.000e+17,0.00993,0.00191
242.8700,5000,1.000e+17,0.0102,0.00228
242.8700,10000,1.000e+17,0.0104,0.00266
242.8700,20000,1.000e+17,0.0105,0.00305
242.8700,30000,1.000e+17,0.0105,0.00329
242.8700,50000,1.000e+17,0.0106,0.00362
166.5800,20000,1.000e+17,0.0396,0.0218
166.5800,30000,1.000e+17,0.0411,0.0243
166.5800,50000,1.000e+17,0.0429,0.0275
164.6700,30000,1.000e+17,0.05,0.0321
164.6700,50000,1.000e+17,0.0529,0.0365
