transition,T_e,n_e,gamma_W,gamma_d
235.4500,5000,1.000e+17,0.191,0.0816
235.4500,10000,1.000e+17,0.133,0.0607
235.4500,20000,1.000e+17,0.0939,0.0478
235.4500,30000,1.000e+17,0.0792,0.0449
235.4500,40000,1.000e+17,0.072,0.0451
235.4500,50000,1.000e+17,0.0679,0.0452
283.8700,5000,1.000e+17,0.282,0.116
283.8700,10000,1.000e+17,0.196,0.086
283.8700,20000,1.000e+17,0.239,0.0677
283.8700,30000,1.000e+17,0.117,0.0638
283.8700,40000,1.000e+17,0.106,0.0642
283.8700,50000,1.000e+17,0.1,0.0642
226.3800,5000,1.000e+17,0.147,0.0387
226.3800,10000,1.000e+17,0.103,0.0284
226.3800,20000,1.000e+17,0.0719,0.0218
226.3800,30000,1.000e+17,0.0594,0.02
226.3800,40000,1.000e+17,0.0528,0.0197
226.3800,50000,1.000e+17,0.0487,0.0194
286.1800,5000,1.000e+17,0.241,0.0585
286.1800,10000,1.000e+17,0.168,0.043
286.1800,20000,1.000e+17,0.118,0.033
286.1800,30000,1.000e+17,0.0974,0.0304
286.1800,40000,1.000e+17,0.0865,0.0299
286.1800,50000,1.000e+17,0.0798,0.0295
201.5800,5000,1.000e+17,0.041,-0.00912
201.5800,10000,1.000e+17,0.0285,-0.00643
201.5800,20000,1.000e+17,0.0197,-0.00452
201.5800,30000,1.000e+17,0.0159,-0.00365
201.5800,40000,1.000e+17,0.0137,-0.00313
201.5800,50000,1.000e+17,0.0123,-0.00276
175.8900,5000,1.000e+17,0.033,-0.00623
175.8900,10000,1.000e+17,0.0229,-0.00435
175.8900,20000,1.000e+17,0.0159,-0.003
175.8900,30000,1.000e+17,0.0128,-0.00237
175.8900,40000,1.000e+17,0.0111,-0.00198
175.8900,50000,1.000e+17,0.01,-0.00169
208.0400,5000,1.000e+17,0.0404,-0.00106
208.0400,10000,1.000e+17,0.0282,-0.00754
208.0400,20000,1.000e+17,0.0195,-0.00536
208.0400,30000,1.000e+17,0.0157,-0.00441
208.0400,40000,1.000e+17,0.0135,-0.00385
208.0400,50000,1.000e+17,0.0121,-0.00346
174.5300,5000,1.000e+17,0.0308,-0.00658
174.5300,10000,1.000e+17,0.0215,-0.00464
174.5300,20000,1.000e+17,0.0149,-0.00326
174.5300,30000,1.000e+17,0.012,-0.00264
174.5300,40000,1.000e+17,0.0103,-0.00226
174.5300,50000,1.000e+17,0.00927,-0.00199
