transition,T_e,n_e,gamma_W,gamma_d
67.7100,10000,1.000e+17,0.000205,-0.000212
67.7100,20000,1.000e+17,0.000373,-0.000345
67.7100,50000,1.000e+17,0.000621,-0.000521
67.7100,100000,1.000e+17,0.000778,-0.000629
67.7100,150000,1.000e+17,0.00088,-0.000703
67.7100,300000,1.000e+17,0.00103,-0.000799
75.8600,10000,1.000e+17,0.000107,0.000255
75.8600,20000,1.000e+17,0.000278,0.000417
75.8600,50000,1.000e+17,0.000573,0.000632
75.8600,100000,1.000e+17,0.000756,0.000762
75.8600,150000,1.000e+17,0.000854,0.000846
75.8600,300000,1.000e+17,0.00107,0.000977
52.8200,10000,1.000e+17,0.00051,0.00067
52.8200,20000,1.000e+17,0.000941,0.000989
52.8200,50000,1.000e+17,0.00137,0.00137
52.8200,100000,1.000e+17,0.00169,0.00161
52.8200,150000,1.000e+17,0.00188,0.00176
52.8200,300000,1.000e+17,0.00221,0.00196
46.5600,10000,1.000e+17,0.00187,0.00159
46.5600,20000,1.000e+17,0.00255,0.00227
46.5600,50000,1.000e+17,0.00352,0.00324
46.5600,100000,1.000e+17,0.00413,0.00371
46.5600,150000,1.000e+17,0.00471,0.00407
46.5600,300000,1.000e+17,0.00544,0.00448
206.6900,10000,1.000e+17,0.000117,-0.000103
206.6900,20000,1.000e+17,0.000295,-0.000217
206.6900,50000,1.000e+17,0.000679,-0.00045
206.6900,100000,1.000e+17,0.001,-0.000626
206.6900,150000,1.000e+17,0.00113,-0.000729
206.6900,300000,1.000e+17,0.00135,-0.000871
51.8200,10000,1.000e+17,0.000221,0.000185
51.8200,20000,1.000e+17,0.000365,0.000291
51.8200,50000,1.000e+17,0.000547,0.000425
51.8200,100000,1.000e+17,0.000657,0.000506
51.8200,150000,1.000e+17,0.000733,0.000563
51.8200,300000,1.000e+17,0.000856,0.000637
41.1800,10000,1.000e+17,0.000943,0.000695
41.1800,20000,1.000e+17,0.00129,0.00098
41.1800,50000,1.000e+17,0.0017,0.00138
41.1800,100000,1.000e+17,0.00199,0.0016
41.1800,150000,1.000e+17,0.00216,0.00175
41.1800,300000,1.000e+17,0.00254,0.00198
37.6300,100000,1.000e+17,0.00495,0.00409
37.6300,150000,1.000e+17,0.00544,0.0045
37.6300,300000,1.000e+17,0.00644,0.00504
213.8500,10000,1.000e+17,0.0269,0.0196
213.8500,20000,1.000e+17,0.0367,0.0277
213.8500,50000,1.000e+17,0.0474,0.0386
213.8500,100000,1.000e+17,0.0559,0.0451
213.8500,150000,1.000e+17,0.061,0.0486
213.8500,300000,1.000e+17,0.0693,0.0551
143.5700,100000,1.000e+17,0.0728,0.0604
143.5700,150000,1.000e+17,0.0806,0.0667
143.5700,300000,1.000e+17,0.096,0.0741
3212.7900,10000,1.000e+17,1.28,-1.08
3212.7900,20000,1.000e+17,2.03,-1.65
3212.7900,50000,1.000e+17,2.89,-2.32
3212.7900,100000,1.000e+17,3.51,-2.78
3212.7900,150000,1.000e+17,3.93,-3.03
3212.7900,300000,1.000e+17,4.47,-3.44
223.5100,10000,1.000e+17,0.00877,0.0101
223.5100,20000,1.000e+17,0.0153,0.0152
223.5100,50000,1.000e+17,0.0219,0.021
223.5100,100000,1.000e+17,0.0272,0.025
223.5100,150000,1.000e+17,0.03,0.027
223.5100,300000,1.000e+17,0.0349,0.0312
142.4500,10000,1.000e+17,0.0171,0.0145
142.4500,20000,1.000e+17,0.0232,0.0207
142.4500,50000,1.000e+17,0.0321,0.0299
142.4500,100000,1.000e+17,0.038,0.0338
142.4500,150000,1.000e+17,0.043,0.0377
142.4500,300000,1.000e+17,0.0493,0.0411
783.9500,10000,1.000e+17,0.0428,0.0202
783.9500,20000,1.000e+17,0.0682,0.0345
783.9500,50000,1.000e+17,0.0976,0.0534
783.9500,100000,1.000e+17,0.115,0.064
783.9500,150000,1.000e+17,0.125,0.0712
783.9500,300000,1.000e+17,0.143,0.0833
159.6700,10000,1.000e+17,0.0138,0.01
159.6700,20000,1.000e+17,0.0188,0.0142
159.6700,50000,1.000e+17,0.0249,0.0201
159.6700,100000,1.000e+17,0.0289,0.0229
159.6700,150000,1.000e+17,0.0312,0.0251
159.6700,300000,1.000e+17,0.0356,0.0285
116.9300,100000,1.000e+17,0.0477,0.0392
116.9300,150000,1.000e+17,0.0525,0.043
116.9300,300000,1.000e+17,0.0616,0.0479
491.9500,10000,1.000e+17,0.165,0.128
491.9500,20000,1.000e+17,0.223,0.179
491.9500,50000,1.000e+17,0.294,0.254
491.9500,100000,1.000e+17,0.36,0.294
491.9500,150000,1.000e+17,0.395,0.322
491.9500,300000,1.000e+17,0.415,0.358
1947.8100,10000,1.000e+17,1.66,0.958
1947.8100,20000,1.000e+17,2.21,1.4
1947.8100,50000,1.000e+17,2.83,1.95
1947.8100,100000,1.000e+17,3.27,2.28
1947.8100,150000,1.000e+17,3.61,2.51
1947.8100,300000,1.000e+17,4.01,2.81
356.8300,100000,1.000e+17,0.433,0.344
356.8300,150000,1.000e+17,0.467,0.376
356.8300,300000,1.000e+17,0.553,0.427
