transition,T_e,n_e,gamma_W,gamma_d
449.9400,10000,1.000e+17,0.0396,
449.9400,20000,1.000e+17,0.028,
449.9400,30000,1.000e+17,0.0228,
449.9400,40000,1.000e+17,0.0198,
449.9400,80000,1.000e+17,0.0152,
282.3400,10000,1.000e+17,0.0269,
282.3400,20000,1.000e+17,0.019,
282.3400,40000,1.000e+17,0.0134,
282.3400,80000,1.000e+17,0.00966,
282.3400,160000,1.000e+17,0.00767,
34.4200,10000,1.000e+17,0.000665,
34.4200,20000,1.000e+17,0.000496,
34.4200,40000,1.000e+17,0.000403,
34.4200,80000,1.000e+17,0.000343,
34.4200,160000,1.000e+17,0.000295,
