transition,T_e,n_e,gamma_W,gamma_d
1500.4000,2500,1.000e+17,0.778,0.114
1500.4000,5000,1.000e+17,0.827,0.138
1500.4000,10000,1.000e+17,0.845,0.163
1500.4000,20000,1.000e+17,0.854,0.188
1500.4000,30000,1.000e+17,0.857,0.203
1500.4000,50000,1.000e+17,0.86,0.224
821.2500,20000,1.000e+17,0.93,0.477
821.2500,30000,1.000e+17,0.959,0.531
821.2500,50000,1.000e+17,0.996,0.598
983.3000,5000,1.000e+17,0.655,0.369
983.3000,10000,1.000e+17,0.728,0.491
983.3000,20000,1.000e+17,0.803,0.606
983.3000,30000,1.000e+17,0.851,0.672
983.3000,50000,1.000e+17,0.917,0.755
553.7000,2500,1.000e+17,0.105,0.00777
553.7000,5000,1.000e+17,0.111,0.00919
553.7000,10000,1.000e+17,0.114,0.0106
553.7000,20000,1.000e+17,0.115,0.0122
553.7000,30000,1.000e+17,0.115,0.0131
553.7000,50000,1.000e+17,0.115,0.0144
