transition,T_e,n_e,gamma_W,gamma_d
232.3800,5000,1.000e+17,0.0172,0.00778
232.3800,10000,1.000e+17,0.0223,0.0116
232.3800,20000,1.000e+17,0.0265,0.0156
232.3800,30000,1.000e+17,0.029,0.0177
232.3800,50000,1.000e+17,0.0315,0.0203
232.3800,100000,1.000e+17,0.0345,0.0232
871.8300,50000,1.000e+17,1.93,1.07
871.8300,100000,1.000e+17,1.95,1.18
191.6700,10000,1.000e+17,0.0409,0.0184
191.6700,20000,1.000e+17,0.0477,0.0263
191.6700,30000,1.000e+17,0.05,0.0289
191.6700,50000,1.000e+17,0.055,0.0341
191.6700,100000,1.000e+17,0.0584,0.0382
168.6400,100000,1.000e+17,0.0872,0.0318
623.6600,5000,1.000e+17,0.0652,-0.00079
623.6600,10000,1.000e+17,0.0893,-0.00168
623.6600,20000,1.000e+17,0.102,-0.00296
623.6600,30000,1.000e+17,0.109,-0.00362
623.6600,50000,1.000e+17,0.117,-0.00466
623.6600,100000,1.000e+17,0.121,-0.00568
224.9700,10000,1.000e+17,0.0504,-0.0114
224.9700,20000,1.000e+17,0.0575,-0.0154
224.9700,30000,1.000e+17,0.0593,-0.0172
224.9700,50000,1.000e+17,0.0612,-0.0198
224.9700,100000,1.000e+17,0.0642,-0.023
872.9200,20000,1.000e+17,1.01,-0.207
872.9200,30000,1.000e+17,1.04,-0.231
872.9200,50000,1.000e+17,1.07,-0.267
872.9200,100000,1.000e+17,1.11,-0.308
538.1800,100000,1.000e+17,0.895,0.155
405.1200,5000,1.000e+17,0.0971,0.0483
405.1200,10000,1.000e+17,0.123,0.0691
405.1200,20000,1.000e+17,0.147,0.0969
405.1200,30000,1.000e+17,0.163,0.109
405.1200,50000,1.000e+17,0.174,0.123
405.1200,100000,1.000e+17,0.188,0.14
259.9500,50000,1.000e+17,0.159,0.0852
259.9500,100000,1.000e+17,0.173,0.0977
476.9500,5000,1.000e+17,0.0535,0.0394
476.9500,10000,1.000e+17,0.0775,0.0575
476.9500,20000,1.000e+17,0.098,0.0788
476.9500,30000,1.000e+17,0.109,0.0878
476.9500,50000,1.000e+17,0.125,0.1
476.9500,100000,1.000e+17,0.146,0.119
272.9500,5000,1.000e+17,0.0567,0.0351
272.9500,10000,1.000e+17,0.0759,0.0555
272.9500,20000,1.000e+17,0.0941,0.082
272.9500,30000,1.000e+17,0.105,0.0901
272.9500,50000,1.000e+17,0.118,0.107
272.9500,100000,1.000e+17,0.138,0.116
467.5300,5000,1.000e+17,0.0338,-0.0048
467.5300,10000,1.000e+17,0.0469,-0.00819
467.5300,20000,1.000e+17,0.0538,-0.012
467.5300,30000,1.000e+17,0.0577,-0.0134
467.5300,50000,1.000e+17,0.0618,-0.0157
467.5300,100000,1.000e+17,0.0649,-0.0187
200.7900,5000,1.000e+17,0.0326,-0.00645
200.7900,10000,1.000e+17,0.0398,-0.00951
200.7900,20000,1.000e+17,0.0453,-0.0129
200.7900,30000,1.000e+17,0.0467,-0.0145
200.7900,50000,1.000e+17,0.0483,-0.0167
200.7900,100000,1.000e+17,0.0514,-0.019
994.7300,100000,1.000e+17,2.76,1.54
1216.3900,30000,1.000e+17,2.75,1.96
1216.3900,50000,1.000e+17,3.04,2.26
1216.3900,100000,1.000e+17,3.27,2.65
1342.4700,10000,1.000e+17,1.86,-0.676
1342.4700,20000,1.000e+17,2.15,-0.942
1342.4700,30000,1.000e+17,2.24,-1.04
1342.4700,50000,1.000e+17,2.37,-1.21
1342.4700,100000,1.000e+17,2.51,-1.37
