transition,T_e,n_e,gamma_W,gamma_d
457.3900,10000,1.000e+17,0.283,0.122
457.3900,20000,1.000e+17,0.298,0.15
457.3900,30000,1.000e+17,0.307,0.166
457.3900,50000,1.000e+17,0.318,0.186
825.6300,3000,1.000e+17,0.257,0.148
825.6300,5000,1.000e+17,0.278,0.185
825.6300,10000,1.000e+17,0.309,0.232
825.6300,20000,1.000e+17,0.342,0.278
825.6300,30000,1.000e+17,0.364,0.305
825.6300,50000,1.000e+17,0.394,0.339
332.2000,3000,1.000e+17,0.0306,0.02
332.2000,5000,1.000e+17,0.0334,0.0245
332.2000,10000,1.000e+17,0.0374,0.0303
332.2000,20000,1.000e+17,0.0419,0.036
332.2000,30000,1.000e+17,0.0448,0.0394
332.2000,50000,1.000e+17,0.0487,0.0438
1814.8600,10000,1.000e+17,3.42,0.666
1814.8600,20000,1.000e+17,3.49,0.784
1814.8600,30000,1.000e+17,3.51,0.855
1814.8600,50000,1.000e+17,3.53,0.947
1464.8500,5000,1.000e+17,1.35,0.545
1464.8500,10000,1.000e+17,1.95,0.681
1464.8500,20000,1.000e+17,2.02,0.814
1464.8500,30000,1.000e+17,2.05,0.892
1464.8500,50000,1.000e+17,2.09,0.992
234.9300,3000,1.000e+17,0.00985,0.00192
234.9300,5000,1.000e+17,0.01,0.00217
234.9300,10000,1.000e+17,0.0101,0.00252
234.9300,20000,1.000e+17,0.0102,0.00288
234.9300,30000,1.000e+17,0.0103,0.00311
234.9300,50000,1.000e+17,0.0103,0.00341
166.1500,10000,1.000e+17,0.0306,0.0117
166.1500,20000,1.000e+17,0.0318,0.0142
166.1500,30000,1.000e+17,0.0325,0.0156
166.1500,50000,1.000e+17,0.0333,0.0175
