transition,T_e,n_e,gamma_W,gamma_d
151.2400,2500,1.000e+17,0.00175,-0.00143
151.2400,5000,1.000e+17,0.00359,-0.00299
151.2400,10000,1.000e+17,0.00581,-0.00467
151.2400,20000,1.000e+17,0.00742,-0.00618
151.2400,30000,1.000e+17,0.00826,-0.00689
151.2400,50000,1.000e+17,0.00962,-0.00797
177.6200,2500,1.000e+17,0.000899,0.00146
177.6200,5000,1.000e+17,0.00253,0.00317
177.6200,10000,1.000e+17,0.0045,0.00495
177.6200,20000,1.000e+17,0.00651,0.00652
177.6200,30000,1.000e+17,0.00758,0.00735
177.6200,50000,1.000e+17,0.00903,0.0084
119.7200,2500,1.000e+17,0.00416,0.00263
119.7200,5000,1.000e+17,0.00812,0.00615
119.7200,10000,1.000e+17,0.0112,0.00908
119.7200,20000,1.000e+17,0.0144,0.0131
119.7200,30000,1.000e+17,0.0159,0.0146
119.7200,50000,1.000e+17,0.0181,0.0164
313.1500,2500,1.000e+17,0.000571,-0.000216
313.1500,5000,1.000e+17,0.00152,-0.000597
313.1500,10000,1.000e+17,0.00292,-0.00118
313.1500,20000,1.000e+17,0.00433,-0.00188
313.1500,30000,1.000e+17,0.00508,-0.00229
313.1500,50000,1.000e+17,0.00571,-0.00274
103.6300,2500,1.000e+17,0.00182,0.00102
103.6300,5000,1.000e+17,0.0033,0.00211
103.6300,10000,1.000e+17,0.00457,0.00307
103.6300,20000,1.000e+17,0.00573,0.00423
103.6300,30000,1.000e+17,0.00636,0.00475
103.6300,50000,1.000e+17,0.00719,0.00554
527.2100,2500,1.000e+17,0.0737,0.0441
527.2100,5000,1.000e+17,0.136,0.0978
527.2100,10000,1.000e+17,0.186,0.139
527.2100,20000,1.000e+17,0.235,0.195
527.2100,30000,1.000e+17,0.266,0.222
527.2100,50000,1.000e+17,0.289,0.253
1209.9600,2500,1.000e+17,0.215,0.0953
1209.9600,5000,1.000e+17,0.388,0.2
1209.9600,10000,1.000e+17,0.536,0.31
1209.9600,20000,1.000e+17,0.645,0.41
1209.9600,30000,1.000e+17,0.719,0.462
1209.9600,50000,1.000e+17,0.789,0.532
327.5600,50000,1.000e+17,0.326,0.258
