transition,T_e,n_e,gamma_W,gamma_d
74.6300,10000,1.000e+17,0.000648,0.000827
74.6300,20000,1.000e+17,0.00113,0.00126
74.6300,50000,1.000e+17,0.00178,0.00173
74.6300,100000,1.000e+17,0.0023,0.00205
74.6300,150000,1.000e+17,0.00264,0.00223
74.6300,300000,1.000e+17,0.00322,0.00262
76.8000,10000,1.000e+17,0.00042,0.000692
76.8000,20000,1.000e+17,0.000802,0.00106
76.8000,50000,1.000e+17,0.00141,0.00148
76.8000,100000,1.000e+17,0.00182,0.00176
76.8000,150000,1.000e+17,0.00203,0.00194
76.8000,300000,1.000e+17,0.00246,0.00222
55.4100,10000,1.000e+17,0.00165,0.00166
55.4100,20000,1.000e+17,0.00247,0.00232
55.4100,50000,1.000e+17,0.00338,0.00328
55.4100,100000,1.000e+17,0.00427,0.00382
55.4100,150000,1.000e+17,0.00469,0.00417
55.4100,300000,1.000e+17,0.00497,0.0046
49.1500,100000,1.000e+17,0.00994,0.0085
49.1500,150000,1.000e+17,0.0106,0.00915
49.1500,300000,1.000e+17,0.0117,0.0102
67.5500,10000,1.000e+17,0.0002,-0.000208
67.5500,20000,1.000e+17,0.000368,-0.000341
67.5500,50000,1.000e+17,0.000615,-0.000516
67.5500,100000,1.000e+17,0.000768,-0.000622
67.5500,150000,1.000e+17,0.000856,-0.000691
67.5500,300000,1.000e+17,0.00104,-0.000797
72.5700,10000,1.000e+17,0.000197,0.000407
72.5700,20000,1.000e+17,0.000442,0.000637
72.5700,50000,1.000e+17,0.000851,0.000922
72.5700,100000,1.000e+17,0.00111,0.0011
72.5700,150000,1.000e+17,0.00127,0.00121
72.5700,300000,1.000e+17,0.00152,0.00138
52.1000,10000,1.000e+17,0.000907,0.00104
52.1000,20000,1.000e+17,0.00148,0.00148
52.1000,50000,1.000e+17,0.00209,0.00207
52.1000,100000,1.000e+17,0.00264,0.00241
52.1000,150000,1.000e+17,0.00288,0.0026
52.1000,300000,1.000e+17,0.00331,0.00297
46.2400,20000,1.000e+17,0.00397,0.00336
46.2400,50000,1.000e+17,0.00528,0.00497
46.2400,100000,1.000e+17,0.00645,0.00558
46.2400,150000,1.000e+17,0.007,0.00605
46.2400,300000,1.000e+17,0.0082,0.00701
614.2900,10000,1.000e+17,0.00166,-0.00363
614.2900,20000,1.000e+17,0.00461,-0.00699
614.2900,50000,1.000e+17,0.0109,-0.0122
614.2900,100000,1.000e+17,0.0166,-0.0156
614.2900,150000,1.000e+17,0.0191,-0.0175
614.2900,300000,1.000e+17,0.0241,-0.021
66.1300,10000,1.000e+17,0.000847,-0.000964
66.1300,20000,1.000e+17,0.00148,-0.00145
66.1300,50000,1.000e+17,0.0021,-0.00199
66.1300,100000,1.000e+17,0.00272,-0.00237
66.1300,150000,1.000e+17,0.00299,-0.00255
66.1300,300000,1.000e+17,0.00372,-0.00295
50.3300,20000,1.000e+17,0.00475,-0.00383
50.3300,50000,1.000e+17,0.00623,-0.00558
50.3300,100000,1.000e+17,0.00783,-0.00639
50.3300,150000,1.000e+17,0.00847,-0.00699
50.3300,300000,1.000e+17,0.0103,-0.008
372.2700,10000,1.000e+17,0.000401,-0.000693
372.2700,20000,1.000e+17,0.0011,-0.00141
372.2700,50000,1.000e+17,0.00264,-0.00262
372.2700,100000,1.000e+17,0.00413,-0.00359
372.2700,150000,1.000e+17,0.00474,-0.00398
372.2700,300000,1.000e+17,0.00588,-0.00479
58.2200,10000,1.000e+17,0.000256,0.000191
58.2200,20000,1.000e+17,0.000422,0.000306
58.2200,50000,1.000e+17,0.00063,0.000455
58.2200,100000,1.000e+17,0.000759,0.000547
58.2200,150000,1.000e+17,0.000844,0.000609
58.2200,300000,1.000e+17,0.000972,0.000696
45.1100,10000,1.000e+17,0.00106,0.000765
45.1100,20000,1.000e+17,0.00145,0.00109
45.1100,50000,1.000e+17,0.00191,0.00153
45.1100,100000,1.000e+17,0.00228,0.00178
45.1100,150000,1.000e+17,0.00245,0.00191
45.1100,300000,1.000e+17,0.00279,0.00218
40.8900,50000,1.000e+17,0.00503,0.00401
40.8900,100000,1.000e+17,0.00572,0.00453
40.8900,150000,1.000e+17,0.00606,0.00491
40.8900,300000,1.000e+17,0.00727,0.00562
206.5100,50000,1.000e+17,0.109,-0.0984
206.5100,100000,1.000e+17,0.135,-0.111
206.5100,150000,1.000e+17,0.148,-0.12
206.5100,300000,1.000e+17,0.177,-0.138
213.7000,10000,1.000e+17,0.0254,0.0181
213.7000,20000,1.000e+17,0.0347,0.0258
213.7000,50000,1.000e+17,0.0451,0.0363
213.7000,100000,1.000e+17,0.0532,0.0415
213.7000,150000,1.000e+17,0.0568,0.0452
213.7000,300000,1.000e+17,0.0663,0.052
143.5300,50000,1.000e+17,0.0623,0.0498
143.5300,100000,1.000e+17,0.0716,0.0563
143.5300,150000,1.000e+17,0.0768,0.0619
143.5300,300000,1.000e+17,0.09,0.07
219.6200,10000,1.000e+17,0.0329,0.0302
219.6200,20000,1.000e+17,0.047,0.0422
219.6200,50000,1.000e+17,0.0638,0.0605
219.6200,100000,1.000e+17,0.0745,0.0699
219.6200,150000,1.000e+17,0.0845,0.074
219.6200,300000,1.000e+17,0.102,0.0875
145.9100,100000,1.000e+17,0.0906,0.0762
145.9100,150000,1.000e+17,0.0982,0.0833
145.9100,300000,1.000e+17,0.113,0.0948
3191.8300,10000,1.000e+17,1.2,-0.976
3191.8300,20000,1.000e+17,1.9,-1.5
3191.8300,50000,1.000e+17,2.72,-2.12
3191.8300,100000,1.000e+17,3.3,-2.53
3191.8300,150000,1.000e+17,3.65,-2.82
3191.8300,300000,1.000e+17,4.36,-3.2
212.7800,10000,1.000e+17,0.0148,0.0162
212.7800,20000,1.000e+17,0.0238,0.0231
212.7800,50000,1.000e+17,0.0334,0.0323
212.7800,100000,1.000e+17,0.0416,0.0383
212.7800,150000,1.000e+17,0.0473,0.0406
212.7800,300000,1.000e+17,0.0542,0.046
140.2300,20000,1.000e+17,0.0362,0.0305
140.2300,50000,1.000e+17,0.0477,0.045
140.2300,100000,1.000e+17,0.0587,0.0509
140.2300,150000,1.000e+17,0.0644,0.0552
140.2300,300000,1.000e+17,0.0751,0.0632
191.6500,20000,1.000e+17,0.0703,-0.0569
191.6500,50000,1.000e+17,0.0924,-0.0839
191.6500,100000,1.000e+17,0.114,-0.095
191.6500,150000,1.000e+17,0.127,-0.103
191.6500,300000,1.000e+17,0.151,-0.118
1408.6500,10000,1.000e+17,0.133,-0.0457
1408.6500,20000,1.000e+17,0.211,-0.0817
1408.6500,50000,1.000e+17,0.3,-0.131
1408.6500,100000,1.000e+17,0.347,-0.157
1408.6500,150000,1.000e+17,0.376,-0.175
1408.6500,300000,1.000e+17,0.422,-0.208
175.4700,10000,1.000e+17,0.0152,0.0106
175.4700,20000,1.000e+17,0.0208,0.0151
175.4700,50000,1.000e+17,0.0275,0.0212
175.4700,100000,1.000e+17,0.0315,0.0247
175.4700,150000,1.000e+17,0.0358,0.0269
175.4700,300000,1.000e+17,0.0407,0.0304
125.2100,50000,1.000e+17,0.0469,0.0373
125.2100,100000,1.000e+17,0.0532,0.0416
125.2100,150000,1.000e+17,0.0573,0.0452
125.2100,300000,1.000e+17,0.0678,0.0519
8.8300,10000,1.000e+17,2.61e-05,-3e-05
8.8300,20000,1.000e+17,4.25e-05,-4.26e-05
8.8300,50000,1.000e+17,6.03e-05,-5.96e-05
8.8300,100000,1.000e+17,7.7e-05,-6.94e-05
8.8300,150000,1.000e+17,8.46e-05,-7.48e-05
8.8300,300000,1.000e+17,9.93e-05,-8.54e-05
466.4800,10000,1.000e+17,0.277,0.202
466.4800,20000,1.000e+17,0.363,0.298
466.4800,50000,1.000e+17,0.487,0.435
466.4800,100000,1.000e+17,0.557,0.496
466.4800,150000,1.000e+17,0.623,0.55
466.4800,300000,1.000e+17,0.686,0.642
388.2500,50000,1.000e+17,0.405,0.311
388.2500,100000,1.000e+17,0.471,0.367
388.2500,150000,1.000e+17,0.512,0.394
388.2500,300000,1.000e+17,0.583,0.461
10.0300,10000,1.000e+17,3.39e-07,-1.95e-07
10.0300,20000,1.000e+17,8.25e-07,-4.16e-07
10.0300,50000,1.000e+17,1.79e-06,-8.86e-07
10.0300,100000,1.000e+17,2.56e-06,-1.26e-06
10.0300,150000,1.000e+17,2.84e-06,-1.48e-06
10.0300,300000,1.000e+17,3.34e-06,-1.78e-06
8.8300,10000,1.000e+17,1.49e-05,-1.69e-05
8.8300,20000,1.000e+17,2.6e-05,-2.55e-05
8.8300,50000,1.000e+17,3.71e-05,-3.5e-05
8.8300,100000,1.000e+17,4.73e-05,-4.18e-05
8.8300,150000,1.000e+17,5.35e-05,-4.51e-05
8.8300,300000,1.000e+17,6.51e-05,-5.26e-05
8.4800,20000,1.000e+17,0.000134,-0.000108
8.4800,50000,1.000e+17,0.000177,-0.000158
8.4800,100000,1.000e+17,0.000222,-0.000181
8.4800,150000,1.000e+17,0.00024,-0.000198
8.4800,300000,1.000e+17,0.000293,-0.000227
