transition,T_e,n_e,gamma_W,gamma_d
520.9000,5000,1.000e+17,1.77,-0.194
520.9000,10000,1.000e+17,1.32,-0.136
520.9000,20000,1.000e+17,0.998,-0.0955
520.9000,30000,1.000e+17,0.86,-0.0772
520.9000,40000,1.000e+17,0.786,-0.0646
520.9000,50000,1.000e+17,0.74,-0.0521
571.9000,5000,1.000e+17,1.74,-0.266
571.9000,10000,1.000e+17,1.21,-0.189
571.9000,20000,1.000e+17,0.862,-0.135
571.9000,30000,1.000e+17,0.74,-0.112
571.9000,40000,1.000e+17,0.688,-0.0928
571.9000,50000,1.000e+17,0.664,-0.0853
214.4100,5000,1.000e+17,0.0742,0.0171
214.4100,10000,1.000e+17,0.0512,0.0129
214.4100,20000,1.000e+17,0.0356,0.0103
214.4100,30000,1.000e+17,0.0298,0.0096
214.4100,40000,1.000e+17,0.0273,0.00944
214.4100,50000,1.000e+17,0.026,0.00975
221.4700,5000,1.000e+17,0.0756,0.0174
221.4700,10000,1.000e+17,0.052,0.0131
221.4700,20000,1.000e+17,0.0362,0.0105
221.4700,30000,1.000e+17,0.03,0.00972
221.4700,40000,1.000e+17,0.0274,0.00958
221.4700,50000,1.000e+17,0.0262,0.00982
144.7900,5000,1.000e+17,0.0784,0.0207
144.7900,10000,1.000e+17,0.0632,0.0168
144.7900,20000,1.000e+17,0.059,0.0159
144.7900,30000,1.000e+17,0.058,0.0187
144.7900,40000,1.000e+17,0.0568,0.0186
144.7900,50000,1.000e+17,0.0566,0.0194
206.9600,5000,1.000e+17,0.0744,0.0157
206.9600,10000,1.000e+17,0.0514,0.0118
206.9600,20000,1.000e+17,0.0358,0.00953
206.9600,30000,1.000e+17,0.03,0.00887
206.9600,40000,1.000e+17,0.0274,0.00871
206.9600,50000,1.000e+17,0.0262,0.00899
178.7400,5000,1.000e+17,0.13,-0.0371
178.7400,10000,1.000e+17,0.116,-0.033
178.7400,20000,1.000e+17,0.104,-0.0267
178.7400,30000,1.000e+17,0.0996,-0.0227
178.7400,40000,1.000e+17,0.0916,-0.0194
178.7400,50000,1.000e+17,0.084,-0.0163
280.4100,5000,1.000e+17,0.154,0.0366
280.4100,10000,1.000e+17,0.107,0.0268
280.4100,20000,1.000e+17,0.075,0.0204
280.4100,30000,1.000e+17,0.0614,0.0181
280.4100,40000,1.000e+17,0.054,0.0174
280.4100,50000,1.000e+17,0.0496,0.0172
182.3700,5000,1.000e+17,0.151,0.03
182.3700,10000,1.000e+17,0.116,0.0219
182.3700,20000,1.000e+17,0.09,0.0166
182.3700,30000,1.000e+17,0.078,0.0147
182.3700,40000,1.000e+17,0.0714,0.0141
182.3700,50000,1.000e+17,0.067,0.0143
218.7700,5000,1.000e+17,0.198,-0.0628
218.7700,10000,1.000e+17,0.177,-0.0547
218.7700,20000,1.000e+17,0.157,-0.0439
218.7700,30000,1.000e+17,0.15,-0.0372
218.7700,40000,1.000e+17,0.133,-0.032
218.7700,50000,1.000e+17,0.127,-0.0271
174.9200,5000,1.000e+17,0.22,0.0583
174.9200,10000,1.000e+17,0.158,0.0457
174.9200,20000,1.000e+17,0.124,0.0422
174.9200,30000,1.000e+17,0.114,0.0415
174.9200,40000,1.000e+17,0.11,0.0374
174.9200,50000,1.000e+17,0.107,0.0336
124.1100,5000,1.000e+17,0.0236,0.00627
124.1100,10000,1.000e+17,0.0163,0.00471
124.1100,20000,1.000e+17,0.0113,0.00377
124.1100,30000,1.000e+17,0.00948,0.0035
124.1100,40000,1.000e+17,0.00868,0.00343
124.1100,50000,1.000e+17,0.00834,0.00353
143.6800,5000,1.000e+17,0.0386,0.0101
143.6800,10000,1.000e+17,0.027,0.00759
143.6800,20000,1.000e+17,0.0189,0.00577
143.6800,30000,1.000e+17,0.0155,0.00512
143.6800,40000,1.000e+17,0.0136,0.00491
143.6800,50000,1.000e+17,0.0125,0.00485
148.6900,5000,1.000e+17,0.0344,0.00886
148.6900,10000,1.000e+17,0.0236,0.00665
148.6900,20000,1.000e+17,0.0165,0.00532
148.6900,30000,1.000e+17,0.0138,0.00494
148.6900,40000,1.000e+17,0.0126,0.00484
148.6900,50000,1.000e+17,0.0121,0.00498
152.0600,5000,1.000e+17,0.0342,0.00885
152.0600,10000,1.000e+17,0.0236,0.00665
152.0600,20000,1.000e+17,0.0164,0.00531
152.0600,30000,1.000e+17,0.0136,0.00492
152.0600,40000,1.000e+17,0.0124,0.00484
152.0600,50000,1.000e+17,0.0119,0.00494
145.5100,5000,1.000e+17,0.0394,0.00832
145.5100,10000,1.000e+17,0.0272,0.00623
145.5100,20000,1.000e+17,0.019,0.00493
145.5100,30000,1.000e+17,0.0157,0.00451
145.5100,40000,1.000e+17,0.0142,0.00437
145.5100,50000,1.000e+17,0.0134,0.00441
179.1800,5000,1.000e+17,0.0546,0.00426
179.1800,10000,1.000e+17,0.038,0.00321
179.1800,20000,1.000e+17,0.0266,0.00258
179.1800,30000,1.000e+17,0.0222,0.00244
179.1800,40000,1.000e+17,0.0198,0.00246
179.1800,50000,1.000e+17,0.0184,0.00251
177.7000,5000,1.000e+17,0.06,0.0156
177.7000,10000,1.000e+17,0.0418,0.0114
177.7000,20000,1.000e+17,0.0292,0.0087
177.7000,30000,1.000e+17,0.024,0.00771
177.7000,40000,1.000e+17,0.021,0.0074
177.7000,50000,1.000e+17,0.0183,0.00731
132.5500,5000,1.000e+17,0.079,0.0164
132.5500,10000,1.000e+17,0.061,0.0119
132.5500,20000,1.000e+17,0.047,0.00904
132.5500,30000,1.000e+17,0.0408,0.00801
132.5500,40000,1.000e+17,0.0374,0.00767
132.5500,50000,1.000e+17,0.035,0.00781
157.3700,5000,1.000e+17,0.0384,0.00987
157.3700,10000,1.000e+17,0.0266,0.00742
157.3700,20000,1.000e+17,0.0184,0.00593
157.3700,30000,1.000e+17,0.0154,0.00551
157.3700,40000,1.000e+17,0.0141,0.0054
157.3700,50000,1.000e+17,0.0135,0.00556
161.1400,5000,1.000e+17,0.0384,0.00989
161.1400,10000,1.000e+17,0.0264,0.00743
161.1400,20000,1.000e+17,0.0183,0.00593
161.1400,30000,1.000e+17,0.0153,0.00549
161.1400,40000,1.000e+17,0.0134,0.00552
161.1400,50000,1.000e+17,0.0414,0.00847
153.8100,5000,1.000e+17,0.0438,0.00924
153.8100,10000,1.000e+17,0.0304,0.00692
153.8100,20000,1.000e+17,0.0212,0.00548
153.8100,30000,1.000e+17,0.0176,0.00502
153.8100,40000,1.000e+17,0.0159,0.00486
153.8100,50000,1.000e+17,0.015,0.0049
153.3200,5000,1.000e+17,0.0394,0.00926
153.3200,10000,1.000e+17,0.0272,0.00697
153.3200,20000,1.000e+17,0.019,0.00559
153.3200,30000,1.000e+17,0.0159,0.00519
153.3200,40000,1.000e+17,0.0145,0.00508
153.3200,50000,1.000e+17,0.0139,0.00522
137.2600,5000,1.000e+17,0.0756,-0.0214
137.2600,10000,1.000e+17,0.068,-0.0191
137.2600,20000,1.000e+17,0.061,-0.0155
137.2600,30000,1.000e+17,0.0584,-0.0131
137.2600,40000,1.000e+17,0.0536,-0.0112
137.2600,50000,1.000e+17,0.0492,-0.00939
190.2300,5000,1.000e+17,0.0686,0.0178
190.2300,10000,1.000e+17,0.048,0.0131
190.2300,20000,1.000e+17,0.0334,0.00993
190.2300,30000,1.000e+17,0.0274,0.00879
190.2300,40000,1.000e+17,0.0242,0.00845
190.2300,50000,1.000e+17,0.0222,0.00834
139.3900,5000,1.000e+17,0.0874,0.0181
139.3900,10000,1.000e+17,0.0674,0.0132
139.3900,20000,1.000e+17,0.052,0.00997
139.3900,30000,1.000e+17,0.0452,0.00883
139.3900,40000,1.000e+17,0.0139,0.0054
139.3900,50000,1.000e+17,0.0388,0.00861
