transition,T_e,n_e,gamma_W,gamma_d
105.1800,5000,1.000e+17,0.0211,
105.1800,10000,1.000e+17,0.0148,
105.1800,20000,1.000e+17,0.0103,
105.1800,50000,1.000e+17,0.00669,
105.1800,100000,1.000e+17,0.00548,
105.1800,250000,1.000e+17,0.00515,
105.1800,500000,1.000e+17,0.00487,
134.6100,5000,1.000e+17,0.0359,
134.6100,10000,1.000e+17,0.0251,
134.6100,20000,1.000e+17,0.0175,
134.6100,50000,1.000e+17,0.0113,
134.6100,100000,1.000e+17,0.00926,
134.6100,250000,1.000e+17,0.00871,
134.6100,500000,1.000e+17,0.00828,
394.6100,5000,1.000e+17,0.559,
394.6100,10000,1.000e+17,0.39,
394.6100,20000,1.000e+17,0.272,
394.6100,50000,1.000e+17,0.179,
394.6100,100000,1.000e+17,0.15,
394.6100,250000,1.000e+17,0.144,
394.6100,500000,1.000e+17,0.133,
165.0000,5000,1.000e+17,0.369,
165.0000,10000,1.000e+17,0.262,
165.0000,20000,1.000e+17,0.2,
165.0000,50000,1.000e+17,0.167,
165.0000,100000,1.000e+17,0.153,
165.0000,250000,1.000e+17,0.126,
165.0000,500000,1.000e+17,0.115,
956.6600,5000,1.000e+17,17.6,
956.6600,10000,1.000e+17,12.5,
956.6600,20000,1.000e+17,9.43,
956.6600,50000,1.000e+17,7.84,
956.6600,100000,1.000e+17,7.38,
956.6600,250000,1.000e+17,6.22,
956.6600,500000,1.000e+17,5.38,
