transition,T_e,n_e,gamma_W,gamma_d
114.9700,10000,1.000e+17,0.0132,
114.9700,20000,1.000e+17,0.00939,
114.9700,50000,1.000e+17,0.00593,
114.9700,100000,1.000e+17,0.00452,
114.9700,200000,1.000e+17,0.0038,
114.9700,300000,1.000e+17,0.00352,
329.6800,10000,1.000e+17,0.184,
329.6800,20000,1.000e+17,0.13,
329.6800,50000,1.000e+17,0.0823,
329.6800,100000,1.000e+17,0.0627,
329.6800,200000,1.000e+17,0.0538,
329.6800,300000,1.000e+17,0.0533,
87.2600,10000,1.000e+17,0.00289,
87.2600,20000,1.000e+17,0.00204,
87.2600,50000,1.000e+17,0.00129,
87.2600,100000,1.000e+17,0.000915,
87.2600,200000,1.000e+17,0.000658,
87.2600,300000,1.000e+17,0.000564,
43.1200,10000,1.000e+17,0.00198,
43.1200,20000,1.000e+17,0.0014,
43.1200,50000,1.000e+17,0.000889,
43.1200,100000,1.000e+17,0.00066,
43.1200,200000,1.000e+17,0.000538,
43.1200,300000,1.000e+17,0.000494,
