transition,T_e,n_e,gamma_W,gamma_d
422.3900,5000,1.000e+17,0.538,-0.067
422.3900,10000,1.000e+17,0.374,-0.0438
422.3900,20000,1.000e+17,0.27,-0.0238
422.3900,30000,1.000e+17,0.24,-0.0106
422.3900,40000,1.000e+17,0.23,0.00297
422.3900,50000,1.000e+17,0.228,0.00345
533.3500,5000,1.000e+17,0.888,-0.182
533.3500,10000,1.000e+17,0.614,-0.128
533.3500,20000,1.000e+17,0.436,-0.0886
533.3500,30000,1.000e+17,0.376,-0.0702
533.3500,40000,1.000e+17,0.354,-0.055
533.3500,50000,1.000e+17,0.346,-0.0448
559.1500,5000,1.000e+17,0.956,-0.208
559.1500,10000,1.000e+17,0.66,-0.147
559.1500,20000,1.000e+17,0.468,-0.103
559.1500,30000,1.000e+17,0.404,-0.0834
559.1500,40000,1.000e+17,0.378,-0.069
559.1500,50000,1.000e+17,0.37,-0.0565
498.1900,5000,1.000e+17,0.705,-0.18
498.1900,10000,1.000e+17,0.518,-0.127
498.1900,20000,1.000e+17,0.366,-0.0895
498.1900,30000,1.000e+17,0.312,-0.0716
498.1900,40000,1.000e+17,0.29,-0.0595
498.1900,50000,1.000e+17,0.282,-0.0488
467.8700,5000,1.000e+17,0.682,-0.153
467.8700,10000,1.000e+17,0.472,-0.107
467.8700,20000,1.000e+17,0.334,-0.0744
467.8700,30000,1.000e+17,0.286,-0.0583
467.8700,40000,1.000e+17,0.266,-0.0455
467.8700,50000,1.000e+17,0.26,-0.0369
426.2100,5000,1.000e+17,0.56,-0.0913
426.2100,10000,1.000e+17,0.388,-0.0626
426.2100,20000,1.000e+17,0.276,-0.0403
426.2100,30000,1.000e+17,0.238,-0.0281
426.2100,40000,1.000e+17,0.224,-0.0153
426.2100,50000,1.000e+17,0.218,-0.0112
520.0200,5000,1.000e+17,0.866,0.302
520.0200,10000,1.000e+17,0.6,0.327
520.0200,20000,1.000e+17,0.42,0.301
520.0200,30000,1.000e+17,0.35,0.257
520.0200,40000,1.000e+17,0.316,0.255
520.0200,50000,1.000e+17,0.3,0.232
481.6700,5000,1.000e+17,0.703,-0.0165
481.6700,10000,1.000e+17,0.488,-0.0112
481.6700,20000,1.000e+17,0.341,-0.00711
481.6700,30000,1.000e+17,0.282,-0.0049
481.6700,40000,1.000e+17,0.253,-0.0035
481.6700,50000,1.000e+17,0.239,0.00313
478.5400,5000,1.000e+17,0.827,0.0356
478.5400,10000,1.000e+17,0.574,0.0267
478.5400,20000,1.000e+17,0.401,0.0212
478.5400,30000,1.000e+17,0.332,0.0196
478.5400,40000,1.000e+17,0.298,0.0193
478.5400,50000,1.000e+17,0.281,0.0192
470.4800,5000,1.000e+17,0.808,0.046
470.4800,10000,1.000e+17,0.561,0.0342
470.4800,20000,1.000e+17,0.392,0.0269
470.4800,30000,1.000e+17,0.325,0.0245
470.4800,40000,1.000e+17,0.291,0.0239
470.4800,50000,1.000e+17,0.257,0.0237
