transition,T_e,n_e,gamma_W,gamma_d
722.6400,5000,1.000e+17,0.177,-0.0101
722.6400,10000,1.000e+17,0.221,-0.0178
722.6400,20000,1.000e+17,0.24,-0.0223
722.6400,30000,1.000e+17,0.253,-0.0261
722.6400,50000,1.000e+17,0.269,-0.0296
722.6400,80000,1.000e+17,0.281,-0.0347
674.1600,5000,1.000e+17,0.116,-0.00575
674.1600,10000,1.000e+17,0.152,-0.0107
674.1600,20000,1.000e+17,0.165,-0.0134
674.1600,30000,1.000e+17,0.174,-0.0159
674.1600,50000,1.000e+17,0.186,-0.0188
674.1600,80000,1.000e+17,0.196,-0.0218
