transition,T_e,n_e,gamma_W,gamma_d
26.7600,50000,1.000e+17,6.1e-05,0.000112
26.7600,100000,1.000e+17,0.000118,0.000161
26.7600,150000,1.000e+17,0.000167,0.00019
26.7600,200000,1.000e+17,0.00019,0.000204
26.7600,300000,1.000e+17,0.000228,0.000227
26.7600,500000,1.000e+17,0.000274,0.00026
27.2200,50000,1.000e+17,4.99e-05,0.000106
27.2200,100000,1.000e+17,0.000105,0.000154
27.2200,150000,1.000e+17,0.000151,0.000182
27.2200,200000,1.000e+17,0.000175,0.000195
27.2200,300000,1.000e+17,0.000209,0.000218
27.2200,500000,1.000e+17,0.000253,0.00025
24.8700,50000,1.000e+17,1.69e-05,-3.18e-05
24.8700,100000,1.000e+17,3.94e-05,-5.13e-05
24.8700,150000,1.000e+17,5.28e-05,-6.28e-05
24.8700,200000,1.000e+17,6.54e-05,-7.12e-05
24.8700,300000,1.000e+17,8.11e-05,-7.95e-05
24.8700,500000,1.000e+17,9.87e-05,-9.15e-05
26.0200,50000,1.000e+17,2.63e-05,6.66e-05
26.0200,100000,1.000e+17,6.27e-05,9.99e-05
26.0200,150000,1.000e+17,9.12e-05,0.000122
26.0200,200000,1.000e+17,0.000116,0.000133
26.0200,300000,1.000e+17,0.000139,0.000147
26.0200,500000,1.000e+17,0.000168,0.000168
18.6700,50000,1.000e+17,0.000918,0.000862
18.6700,100000,1.000e+17,0.00121,0.00112
18.6700,150000,1.000e+17,0.0014,0.00127
18.6700,200000,1.000e+17,0.00158,0.00136
18.6700,300000,1.000e+17,0.00173,0.00145
18.6700,500000,1.000e+17,0.00213,0.00166
18.9300,50000,1.000e+17,0.000136,0.000191
18.9300,100000,1.000e+17,0.000229,0.000251
18.9300,150000,1.000e+17,0.000274,0.000287
18.9300,200000,1.000e+17,0.000305,0.000307
18.9300,300000,1.000e+17,0.000345,0.000342
18.9300,500000,1.000e+17,0.000404,0.000376
16.8400,50000,1.000e+17,0.000471,0.000477
16.8400,100000,1.000e+17,0.000617,0.000616
16.8400,150000,1.000e+17,0.000721,0.0007
16.8400,200000,1.000e+17,0.000778,0.000747
16.8400,300000,1.000e+17,0.000878,0.000811
16.8400,500000,1.000e+17,0.000971,0.000895
347.8600,50000,1.000e+17,0.00028,-0.00134
347.8600,100000,1.000e+17,0.00105,-0.0025
347.8600,150000,1.000e+17,0.00186,-0.00336
347.8600,200000,1.000e+17,0.00264,-0.00389
347.8600,300000,1.000e+17,0.00361,-0.00473
347.8600,500000,1.000e+17,0.00533,-0.0057
227.4600,50000,1.000e+17,7.5e-05,-0.000337
227.4600,100000,1.000e+17,0.000265,-0.000655
227.4600,150000,1.000e+17,0.00048,-0.000892
227.4600,200000,1.000e+17,0.000709,-0.00109
227.4600,300000,1.000e+17,0.000995,-0.00131
227.4600,500000,1.000e+17,0.0015,-0.00166
22.7200,50000,1.000e+17,2.24e-05,2.91e-05
22.7200,100000,1.000e+17,4.43e-05,4.63e-05
22.7200,150000,1.000e+17,5.82e-05,5.68e-05
22.7200,200000,1.000e+17,7.06e-05,6.43e-05
22.7200,300000,1.000e+17,8.21e-05,7.14e-05
22.7200,500000,1.000e+17,9.75e-05,8.23e-05
17.3300,50000,1.000e+17,0.000119,0.000132
17.3300,100000,1.000e+17,0.000188,0.000178
17.3300,150000,1.000e+17,0.000217,0.000202
17.3300,200000,1.000e+17,0.00024,0.000218
17.3300,300000,1.000e+17,0.000269,0.00024
17.3300,500000,1.000e+17,0.000314,0.00027
15.6200,50000,1.000e+17,0.000404,0.000363
15.6200,100000,1.000e+17,0.000517,0.000465
15.6200,150000,1.000e+17,0.000588,0.000531
15.6200,200000,1.000e+17,0.000642,0.000565
15.6200,300000,1.000e+17,0.000722,0.000618
15.6200,500000,1.000e+17,0.000795,0.000679
74.8400,50000,1.000e+17,0.0118,-0.0114
74.8400,100000,1.000e+17,0.016,-0.0149
74.8400,150000,1.000e+17,0.0188,-0.0169
74.8400,200000,1.000e+17,0.0205,-0.018
74.8400,300000,1.000e+17,0.0236,-0.0195
74.8400,500000,1.000e+17,0.0283,-0.0212
76.3100,50000,1.000e+17,0.00249,0.00274
76.3100,100000,1.000e+17,0.00385,0.00364
76.3100,150000,1.000e+17,0.00446,0.00415
76.3100,200000,1.000e+17,0.00493,0.00446
76.3100,300000,1.000e+17,0.00563,0.00498
76.3100,500000,1.000e+17,0.0065,0.00556
51.5400,50000,1.000e+17,0.00445,0.00399
51.5400,100000,1.000e+17,0.00569,0.00512
51.5400,150000,1.000e+17,0.00649,0.00584
51.5400,200000,1.000e+17,0.00705,0.00623
51.5400,300000,1.000e+17,0.0079,0.00679
51.5400,500000,1.000e+17,0.00868,0.00748
75.6900,50000,1.000e+17,0.00206,0.00289
75.6900,100000,1.000e+17,0.00352,0.00381
75.6900,150000,1.000e+17,0.00417,0.00434
75.6900,200000,1.000e+17,0.00463,0.00468
75.6900,300000,1.000e+17,0.0053,0.00515
75.6900,500000,1.000e+17,0.00635,0.00576
50.6300,50000,1.000e+17,0.00421,0.00427
50.6300,100000,1.000e+17,0.00554,0.00549
50.6300,150000,1.000e+17,0.00646,0.00628
50.6300,200000,1.000e+17,0.00699,0.00668
50.6300,300000,1.000e+17,0.00785,0.00726
50.6300,500000,1.000e+17,0.00876,0.00801
843.4500,50000,1.000e+17,0.0284,-0.0323
843.4500,100000,1.000e+17,0.0559,-0.0529
843.4500,150000,1.000e+17,0.0725,-0.0647
843.4500,200000,1.000e+17,0.0867,-0.0738
843.4500,300000,1.000e+17,0.102,-0.0832
843.4500,500000,1.000e+17,0.12,-0.0957
67.2100,50000,1.000e+17,0.00162,0.00175
67.2100,100000,1.000e+17,0.00259,0.0024
67.2100,150000,1.000e+17,0.00299,0.00272
67.2100,200000,1.000e+17,0.0033,0.00294
67.2100,300000,1.000e+17,0.00376,0.00326
67.2100,500000,1.000e+17,0.00426,0.00364
47.2200,50000,1.000e+17,0.00363,0.00326
47.2200,100000,1.000e+17,0.00465,0.00417
47.2200,150000,1.000e+17,0.00526,0.00474
47.2200,200000,1.000e+17,0.00582,0.00509
47.2200,300000,1.000e+17,0.00649,0.0056
47.2200,500000,1.000e+17,0.0072,0.0061
165.1400,50000,1.000e+17,0.0503,-0.0437
165.1400,100000,1.000e+17,0.0664,-0.0562
165.1400,150000,1.000e+17,0.0771,-0.0646
165.1400,200000,1.000e+17,0.0874,-0.0687
165.1400,300000,1.000e+17,0.0999,-0.0736
165.1400,500000,1.000e+17,0.12,-0.0818
165.1000,50000,1.000e+17,0.0406,0.0409
165.1000,100000,1.000e+17,0.0533,0.0525
165.1000,150000,1.000e+17,0.0614,0.0598
165.1000,200000,1.000e+17,0.0673,0.0639
165.1000,300000,1.000e+17,0.0765,0.0695
165.1000,500000,1.000e+17,0.0848,0.0766
2075.5500,50000,1.000e+17,1.05,-0.677
2075.5500,100000,1.000e+17,1.55,-0.974
2075.5500,150000,1.000e+17,1.76,-1.15
2075.5500,200000,1.000e+17,1.92,-1.23
2075.5500,300000,1.000e+17,2.13,-1.37
2075.5500,500000,1.000e+17,2.41,-1.57
147.5100,50000,1.000e+17,0.0308,0.0271
147.5100,100000,1.000e+17,0.0394,0.0344
147.5100,150000,1.000e+17,0.0446,0.0392
147.5100,200000,1.000e+17,0.0492,0.0423
147.5100,300000,1.000e+17,0.0545,0.0459
147.5100,500000,1.000e+17,0.0609,0.0498
4.0300,50000,1.000e+17,2.18e-08,-3.96e-08
4.0300,100000,1.000e+17,6.14e-08,-8.01e-08
4.0300,150000,1.000e+17,1.05e-07,-1.16e-07
4.0300,200000,1.000e+17,1.42e-07,-1.44e-07
4.0300,300000,1.000e+17,2.09e-07,-1.89e-07
4.0300,500000,1.000e+17,2.9e-07,-2.43e-07
