transition,T_e,n_e,gamma_W,gamma_d
183.9200,5000,1.000e+17,0.0151,0.00385
183.9200,10000,1.000e+17,0.0184,0.00602
183.9200,20000,1.000e+17,0.0213,0.00796
183.9200,30000,1.000e+17,0.0223,0.00887
183.9200,50000,1.000e+17,0.0239,0.0103
183.9200,100000,1.000e+17,0.0249,0.0119
858.1100,5000,1.000e+17,0.0562,-0.00625
858.1100,10000,1.000e+17,0.0828,-0.0119
858.1100,20000,1.000e+17,0.101,-0.0182
858.1100,30000,1.000e+17,0.109,-0.023
858.1100,50000,1.000e+17,0.118,-0.0254
858.1100,100000,1.000e+17,0.128,-0.0307
213.2300,5000,1.000e+17,0.0269,-0.00607
213.2300,10000,1.000e+17,0.0323,-0.00926
213.2300,20000,1.000e+17,0.0371,-0.0124
213.2300,30000,1.000e+17,0.0387,-0.0139
213.2300,50000,1.000e+17,0.0402,-0.0161
213.2300,100000,1.000e+17,0.0439,-0.0186
164.4100,100000,1.000e+17,0.0776,-0.044
892.3700,5000,1.000e+17,0.194,-0.0431
892.3700,10000,1.000e+17,0.253,-0.0677
892.3700,20000,1.000e+17,0.292,-0.0917
892.3700,30000,1.000e+17,0.312,-0.103
892.3700,50000,1.000e+17,0.331,-0.121
892.3700,100000,1.000e+17,0.347,-0.137
566.2900,100000,1.000e+17,0.946,-0.595
317.3500,5000,1.000e+17,0.0264,0.0148
317.3500,10000,1.000e+17,0.036,0.0222
317.3500,20000,1.000e+17,0.0438,0.0298
317.3500,30000,1.000e+17,0.0488,0.0335
317.3500,50000,1.000e+17,0.0539,0.0387
317.3500,100000,1.000e+17,0.062,0.0454
211.0300,30000,1.000e+17,0.0813,0.0501
211.0300,50000,1.000e+17,0.0934,0.0592
211.0300,100000,1.000e+17,0.0951,0.0657
372.7600,5000,1.000e+17,0.0218,0.0191
372.7600,10000,1.000e+17,0.0353,0.0289
372.7600,20000,1.000e+17,0.0456,0.0391
372.7600,30000,1.000e+17,0.0511,0.0438
372.7600,50000,1.000e+17,0.06,0.0499
372.7600,100000,1.000e+17,0.0682,0.0585
394.6300,5000,1.000e+17,0.0146,-0.00297
394.6300,10000,1.000e+17,0.0212,-0.00519
394.6300,20000,1.000e+17,0.0254,-0.00759
394.6300,30000,1.000e+17,0.0275,-0.00856
394.6300,50000,1.000e+17,0.0301,-0.00996
394.6300,100000,1.000e+17,0.0317,-0.0119
165.0600,5000,1.000e+17,0.0168,-0.00378
165.0600,10000,1.000e+17,0.0201,-0.00571
165.0600,20000,1.000e+17,0.023,-0.00772
165.0600,30000,1.000e+17,0.024,-0.00865
165.0600,50000,1.000e+17,0.0253,-0.00979
165.0600,100000,1.000e+17,0.0274,-0.0115
134.2100,100000,1.000e+17,0.0525,-0.0292
823.5700,30000,1.000e+17,1.25,0.855
823.5700,50000,1.000e+17,1.32,0.925
823.5700,100000,1.000e+17,1.41,1.1
1187.8900,5000,1.000e+17,0.908,-0.31
1187.8900,10000,1.000e+17,1.11,-0.454
1187.8900,20000,1.000e+17,1.29,-0.624
1187.8900,30000,1.000e+17,1.36,-0.68
1187.8900,50000,1.000e+17,1.44,-0.795
1187.8900,100000,1.000e+17,1.54,-0.931
447.5800,100000,1.000e+17,0.63,-0.368
