transition,T_e,n_e,gamma_W,gamma_d
43.3700,50000,1.000e+17,2.89e-06,-1.93e-06
43.3700,100000,1.000e+17,6.74e-06,-3.74e-06
43.3700,150000,1.000e+17,9.77e-06,-5.19e-06
43.3700,200000,1.000e+17,1.21e-05,-6.37e-06
43.3700,300000,1.000e+17,1.51e-05,-7.93e-06
43.3700,500000,1.000e+17,1.91e-05,-1.01e-05
59.1600,50000,1.000e+17,1.25e-05,-5.07e-06
59.1600,100000,1.000e+17,2.57e-05,-9.67e-06
59.1600,150000,1.000e+17,3.5e-05,-1.31e-05
59.1600,200000,1.000e+17,4.05e-05,-1.6e-05
59.1600,300000,1.000e+17,4.98e-05,-1.93e-05
59.1600,500000,1.000e+17,5.72e-05,-2.46e-05
32.2100,50000,1.000e+17,2.35e-06,-1.87e-06
32.2100,100000,1.000e+17,5.26e-06,-3.52e-06
32.2100,150000,1.000e+17,7.55e-06,-4.72e-06
32.2100,200000,1.000e+17,8.99e-06,-5.67e-06
32.2100,300000,1.000e+17,1.13e-05,-6.86e-06
32.2100,500000,1.000e+17,1.38e-05,-8.56e-06
34.3600,50000,1.000e+17,2.27e-06,-1.75e-06
34.3600,100000,1.000e+17,5.19e-06,-3.34e-06
34.3600,150000,1.000e+17,7.49e-06,-4.52e-06
34.3600,200000,1.000e+17,9.07e-06,-5.5e-06
34.3600,300000,1.000e+17,1.14e-05,-6.65e-06
34.3600,500000,1.000e+17,1.41e-05,-8.45e-06
37.6500,50000,1.000e+17,2.28e-06,-2.05e-06
37.6500,100000,1.000e+17,5.38e-06,-3.91e-06
37.6500,150000,1.000e+17,7.86e-06,-5.3e-06
37.6500,200000,1.000e+17,9.71e-06,-6.47e-06
37.6500,300000,1.000e+17,1.23e-05,-7.81e-06
37.6500,500000,1.000e+17,1.56e-05,-9.94e-06
37.5600,50000,1.000e+17,2.28e-06,-2.01e-06
37.5600,100000,1.000e+17,5.36e-06,-3.84e-06
37.5600,150000,1.000e+17,7.83e-06,-5.21e-06
37.5600,200000,1.000e+17,9.67e-06,-6.36e-06
37.5600,300000,1.000e+17,1.22e-05,-7.68e-06
37.5600,500000,1.000e+17,1.55e-05,-9.78e-06
31.6200,50000,1.000e+17,2.35e-06,-1.52e-06
31.6200,100000,1.000e+17,5.18e-06,-2.9e-06
31.6200,150000,1.000e+17,7.36e-06,-3.92e-06
31.6200,200000,1.000e+17,8.74e-06,-4.77e-06
31.6200,300000,1.000e+17,1.1e-05,-5.76e-06
31.6200,500000,1.000e+17,1.32e-05,-7.3e-06
69.4600,50000,1.000e+17,1.37e-05,-9.43e-06
69.4600,100000,1.000e+17,2.95e-05,-1.77e-05
69.4600,150000,1.000e+17,4.15e-05,-2.37e-05
69.4600,200000,1.000e+17,4.85e-05,-2.82e-05
69.4600,300000,1.000e+17,6.09e-05,-3.42e-05
69.4600,500000,1.000e+17,7.23e-05,-4.23e-05
