transition,T_e,n_e,gamma_W,gamma_d
20.6900,200000,1.000e+17,1.03e-05,2.32e-06
20.6900,500000,1.000e+17,2.06e-05,5.05e-06
20.6900,1000000,1.000e+17,2.84e-05,7.48e-06
20.6900,2000000,1.000e+17,3.26e-05,1.01e-05
20.6900,3000000,1.000e+17,3.5e-05,1.13e-05
20.6900,5000000,1.000e+17,3.78e-05,1.28e-05
12.6600,200000,1.000e+17,1.72e-05,4.35e-06
12.6600,500000,1.000e+17,2.72e-05,7.64e-06
12.6600,1000000,1.000e+17,3.15e-05,1.04e-05
12.6600,2000000,1.000e+17,3.56e-05,1.24e-05
12.6600,3000000,1.000e+17,3.76e-05,1.38e-05
12.6600,5000000,1.000e+17,3.97e-05,1.55e-05
10.5400,200000,1.000e+17,3.43e-05,9.79e-06
10.5400,500000,1.000e+17,4.59e-05,1.52e-05
10.5400,1000000,1.000e+17,5.22e-05,1.84e-05
10.5400,2000000,1.000e+17,5.72e-05,2.19e-05
10.5400,3000000,1.000e+17,5.97e-05,2.43e-05
10.5400,5000000,1.000e+17,6.19e-05,2.69e-05
7.7100,200000,1.000e+17,5.08e-05,4.03e-05
7.7100,500000,1.000e+17,6.64e-05,5.16e-05
7.7100,1000000,1.000e+17,8.03e-05,6.15e-05
7.7100,2000000,1.000e+17,9.15e-05,7.14e-05
7.7100,3000000,1.000e+17,9.63e-05,7.48e-05
7.7100,5000000,1.000e+17,0.000109,8.22e-05
7.4000,200000,1.000e+17,9.22e-05,7.15e-05
7.4000,500000,1.000e+17,0.000119,9.2e-05
7.4000,1000000,1.000e+17,0.00014,0.000107
7.4000,2000000,1.000e+17,0.000156,0.00012
7.4000,3000000,1.000e+17,0.000168,0.00013
7.4000,5000000,1.000e+17,0.000174,0.000139
45.4700,200000,1.000e+17,0.000247,2.39e-05
45.4700,500000,1.000e+17,0.00038,4.83e-05
45.4700,1000000,1.000e+17,0.000435,6.74e-05
45.4700,2000000,1.000e+17,0.000486,8.44e-05
45.4700,3000000,1.000e+17,0.000509,9.41e-05
45.4700,5000000,1.000e+17,0.00053,0.000107
26.3800,200000,1.000e+17,0.000222,5.31e-05
26.3800,500000,1.000e+17,0.000294,8.39e-05
26.3800,1000000,1.000e+17,0.000334,0.000103
26.3800,2000000,1.000e+17,0.000365,0.000122
26.3800,3000000,1.000e+17,0.000375,0.000135
26.3800,5000000,1.000e+17,0.000391,0.000148
115.1100,200000,1.000e+17,0.000532,0.000156
115.1100,500000,1.000e+17,0.000975,0.000315
115.1100,1000000,1.000e+17,0.00127,0.000439
115.1100,2000000,1.000e+17,0.00145,0.000548
115.1100,3000000,1.000e+17,0.00156,0.000611
115.1100,5000000,1.000e+17,0.00169,0.000696
28.7000,200000,1.000e+17,0.000102,7.5e-05
28.7000,500000,1.000e+17,0.000169,0.000116
28.7000,1000000,1.000e+17,0.000204,0.00014
28.7000,2000000,1.000e+17,0.000242,0.000167
28.7000,3000000,1.000e+17,0.000266,0.000185
28.7000,5000000,1.000e+17,0.000294,0.000205
20.4400,200000,1.000e+17,0.000149,0.000119
20.4400,500000,1.000e+17,0.000217,0.000164
20.4400,1000000,1.000e+17,0.00026,0.000195
20.4400,2000000,1.000e+17,0.000307,0.000229
20.4400,3000000,1.000e+17,0.000326,0.000245
20.4400,5000000,1.000e+17,0.000358,0.000276
17.4400,200000,1.000e+17,0.000261,0.000205
17.4400,500000,1.000e+17,0.000341,0.000264
17.4400,1000000,1.000e+17,0.000412,0.000314
17.4400,2000000,1.000e+17,0.000469,0.000364
17.4400,3000000,1.000e+17,0.000494,0.000381
17.4400,5000000,1.000e+17,0.00056,0.00042
15.9300,200000,1.000e+17,0.000428,0.000331
15.9300,500000,1.000e+17,0.000551,0.000426
15.9300,1000000,1.000e+17,0.000648,0.000496
15.9300,2000000,1.000e+17,0.000722,0.000555
15.9300,3000000,1.000e+17,0.00078,0.000604
15.9300,5000000,1.000e+17,0.000806,0.000644
16.3600,200000,1.000e+17,0.000333,0.000363
16.3600,500000,1.000e+17,0.000466,0.000466
16.3600,1000000,1.000e+17,0.000588,0.00054
16.3600,2000000,1.000e+17,0.000674,0.000614
16.3600,3000000,1.000e+17,0.000737,0.000665
16.3600,5000000,1.000e+17,0.000758,0.000711
85.1500,200000,1.000e+17,0.00261,-6.96e-05
85.1500,500000,1.000e+17,0.00337,-0.000144
85.1500,1000000,1.000e+17,0.00378,-0.000204
85.1500,2000000,1.000e+17,0.00408,-0.000257
85.1500,3000000,1.000e+17,0.00419,-0.000288
85.1500,5000000,1.000e+17,0.00431,-0.000327
239.8900,200000,1.000e+17,0.0103,0.0043
239.8900,500000,1.000e+17,0.0153,0.00682
239.8900,1000000,1.000e+17,0.0177,0.00835
239.8900,2000000,1.000e+17,0.02,0.00997
239.8900,3000000,1.000e+17,0.0213,0.011
239.8900,5000000,1.000e+17,0.0225,0.0122
54.8300,200000,1.000e+17,0.00119,0.000824
54.8300,500000,1.000e+17,0.00164,0.00114
54.8300,1000000,1.000e+17,0.00197,0.00137
54.8300,2000000,1.000e+17,0.00226,0.00159
54.8300,3000000,1.000e+17,0.00243,0.00171
54.8300,5000000,1.000e+17,0.00258,0.0019
37.5100,200000,1.000e+17,0.00124,0.000939
37.5100,500000,1.000e+17,0.00161,0.00121
37.5100,1000000,1.000e+17,0.00192,0.00144
37.5100,2000000,1.000e+17,0.00217,0.00166
37.5100,3000000,1.000e+17,0.00231,0.00176
37.5100,5000000,1.000e+17,0.00263,0.00193
31.1400,200000,1.000e+17,0.00165,0.00126
31.1400,500000,1.000e+17,0.00213,0.00162
31.1400,1000000,1.000e+17,0.00248,0.00189
31.1400,2000000,1.000e+17,0.00278,0.00211
31.1400,3000000,1.000e+17,0.003,0.00231
