transition,T_e,n_e,gamma_W,gamma_d
1039.7500,2500,1.000e+17,0.316,0.144
1039.7500,5000,1.000e+17,0.346,0.192
1039.7500,10000,1.000e+17,0.372,0.236
1039.7500,20000,1.000e+17,0.4,0.28
1039.7500,30000,1.000e+17,0.418,0.306
1039.7500,50000,1.000e+17,0.444,0.34
515.6200,20000,1.000e+17,0.419,0.319
515.6200,30000,1.000e+17,0.448,0.36
515.6200,50000,1.000e+17,0.487,0.411
494.1300,2500,1.000e+17,0.0652,0.0375
494.1300,5000,1.000e+17,0.0731,0.0511
494.1300,10000,1.000e+17,0.0815,0.0637
494.1300,20000,1.000e+17,0.0909,0.076
494.1300,30000,1.000e+17,0.0969,0.0832
494.1300,50000,1.000e+17,0.105,0.0926
319.3100,30000,1.000e+17,0.18,0.145
319.3100,50000,1.000e+17,0.196,0.166
1447.8300,20000,1.000e+17,3.25,1.87
1447.8300,30000,1.000e+17,3.38,2.09
1447.8300,50000,1.000e+17,3.55,2.36
1433.1600,20000,1.000e+17,3.29,1.92
1433.1600,30000,1.000e+17,3.43,2.15
1433.1600,50000,1.000e+17,3.61,2.44
1391.2700,30000,1.000e+17,3.59,2.35
1391.2700,50000,1.000e+17,3.81,2.67
228.8700,2500,1.000e+17,0.0123,0.00309
228.8700,5000,1.000e+17,0.0129,0.00379
228.8700,10000,1.000e+17,0.0132,0.00448
228.8700,20000,1.000e+17,0.0134,0.0052
228.8700,30000,1.000e+17,0.0136,0.00563
228.8700,50000,1.000e+17,0.0138,0.0062
166.9300,50000,1.000e+17,0.0585,0.0378
