transition,T_e,n_e,gamma_W,gamma_d
156.1300,5000,1.000e+17,0.038,0.000771
156.1300,10000,1.000e+17,0.0264,0.000659
156.1300,20000,1.000e+17,0.0183,0.000656
156.1300,30000,1.000e+17,0.0148,0.000726
156.1300,40000,1.000e+17,0.0129,0.000826
156.1300,50000,1.000e+17,0.0117,0.000956
156.1300,60000,1.000e+17,0.011,0.00107
146.8800,5000,1.000e+17,0.0369,-0.000126
146.8800,10000,1.000e+17,0.0257,2.61e-05
146.8800,20000,1.000e+17,0.0178,0.000212
146.8800,30000,1.000e+17,0.0144,0.000366
146.8800,40000,1.000e+17,0.0126,0.000523
146.8800,50000,1.000e+17,0.0115,0.000695
146.8800,60000,1.000e+17,0.0108,0.000831
159.7590,5000,1.000e+17,0.0404,0.000206
159.7590,10000,1.000e+17,0.0281,0.000253
159.7590,20000,1.000e+17,0.0195,0.000361
159.7590,30000,1.000e+17,0.0158,0.00048
159.7590,40000,1.000e+17,0.0137,0.000607
159.7590,50000,1.000e+17,0.0124,0.000756
159.7590,60000,1.000e+17,0.0116,0.000898
164.7070,5000,1.000e+17,0.0511,-0.00187
164.7070,10000,1.000e+17,0.0356,-0.00123
164.7070,20000,1.000e+17,0.0247,-0.000689
164.7070,30000,1.000e+17,0.02,-0.00037
164.7070,40000,1.000e+17,0.0174,-0.00011
164.7070,50000,1.000e+17,0.0157,0.000141
164.7070,60000,1.000e+17,0.0147,0.000369
154.4460,5000,1.000e+17,0.0487,-0.00254
154.4460,10000,1.000e+17,0.0339,-0.00169
154.4460,20000,1.000e+17,0.0235,-0.00101
154.4460,30000,1.000e+17,0.0191,-0.000631
154.4460,40000,1.000e+17,0.0166,-0.000327
154.4460,50000,1.000e+17,0.0151,-4.28e-05
154.4460,60000,1.000e+17,0.0141,0.000191
152.8370,5000,1.000e+17,0.0532,-0.00496
152.8370,10000,1.000e+17,0.0371,-0.00343
152.8370,20000,1.000e+17,0.0258,-0.00226
152.8370,30000,1.000e+17,0.0209,-0.00166
152.8370,40000,1.000e+17,0.0182,-0.00122
152.8370,50000,1.000e+17,0.0165,-0.000847
152.8370,60000,1.000e+17,0.0154,-0.000547
164.6650,5000,1.000e+17,0.037,0.00319
164.6650,10000,1.000e+17,0.0257,0.0024
164.6650,20000,1.000e+17,0.0178,0.00193
164.6650,30000,1.000e+17,0.0144,0.0018
164.6650,40000,1.000e+17,0.0125,0.00178
164.6650,50000,1.000e+17,0.0114,0.00183
164.6650,60000,1.000e+17,0.0107,0.00191
168.7070,5000,1.000e+17,0.0395,0.00267
168.7070,10000,1.000e+17,0.0275,0.00203
168.7070,20000,1.000e+17,0.019,0.00166
168.7070,30000,1.000e+17,0.0154,0.00157
168.7070,40000,1.000e+17,0.0134,0.00158
168.7070,50000,1.000e+17,0.0122,0.00165
168.7070,60000,1.000e+17,0.0114,0.00175
136.9550,5000,1.000e+17,0.0267,0.00394
136.9550,10000,1.000e+17,0.0185,0.00296
136.9550,20000,1.000e+17,0.0128,0.00237
136.9550,30000,1.000e+17,0.0105,0.0022
136.9550,40000,1.000e+17,0.00925,0.00218
136.9550,50000,1.000e+17,0.00861,0.00221
136.9550,60000,1.000e+17,0.00825,0.00232
156.9670,5000,1.000e+17,0.0281,0.00448
156.9670,10000,1.000e+17,0.0194,0.00334
156.9670,20000,1.000e+17,0.0134,0.00263
156.9670,30000,1.000e+17,0.0109,0.0024
156.9670,40000,1.000e+17,0.00955,0.00233
156.9670,50000,1.000e+17,0.00879,0.00235
156.9670,60000,1.000e+17,0.00839,0.00237
155.2190,5000,1.000e+17,0.0283,0.00412
155.2190,10000,1.000e+17,0.0196,0.00309
155.2190,20000,1.000e+17,0.0135,0.00245
155.2190,30000,1.000e+17,0.011,0.00225
155.2190,40000,1.000e+17,0.00966,0.0022
155.2190,50000,1.000e+17,0.0089,0.00224
155.2190,60000,1.000e+17,0.00849,0.00227
156.2500,5000,1.000e+17,0.0288,0.00402
156.2500,10000,1.000e+17,0.02,0.00302
156.2500,20000,1.000e+17,0.0138,0.0024
156.2500,30000,1.000e+17,0.0112,0.00221
156.2500,40000,1.000e+17,0.00982,0.00216
156.2500,50000,1.000e+17,0.00904,0.0022
156.2500,60000,1.000e+17,0.00862,0.00224
165.4740,5000,1.000e+17,0.0301,0.0047
165.4740,10000,1.000e+17,0.0208,0.0035
165.4740,20000,1.000e+17,0.0143,0.00274
165.4740,30000,1.000e+17,0.0116,0.00248
165.4740,40000,1.000e+17,0.0102,0.00239
165.4740,50000,1.000e+17,0.00932,0.00239
165.4740,60000,1.000e+17,0.00885,0.00241
159.7560,5000,1.000e+17,0.0289,0.00447
159.7560,10000,1.000e+17,0.02,0.00334
159.7560,20000,1.000e+17,0.0138,0.00263
159.7560,30000,1.000e+17,0.0112,0.0024
159.7560,40000,1.000e+17,0.0098,0.00232
159.7560,50000,1.000e+17,0.00901,0.00234
159.7560,60000,1.000e+17,0.00858,0.00236
173.0630,5000,1.000e+17,0.0354,0.00329
173.0630,10000,1.000e+17,0.0246,0.00249
173.0630,20000,1.000e+17,0.017,0.00201
173.0630,30000,1.000e+17,0.0137,0.00188
173.0630,40000,1.000e+17,0.012,0.00186
173.0630,50000,1.000e+17,0.0109,0.0019
173.0630,60000,1.000e+17,0.0103,0.00198
159.0570,5000,1.000e+17,0.0317,0.00281
159.0570,10000,1.000e+17,0.022,0.00215
159.0570,20000,1.000e+17,0.0152,0.00178
159.0570,30000,1.000e+17,0.0123,0.0017
159.0570,40000,1.000e+17,0.0108,0.00172
159.0570,50000,1.000e+17,0.00991,0.00181
159.0570,60000,1.000e+17,0.00942,0.00189
157.2620,5000,1.000e+17,0.0319,0.00248
157.2620,10000,1.000e+17,0.0221,0.00192
157.2620,20000,1.000e+17,0.0153,0.00162
157.2620,30000,1.000e+17,0.0124,0.00157
157.2620,40000,1.000e+17,0.0109,0.00161
157.2620,50000,1.000e+17,0.00999,0.00171
157.2620,60000,1.000e+17,0.0095,0.0018
173.5330,5000,1.000e+17,0.0395,0.00116
173.5330,10000,1.000e+17,0.0274,0.000967
173.5330,20000,1.000e+17,0.0189,0.00092
173.5330,30000,1.000e+17,0.0153,0.00098
173.5330,40000,1.000e+17,0.0134,0.00108
173.5330,50000,1.000e+17,0.0122,0.00121
173.5330,60000,1.000e+17,0.0114,0.00135
158.3210,5000,1.000e+17,0.0324,0.00236
158.3210,10000,1.000e+17,0.0225,0.00183
158.3210,20000,1.000e+17,0.0155,0.00155
158.3210,30000,1.000e+17,0.0126,0.00151
158.3210,40000,1.000e+17,0.0111,0.00156
158.3210,50000,1.000e+17,0.0101,0.00167
158.3210,60000,1.000e+17,0.00964,0.00176
155.6490,5000,1.000e+17,0.0335,0.00152
155.6490,10000,1.000e+17,0.0233,0.00123
155.6490,20000,1.000e+17,0.0161,0.00112
155.6490,30000,1.000e+17,0.0131,0.00116
155.6490,40000,1.000e+17,0.0115,0.00126
155.6490,50000,1.000e+17,0.0105,0.0014
