transition,T_e,n_e,gamma_W,gamma_d
339.4200,10000,1.000e+17,0.252,
339.4200,20000,1.000e+17,0.178,
339.4200,40000,1.000e+17,0.126,
339.4200,80000,1.000e+17,0.0933,
339.4200,160000,1.000e+17,0.079,
354.3800,10000,1.000e+17,0.271,
354.3800,20000,1.000e+17,0.192,
354.3800,40000,1.000e+17,0.136,
354.3800,80000,1.000e+17,0.1,
354.3800,160000,1.000e+17,0.0852,
297.5400,10000,1.000e+17,0.204,
297.5400,20000,1.000e+17,0.144,
297.5400,40000,1.000e+17,0.102,
297.5400,80000,1.000e+17,0.0752,
297.5400,160000,1.000e+17,0.0634,
182.5700,10000,1.000e+17,0.0452,
182.5700,20000,1.000e+17,0.032,
182.5700,40000,1.000e+17,0.0226,
182.5700,80000,1.000e+17,0.0165,
182.5700,160000,1.000e+17,0.0134,
404.5800,10000,1.000e+17,0.257,
404.5800,20000,1.000e+17,0.182,
404.5800,40000,1.000e+17,0.129,
404.5800,80000,1.000e+17,0.0931,
404.5800,160000,1.000e+17,0.0744,
258.1600,10000,1.000e+17,0.164,
258.1600,20000,1.000e+17,0.116,
258.1600,40000,1.000e+17,0.082,
258.1600,80000,1.000e+17,0.0593,
258.1600,160000,1.000e+17,0.0527,
232.4300,10000,1.000e+17,0.135,
232.4300,20000,1.000e+17,0.0952,
232.4300,40000,1.000e+17,0.0673,
232.4300,80000,1.000e+17,0.0489,
232.4300,160000,1.000e+17,0.0441,
228.1000,10000,1.000e+17,0.0779,
228.1000,20000,1.000e+17,0.0551,
228.1000,40000,1.000e+17,0.039,
228.1000,80000,1.000e+17,0.0283,
228.1000,160000,1.000e+17,0.0251,
266.8200,10000,1.000e+17,0.174,
266.8200,20000,1.000e+17,0.123,
266.8200,40000,1.000e+17,0.0872,
266.8200,80000,1.000e+17,0.0682,
266.8200,160000,1.000e+17,0.0548,
241.6900,10000,1.000e+17,0.0888,
241.6900,20000,1.000e+17,0.0628,
241.6900,40000,1.000e+17,0.0444,
241.6900,80000,1.000e+17,0.0321,
241.6900,160000,1.000e+17,0.0283,
270.0200,10000,1.000e+17,0.182,
270.0200,20000,1.000e+17,0.129,
270.0200,40000,1.000e+17,0.0909,
270.0200,80000,1.000e+17,0.0654,
270.0200,160000,1.000e+17,0.0572,
373.9400,10000,1.000e+17,0.314,
373.9400,20000,1.000e+17,0.222,
373.9400,40000,1.000e+17,0.157,
373.9400,80000,1.000e+17,0.118,
373.9400,160000,1.000e+17,0.101,
330.0900,10000,1.000e+17,0.243,
330.0900,20000,1.000e+17,0.172,
330.0900,40000,1.000e+17,0.121,
330.0900,80000,1.000e+17,0.0903,
330.0900,160000,1.000e+17,0.0768,
362.9000,10000,1.000e+17,0.284,
362.9000,20000,1.000e+17,0.201,
362.9000,40000,1.000e+17,0.142,
362.9000,80000,1.000e+17,0.106,
362.9000,160000,1.000e+17,0.0898,
316.0100,10000,1.000e+17,0.226,
316.0100,20000,1.000e+17,0.16,
316.0100,40000,1.000e+17,0.113,
316.0100,80000,1.000e+17,0.0836,
316.0100,160000,1.000e+17,0.0707,
