transition,T_e,n_e,gamma_W,gamma_d
34.0300,100000,1.000e+17,4.77e-05,-4.15e-05
34.0300,200000,1.000e+17,8.51e-05,-6.64e-05
34.0300,500000,1.000e+17,0.000137,-9.87e-05
34.0300,1000000,1.000e+17,0.000165,-0.000118
34.0300,1500000,1.000e+17,0.000183,-0.000131
34.0300,2000000,1.000e+17,0.000196,-0.00014
45.5700,100000,1.000e+17,0.000119,2.32e-05
45.5700,200000,1.000e+17,0.000191,4.14e-05
45.5700,500000,1.000e+17,0.000271,6.94e-05
45.5700,1000000,1.000e+17,0.000309,8.81e-05
45.5700,1500000,1.000e+17,0.00033,9.88e-05
45.5700,2000000,1.000e+17,0.000342,0.000106
60.2600,100000,1.000e+17,3.34e-05,-3.27e-06
60.2600,200000,1.000e+17,7.03e-05,-6.57e-06
60.2600,500000,1.000e+17,0.000126,-1.47e-05
60.2600,1000000,1.000e+17,0.000161,-2.25e-05
60.2600,1500000,1.000e+17,0.000174,-2.74e-05
60.2600,2000000,1.000e+17,0.000182,-3.1e-05
22.4800,100000,1.000e+17,3.13e-05,2.54e-05
22.4800,200000,1.000e+17,5.19e-05,3.88e-05
22.4800,500000,1.000e+17,7.91e-05,5.6e-05
22.4800,1000000,1.000e+17,9.6e-05,6.74e-05
22.4800,1500000,1.000e+17,0.000105,7.42e-05
22.4800,2000000,1.000e+17,0.000112,7.97e-05
29.4300,100000,1.000e+17,1.25e-05,3.37e-05
29.4300,200000,1.000e+17,3.38e-05,5.33e-05
29.4300,500000,1.000e+17,7.06e-05,7.87e-05
29.4300,1000000,1.000e+17,9.42e-05,9.4e-05
29.4300,1500000,1.000e+17,0.000108,0.000104
29.4300,2000000,1.000e+17,0.000119,0.000112
80.4800,100000,1.000e+17,2.9e-05,-1.91e-05
80.4800,200000,1.000e+17,6.83e-05,-3.73e-05
80.4800,500000,1.000e+17,0.000141,-7.39e-05
80.4800,1000000,1.000e+17,0.000198,-0.000103
80.4800,1500000,1.000e+17,0.000218,-0.000119
80.4800,2000000,1.000e+17,0.000234,-0.000128
19.6200,100000,1.000e+17,2.01e-05,2.88e-06
19.6200,200000,1.000e+17,3.26e-05,5.34e-06
19.6200,500000,1.000e+17,4.68e-05,9.19e-06
19.6200,1000000,1.000e+17,5.31e-05,1.23e-05
19.6200,1500000,1.000e+17,5.67e-05,1.37e-05
19.6200,2000000,1.000e+17,5.89e-05,1.47e-05
669.9300,100000,1.000e+17,0.0419,-0.036
669.9300,200000,1.000e+17,0.0671,-0.0527
669.9300,500000,1.000e+17,0.0978,-0.0727
669.9300,1000000,1.000e+17,0.117,-0.0865
669.9300,2000000,1.000e+17,0.137,-0.101
669.9300,5000000,1.000e+17,0.129,-0.0957
168.0400,100000,1.000e+17,0.00284,0.00119
168.0400,200000,1.000e+17,0.00428,0.00186
168.0400,500000,1.000e+17,0.00576,0.00272
168.0400,1000000,1.000e+17,0.00665,0.00327
168.0400,1500000,1.000e+17,0.00715,0.00363
168.0400,2000000,1.000e+17,0.00743,0.00387
219.0400,100000,1.000e+17,0.00261,-0.00145
219.0400,200000,1.000e+17,0.0043,-0.00236
219.0400,500000,1.000e+17,0.00639,-0.00357
219.0400,1000000,1.000e+17,0.0075,-0.00428
219.0400,1500000,1.000e+17,0.0082,-0.00474
219.0400,2000000,1.000e+17,0.00862,-0.00507
