transition,T_e,n_e,gamma_W,gamma_d
242.4000,5000,1.000e+17,0.0568,
242.4000,10000,1.000e+17,0.0401,
242.4000,20000,1.000e+17,0.0284,
242.4000,50000,1.000e+17,0.0179,
242.4000,100000,1.000e+17,0.013,
236.0400,5000,1.000e+17,0.0616,
236.0400,10000,1.000e+17,0.0435,
236.0400,20000,1.000e+17,0.0308,
236.0400,50000,1.000e+17,0.0195,
236.0400,100000,1.000e+17,0.0141,
225.1800,5000,1.000e+17,0.0431,
225.1800,10000,1.000e+17,0.0305,
225.1800,20000,1.000e+17,0.0216,
225.1800,50000,1.000e+17,0.0136,
225.1800,100000,1.000e+17,0.00976,
241.2300,5000,1.000e+17,0.0587,
241.2300,10000,1.000e+17,0.0415,
241.2300,20000,1.000e+17,0.0294,
241.2300,50000,1.000e+17,0.0186,
241.2300,100000,1.000e+17,0.0134,
241.9200,5000,1.000e+17,0.0671,
241.9200,10000,1.000e+17,0.0475,
241.9200,20000,1.000e+17,0.0336,
241.9200,50000,1.000e+17,0.0212,
241.9200,100000,1.000e+17,0.0154,
230.8200,5000,1.000e+17,0.047,
230.8200,10000,1.000e+17,0.0332,
230.8200,20000,1.000e+17,0.0235,
230.8200,50000,1.000e+17,0.0148,
230.8200,100000,1.000e+17,0.0106,
237.0000,5000,1.000e+17,0.0503,
237.0000,10000,1.000e+17,0.0355,
237.0000,20000,1.000e+17,0.0251,
237.0000,50000,1.000e+17,0.0159,
237.0000,100000,1.000e+17,0.0114,
232.6800,5000,1.000e+17,0.053,
232.6800,10000,1.000e+17,0.0375,
232.6800,20000,1.000e+17,0.0265,
232.6800,50000,1.000e+17,0.0168,
232.6800,100000,1.000e+17,0.0121,
240.4100,5000,1.000e+17,0.0603,
240.4100,10000,1.000e+17,0.0426,
240.4100,20000,1.000e+17,0.0301,
240.4100,50000,1.000e+17,0.0191,
240.4100,100000,1.000e+17,0.0138,
244.6800,5000,1.000e+17,0.0556,
244.6800,10000,1.000e+17,0.0393,
244.6800,20000,1.000e+17,0.0278,
244.6800,50000,1.000e+17,0.0176,
244.6800,100000,1.000e+17,0.0127,
254.7500,5000,1.000e+17,0.0651,
254.7500,10000,1.000e+17,0.046,
254.7500,20000,1.000e+17,0.0325,
254.7500,50000,1.000e+17,0.0206,
254.7500,100000,1.000e+17,0.015,
251.1900,5000,1.000e+17,0.0682,
251.1900,10000,1.000e+17,0.0482,
251.1900,20000,1.000e+17,0.0341,
251.1900,50000,1.000e+17,0.0216,
251.1900,100000,1.000e+17,0.0157,
234.8500,5000,1.000e+17,0.0522,
234.8500,10000,1.000e+17,0.0369,
234.8500,20000,1.000e+17,0.0261,
234.8500,50000,1.000e+17,0.0165,
234.8500,100000,1.000e+17,0.0119,
228.2600,5000,1.000e+17,0.0533,
228.2600,10000,1.000e+17,0.0377,
228.2600,20000,1.000e+17,0.0266,
228.2600,50000,1.000e+17,0.0169,
228.2600,100000,1.000e+17,0.0121,
226.1200,5000,1.000e+17,0.0503,
226.1200,10000,1.000e+17,0.0356,
226.1200,20000,1.000e+17,0.0251,
226.1200,50000,1.000e+17,0.0159,
226.1200,100000,1.000e+17,0.0114,
242.3000,5000,1.000e+17,0.0529,
242.3000,10000,1.000e+17,0.0374,
242.3000,20000,1.000e+17,0.0264,
242.3000,50000,1.000e+17,0.0167,
242.3000,100000,1.000e+17,0.0121,
243.1300,5000,1.000e+17,0.0605,
243.1300,10000,1.000e+17,0.0428,
243.1300,20000,1.000e+17,0.0303,
243.1300,50000,1.000e+17,0.0191,
243.1300,100000,1.000e+17,0.0139,
247.9800,5000,1.000e+17,0.0758,
247.9800,10000,1.000e+17,0.0536,
247.9800,20000,1.000e+17,0.0379,
247.9800,50000,1.000e+17,0.024,
247.9800,100000,1.000e+17,0.0175,
252.3700,5000,1.000e+17,0.0784,
252.3700,10000,1.000e+17,0.0554,
252.3700,20000,1.000e+17,0.0392,
252.3700,50000,1.000e+17,0.0248,
252.3700,100000,1.000e+17,0.0182,
231.1000,5000,1.000e+17,0.0536,
231.1000,10000,1.000e+17,0.0379,
231.1000,20000,1.000e+17,0.0268,
231.1000,50000,1.000e+17,0.017,
231.1000,100000,1.000e+17,0.0122,
234.8300,5000,1.000e+17,0.0662,
234.8300,10000,1.000e+17,0.0468,
234.8300,20000,1.000e+17,0.0331,
234.8300,50000,1.000e+17,0.0209,
234.8300,100000,1.000e+17,0.0152,
221.5900,5000,1.000e+17,0.0399,
221.5900,10000,1.000e+17,0.0282,
221.5900,20000,1.000e+17,0.0199,
221.5900,50000,1.000e+17,0.0126,
221.5900,100000,1.000e+17,0.00902,
249.6600,5000,1.000e+17,0.0597,
249.6600,10000,1.000e+17,0.0422,
249.6600,20000,1.000e+17,0.0299,
249.6600,50000,1.000e+17,0.0189,
249.6600,100000,1.000e+17,0.0137,
292.9800,5000,1.000e+17,0.163,
292.9800,10000,1.000e+17,0.115,
292.9800,20000,1.000e+17,0.0814,
292.9800,50000,1.000e+17,0.0568,
292.9800,100000,1.000e+17,0.0492,
278.5400,5000,1.000e+17,0.171,
278.5400,10000,1.000e+17,0.121,
278.5400,20000,1.000e+17,0.0854,
278.5400,50000,1.000e+17,0.0609,
278.5400,100000,1.000e+17,0.0539,
270.9000,5000,1.000e+17,0.185,
270.9000,10000,1.000e+17,0.131,
270.9000,20000,1.000e+17,0.0926,
270.9000,50000,1.000e+17,0.0672,
270.9000,100000,1.000e+17,0.0606,
265.8200,5000,1.000e+17,0.145,
265.8200,10000,1.000e+17,0.103,
265.8200,20000,1.000e+17,0.0726,
265.8200,50000,1.000e+17,0.0521,
265.8200,100000,1.000e+17,0.0462,
256.9400,5000,1.000e+17,0.14,
256.9400,10000,1.000e+17,0.0987,
256.9400,20000,1.000e+17,0.0698,
256.9400,50000,1.000e+17,0.0499,
256.9400,100000,1.000e+17,0.0441,
270.0300,5000,1.000e+17,0.16,
270.0300,10000,1.000e+17,0.113,
270.0300,20000,1.000e+17,0.0798,
270.0300,50000,1.000e+17,0.0569,
270.0300,100000,1.000e+17,0.05,
233.3100,5000,1.000e+17,0.0508,
233.3100,10000,1.000e+17,0.0359,
233.3100,20000,1.000e+17,0.0254,
233.3100,50000,1.000e+17,0.0161,
233.3100,100000,1.000e+17,0.0116,
240.6200,5000,1.000e+17,0.0552,
240.6200,10000,1.000e+17,0.0391,
240.6200,20000,1.000e+17,0.0276,
240.6200,50000,1.000e+17,0.0175,
240.6200,100000,1.000e+17,0.0126,
230.1600,5000,1.000e+17,0.0521,
230.1600,10000,1.000e+17,0.0369,
230.1600,20000,1.000e+17,0.0261,
230.1600,50000,1.000e+17,0.0165,
230.1600,100000,1.000e+17,0.0119,
107.9400,5000,1.000e+17,0.0346,
107.9400,10000,1.000e+17,0.0245,
107.9400,20000,1.000e+17,0.0173,
107.9400,50000,1.000e+17,0.0127,
107.9400,100000,1.000e+17,0.0114,
251.6100,5000,1.000e+17,0.065,
251.6100,10000,1.000e+17,0.046,
251.6100,20000,1.000e+17,0.0325,
251.6100,50000,1.000e+17,0.0205,
251.6100,100000,1.000e+17,0.0149,
240.8800,5000,1.000e+17,0.0518,
240.8800,10000,1.000e+17,0.0366,
240.8800,20000,1.000e+17,0.0259,
240.8800,50000,1.000e+17,0.0164,
240.8800,100000,1.000e+17,0.0118,
258.1800,5000,1.000e+17,0.054,
258.1800,10000,1.000e+17,0.0382,
258.1800,20000,1.000e+17,0.027,
258.1800,50000,1.000e+17,0.0171,
258.1800,100000,1.000e+17,0.0123,
114.4700,5000,1.000e+17,0.0378,
114.4700,10000,1.000e+17,0.0268,
114.4700,20000,1.000e+17,0.0189,
