transition,T_e,n_e,gamma_W,gamma_d
194.8700,10000,1.000e+17,0.0338,-0.00419
194.8700,20000,1.000e+17,0.0236,-0.00301
194.8700,50000,1.000e+17,0.0147,-0.00191
194.8700,100000,1.000e+17,0.0106,-0.0013
194.8700,200000,1.000e+17,0.00867,-0.000848
194.8700,300000,1.000e+17,0.00828,-0.000629
194.8700,10000,1.000e+17,0.0338,-0.00419
194.8700,20000,1.000e+17,0.0236,-0.00301
194.8700,50000,1.000e+17,0.0147,-0.00191
194.8700,100000,1.000e+17,0.0106,-0.0013
194.8700,200000,1.000e+17,0.00867,-0.000848
194.8700,300000,1.000e+17,0.00828,-0.000629
179.1300,10000,1.000e+17,0.0294,-0.00313
179.1300,20000,1.000e+17,0.0205,-0.00224
179.1300,50000,1.000e+17,0.0128,-0.00141
179.1300,100000,1.000e+17,0.00921,-0.000936
179.1300,200000,1.000e+17,0.00752,-0.000541
179.1300,300000,1.000e+17,0.00718,-0.000378
179.1300,10000,1.000e+17,0.0294,-0.00313
179.1300,20000,1.000e+17,0.0205,-0.00224
179.1300,50000,1.000e+17,0.0128,-0.00141
179.1300,100000,1.000e+17,0.00921,-0.000936
179.1300,200000,1.000e+17,0.00752,-0.000541
179.1300,300000,1.000e+17,0.00718,-0.000378
194.2400,10000,1.000e+17,0.0323,-0.00294
194.2400,20000,1.000e+17,0.0225,-0.00211
194.2400,50000,1.000e+17,0.014,-0.00132
194.2400,100000,1.000e+17,0.0101,-0.000882
194.2400,200000,1.000e+17,0.00826,-0.000525
194.2400,300000,1.000e+17,0.0079,-0.000344
194.2400,10000,1.000e+17,0.0323,-0.00294
194.2400,20000,1.000e+17,0.0225,-0.00211
194.2400,50000,1.000e+17,0.014,-0.00132
194.2400,100000,1.000e+17,0.0101,-0.000882
194.2400,200000,1.000e+17,0.00826,-0.000525
194.2400,300000,1.000e+17,0.0079,-0.000344
195.6000,10000,1.000e+17,0.0327,-0.00296
195.6000,20000,1.000e+17,0.0228,-0.00213
195.6000,50000,1.000e+17,0.0142,-0.00133
195.6000,100000,1.000e+17,0.0102,-0.00089
195.6000,200000,1.000e+17,0.00837,-0.000531
195.6000,300000,1.000e+17,0.008,-0.000347
178.6000,10000,1.000e+17,0.0281,-0.00207
178.6000,20000,1.000e+17,0.0196,-0.00148
178.6000,50000,1.000e+17,0.0122,-0.000916
178.6000,100000,1.000e+17,0.00879,-0.000581
178.6000,200000,1.000e+17,0.00719,-0.000269
178.6000,300000,1.000e+17,0.00686,-0.000137
178.6000,10000,1.000e+17,0.0281,-0.00207
178.6000,20000,1.000e+17,0.0196,-0.00148
178.6000,50000,1.000e+17,0.0122,-0.000916
178.6000,100000,1.000e+17,0.00879,-0.000581
178.6000,200000,1.000e+17,0.00719,-0.000269
178.6000,300000,1.000e+17,0.00686,-0.000137
