transition,T_e,n_e,gamma_W,gamma_d
319.7600,5000,1.000e+17,0.00618,0.000439
319.7600,10000,1.000e+17,0.0093,0.000886
319.7600,20000,1.000e+17,0.0117,0.00144
319.7600,30000,1.000e+17,0.0126,0.00176
319.7600,50000,1.000e+17,0.0137,0.00214
319.7600,100000,1.000e+17,0.0149,0.00257
304.6900,5000,1.000e+17,0.00633,0.000655
304.6900,10000,1.000e+17,0.00942,0.00126
304.6900,20000,1.000e+17,0.0116,0.00195
304.6900,30000,1.000e+17,0.0126,0.00238
304.6900,50000,1.000e+17,0.0137,0.00278
304.6900,100000,1.000e+17,0.0147,0.00334
363.7700,5000,1.000e+17,0.00742,0.00233
363.7700,10000,1.000e+17,0.0114,0.00411
363.7700,20000,1.000e+17,0.0147,0.00603
363.7700,30000,1.000e+17,0.0161,0.00683
363.7700,50000,1.000e+17,0.0177,0.00794
363.7700,100000,1.000e+17,0.0197,0.00945
206.0400,5000,1.000e+17,0.00219,-5.41e-05
206.0400,10000,1.000e+17,0.00335,-0.000118
206.0400,20000,1.000e+17,0.00433,-0.000214
206.0400,30000,1.000e+17,0.00468,-0.000278
206.0400,50000,1.000e+17,0.00508,-0.000355
206.0400,100000,1.000e+17,0.00553,-0.000446
337.8000,5000,1.000e+17,0.00781,0.00032
337.8000,10000,1.000e+17,0.0116,0.000669
337.8000,20000,1.000e+17,0.0143,0.00114
337.8000,30000,1.000e+17,0.0154,0.00138
337.8000,50000,1.000e+17,0.0168,0.00176
337.8000,100000,1.000e+17,0.0181,0.00212
373.8400,5000,1.000e+17,0.00851,0.000429
373.8400,10000,1.000e+17,0.0128,0.000891
373.8400,20000,1.000e+17,0.0161,0.00151
373.8400,30000,1.000e+17,0.0174,0.00183
373.8400,50000,1.000e+17,0.0189,0.0023
373.8400,100000,1.000e+17,0.0204,0.00276
458.8200,5000,1.000e+17,0.0147,0.00115
458.8200,10000,1.000e+17,0.0218,0.00227
458.8200,20000,1.000e+17,0.0269,0.00359
458.8200,30000,1.000e+17,0.029,0.00439
458.8200,50000,1.000e+17,0.0315,0.00522
458.8200,100000,1.000e+17,0.0339,0.0063
527.9600,5000,1.000e+17,0.0174,0.000868
527.9600,10000,1.000e+17,0.0261,0.0018
527.9600,20000,1.000e+17,0.0326,0.00304
527.9600,30000,1.000e+17,0.0352,0.0037
527.9600,50000,1.000e+17,0.0383,0.00464
527.9600,100000,1.000e+17,0.0414,0.00556
607.3400,5000,1.000e+17,0.021,0.00397
607.3400,10000,1.000e+17,0.032,0.00742
607.3400,20000,1.000e+17,0.0408,0.0111
607.3400,30000,1.000e+17,0.0442,0.0132
607.3400,50000,1.000e+17,0.0483,0.0152
607.3400,100000,1.000e+17,0.0528,0.0182
