transition,T_e,n_e,gamma_W,gamma_d
167.6200,10000,1.000e+17,0.0235,
167.6200,20000,1.000e+17,0.0166,
167.6200,50000,1.000e+17,0.0105,
167.6200,100000,1.000e+17,0.00742,
167.6200,200000,1.000e+17,0.00571,
167.6200,300000,1.000e+17,0.00513,
167.3000,10000,1.000e+17,0.0235,
167.3000,20000,1.000e+17,0.0166,
167.3000,50000,1.000e+17,0.0105,
167.3000,100000,1.000e+17,0.00743,
167.3000,200000,1.000e+17,0.00572,
167.3000,300000,1.000e+17,0.00514,
177.4400,10000,1.000e+17,0.0262,
177.4400,20000,1.000e+17,0.0185,
177.4400,50000,1.000e+17,0.0117,
177.4400,100000,1.000e+17,0.00828,
177.4400,200000,1.000e+17,0.00639,
177.4400,300000,1.000e+17,0.00574,
171.6800,10000,1.000e+17,0.0232,
171.6800,20000,1.000e+17,0.0164,
171.6800,50000,1.000e+17,0.0104,
171.6800,100000,1.000e+17,0.00732,
171.6800,200000,1.000e+17,0.00562,
171.6800,300000,1.000e+17,0.00502,
160.1600,10000,1.000e+17,0.0206,
160.1600,20000,1.000e+17,0.0146,
160.1600,50000,1.000e+17,0.00921,
160.1600,100000,1.000e+17,0.00651,
160.1600,200000,1.000e+17,0.00497,
160.1600,300000,1.000e+17,0.00444,
166.7700,10000,1.000e+17,0.022,
166.7700,20000,1.000e+17,0.0156,
166.7700,50000,1.000e+17,0.00984,
166.7700,100000,1.000e+17,0.00696,
166.7700,200000,1.000e+17,0.00533,
166.7700,300000,1.000e+17,0.00476,
