transition,T_e,n_e,gamma_W,gamma_d
138.1600,10000,1.000e+17,0.0144,
138.1600,20000,1.000e+17,0.0102,
138.1600,30000,1.000e+17,0.00834,
138.1600,50000,1.000e+17,0.00646,
138.1600,100000,1.000e+17,0.00457,
138.1600,150000,1.000e+17,0.00375,
143.5600,10000,1.000e+17,0.0157,
143.5600,20000,1.000e+17,0.0111,
143.5600,30000,1.000e+17,0.00908,
143.5600,50000,1.000e+17,0.00703,
143.5600,100000,1.000e+17,0.00497,
143.5600,150000,1.000e+17,0.0041,
144.5800,10000,1.000e+17,0.016,
144.5800,20000,1.000e+17,0.0113,
144.5800,30000,1.000e+17,0.00922,
144.5800,50000,1.000e+17,0.00714,
144.5800,100000,1.000e+17,0.00505,
144.5800,150000,1.000e+17,0.00417,
137.8400,10000,1.000e+17,0.0137,
137.8400,20000,1.000e+17,0.0097,
137.8400,30000,1.000e+17,0.00792,
137.8400,50000,1.000e+17,0.00614,
137.8400,100000,1.000e+17,0.00434,
137.8400,150000,1.000e+17,0.00356,
142.2500,10000,1.000e+17,0.0147,
142.2500,20000,1.000e+17,0.0104,
142.2500,30000,1.000e+17,0.00849,
142.2500,50000,1.000e+17,0.00658,
142.2500,100000,1.000e+17,0.00465,
142.2500,150000,1.000e+17,0.00383,
135.9500,10000,1.000e+17,0.0133,
135.9500,20000,1.000e+17,0.00941,
135.9500,30000,1.000e+17,0.00768,
135.9500,50000,1.000e+17,0.00595,
135.9500,100000,1.000e+17,0.00421,
135.9500,150000,1.000e+17,0.00345,
