transition,T_e,n_e,gamma_W,gamma_d
320.6500,5000,1.000e+17,0.00962,0.000804
320.6500,10000,1.000e+17,0.014,0.00154
320.6500,20000,1.000e+17,0.0167,0.00237
320.6500,30000,1.000e+17,0.018,0.00289
320.6500,50000,1.000e+17,0.0195,0.00337
320.6500,100000,1.000e+17,0.0208,0.00407
430.5400,5000,1.000e+17,0.0123,-0.00125
430.5400,10000,1.000e+17,0.0184,-0.00243
430.5400,20000,1.000e+17,0.0231,-0.00379
430.5400,30000,1.000e+17,0.025,-0.00466
430.5400,50000,1.000e+17,0.0272,-0.00545
430.5400,100000,1.000e+17,0.0294,-0.0066
411.4800,5000,1.000e+17,0.0102,-0.00112
411.4800,10000,1.000e+17,0.0155,-0.00219
411.4800,20000,1.000e+17,0.0198,-0.00341
411.4800,30000,1.000e+17,0.0214,-0.00419
411.4800,50000,1.000e+17,0.0232,-0.00491
411.4800,100000,1.000e+17,0.0253,-0.00593
354.0800,5000,1.000e+17,0.00895,-0.000222
354.0800,10000,1.000e+17,0.0133,-0.000477
354.0800,20000,1.000e+17,0.0165,-0.000853
354.0800,30000,1.000e+17,0.0178,-0.00107
354.0800,50000,1.000e+17,0.0193,-0.00138
354.0800,100000,1.000e+17,0.0208,-0.0017
424.7000,5000,1.000e+17,0.119,-0.0598
424.7000,10000,1.000e+17,0.15,-0.0859
424.7000,20000,1.000e+17,0.18,-0.122
424.7000,30000,1.000e+17,0.194,-0.133
424.7000,50000,1.000e+17,0.215,-0.154
424.7000,100000,1.000e+17,0.233,-0.177
350.5400,5000,1.000e+17,0.019,0.00211
350.5400,10000,1.000e+17,0.0265,0.00377
350.5400,20000,1.000e+17,0.0305,0.00554
350.5400,30000,1.000e+17,0.0327,0.00631
350.5400,50000,1.000e+17,0.0352,0.00734
350.5400,100000,1.000e+17,0.0369,0.00872
385.0100,5000,1.000e+17,0.00911,-0.000763
385.0100,10000,1.000e+17,0.0138,-0.00152
385.0100,20000,1.000e+17,0.0175,-0.00244
385.0100,30000,1.000e+17,0.0189,-0.00297
385.0100,50000,1.000e+17,0.0205,-0.00358
385.0100,100000,1.000e+17,0.0222,-0.00431
