transition,T_e,n_e,gamma_W,gamma_d
312.5200,10000,1.000e+17,0.00221,-0.000995
312.5200,20000,1.000e+17,0.00418,-0.00189
312.5200,50000,1.000e+17,0.00678,-0.00326
312.5200,100000,1.000e+17,0.00802,-0.0041
312.5200,150000,1.000e+17,0.00874,-0.00461
312.5200,300000,1.000e+17,0.00991,-0.00548
31.5400,10000,1.000e+17,1.18e-06,8.46e-06
31.5400,20000,1.000e+17,5.79e-06,1.63e-05
31.5400,50000,1.000e+17,1.83e-05,2.86e-05
31.5400,100000,1.000e+17,3.27e-05,3.67e-05
31.5400,150000,1.000e+17,3.85e-05,4.1e-05
31.5400,300000,1.000e+17,4.89e-05,4.9e-05
