transition,T_e,n_e,gamma_W,gamma_d
270.1600,10000,1.000e+17,0.000345,-0.000155
270.1600,20000,1.000e+17,0.0023,-0.00105
270.1600,30000,1.000e+17,0.00442,-0.00191
270.1600,50000,1.000e+17,0.00856,-0.00364
270.1600,100000,1.000e+17,0.0128,-0.00569
270.1600,150000,1.000e+17,0.0152,-0.00692
245.5000,10000,1.000e+17,0.000163,-0.000141
245.5000,20000,1.000e+17,0.00113,-0.000956
245.5000,30000,1.000e+17,0.00229,-0.00173
245.5000,50000,1.000e+17,0.00481,-0.00327
245.5000,100000,1.000e+17,0.00771,-0.00507
245.5000,150000,1.000e+17,0.00972,-0.00617
