transition,T_e,n_e,gamma_W,gamma_d
17.3100,100000,1.000e+17,5.52e-06,1.47e-05
17.3100,200000,1.000e+17,1.34e-05,2.17e-05
17.3100,500000,1.000e+17,2.74e-05,3.05e-05
17.3100,1000000,1.000e+17,3.6e-05,3.66e-05
17.3100,1500000,1.000e+17,4.12e-05,4.05e-05
17.3100,2000000,1.000e+17,4.6e-05,4.27e-05
53.5200,100000,1.000e+17,2.19e-06,-3.81e-06
53.5200,200000,1.000e+17,6.1e-06,-7.54e-06
53.5200,500000,1.000e+17,1.74e-05,-1.57e-05
53.5200,1000000,1.000e+17,2.8e-05,-2.27e-05
53.5200,1500000,1.000e+17,3.49e-05,-2.71e-05
53.5200,2000000,1.000e+17,3.79e-05,-2.91e-05
