transition,T_e,n_e,gamma_W,gamma_d
13.4800,100000,1.000e+17,1.33e-06,5.43e-06
13.4800,200000,1.000e+17,4.49e-06,8.9e-06
13.4800,500000,1.000e+17,1.07e-05,1.35e-05
13.4800,1000000,1.000e+17,1.54e-05,1.62e-05
9.7300,100000,1.000e+17,9.95e-06,1.73e-05
9.7300,200000,1.000e+17,1.8e-05,2.41e-05
9.7300,500000,1.000e+17,2.96e-05,3.1e-05
9.7300,1000000,1.000e+17,3.84e-05,3.67e-05
8.6400,100000,1.000e+17,3.55e-05,4.76e-05
8.6400,200000,1.000e+17,5.5e-05,5.91e-05
8.6400,500000,1.000e+17,7.55e-05,7.54e-05
8.6400,1000000,1.000e+17,9.44e-05,8.54e-05
8.1500,100000,1.000e+17,9.76e-05,0.000106
8.1500,200000,1.000e+17,0.000129,0.00013
8.1500,500000,1.000e+17,0.000175,0.000156
8.1500,1000000,1.000e+17,0.000199,0.000182
88.5600,100000,1.000e+17,3.24e-06,-1.38e-05
88.5600,200000,1.000e+17,1050.0,-2.74e-05
88.5600,500000,1.000e+17,3.89e-05,-5.75e-05
88.5600,1000000,1.000e+17,7.27e-05,-8.33e-05
11.3000,100000,1.000e+17,2.18e-06,3.64e-06
11.3000,200000,1.000e+17,4.98e-06,6.01e-06
11.3000,500000,1.000e+17,9.58e-06,9.18e-06
11.3000,1000000,1.000e+17,1.25e-05,1.1e-05
8.6700,100000,1.000e+17,1.36e-05,1.69e-05
8.6700,200000,1.000e+17,2.27e-05,2.35e-05
8.6700,500000,1.000e+17,3.22e-05,2.98e-05
8.6700,1000000,1.000e+17,4.02e-05,3.6e-05
7.8400,100000,1.000e+17,4.87e-05,5.09e-05
7.8400,200000,1.000e+17,6.56e-05,6.23e-05
7.8400,500000,1.000e+17,8.61e-05,7.96e-05
7.8400,1000000,1.000e+17,0.000108,9.09e-05
39.2000,100000,1.000e+17,0.000147,0.000253
39.2000,200000,1.000e+17,0.000268,0.000354
39.2000,500000,1.000e+17,0.000445,0.000457
39.2000,1000000,1.000e+17,0.000558,0.000549
26.0100,100000,1.000e+17,0.000315,0.000423
26.0100,200000,1.000e+17,0.000489,0.000526
26.0100,500000,1.000e+17,0.000667,0.000668
26.0100,1000000,1.000e+17,0.000841,0.000759
22.0300,100000,1.000e+17,0.00071,0.000767
22.0300,200000,1.000e+17,0.00094,0.000943
22.0300,500000,1.000e+17,0.00129,0.00114
22.0300,1000000,1.000e+17,0.00144,0.00133
325.7400,100000,1.000e+17,0.00132,2.66e-05
325.7400,200000,1.000e+17,0.00268,5.37e-05
325.7400,500000,1.000e+17,0.00468,0.000131
325.7400,1000000,1.000e+17,0.00574,0.000227
33.5200,100000,1.000e+17,0.000192,0.000236
33.5200,200000,1.000e+17,0.00032,0.000328
33.5200,500000,1.000e+17,0.000455,0.000416
33.5200,1000000,1.000e+17,0.000544,0.000498
23.7200,100000,1.000e+17,0.000441,0.000461
23.7200,200000,1.000e+17,0.000595,0.000565
23.7200,500000,1.000e+17,0.000771,0.00072
23.7200,1000000,1.000e+17,0.000959,0.000827
85.5800,100000,1.000e+17,0.00276,0.00366
85.5800,200000,1.000e+17,0.00438,0.00465
85.5800,500000,1.000e+17,0.0061,0.00584
85.5800,1000000,1.000e+17,0.00729,0.00681
53.6900,100000,1.000e+17,0.00402,0.00435
53.6900,200000,1.000e+17,0.00535,0.00537
53.6900,500000,1.000e+17,0.00746,0.00667
53.6900,1000000,1.000e+17,0.00798,0.00741
796.1100,100000,1.000e+17,0.0659,0.0454
796.1100,200000,1.000e+17,0.102,0.0671
796.1100,500000,1.000e+17,0.144,0.094
796.1100,1000000,1.000e+17,0.168,0.112
73.6500,100000,1.000e+17,0.00388,0.00403
73.6500,200000,1.000e+17,0.00522,0.00494
73.6500,500000,1.000e+17,0.00699,0.0062
73.6500,1000000,1.000e+17,0.00809,0.00714
158.6700,100000,1.000e+17,0.0274,0.0285
158.6700,200000,1.000e+17,0.0361,0.0352
158.6700,500000,1.000e+17,0.0491,0.0435
158.6700,1000000,1.000e+17,0.056,0.0503
1570.3500,100000,1.000e+17,1.04,0.809
1570.3500,200000,1.000e+17,1.41,1.07
1570.3500,500000,1.000e+17,1.85,1.38
1570.3500,1000000,1.000e+17,2.13,1.6
