transition,T_e,n_e,gamma_W,gamma_d
261.1400,5000,1.000e+17,0.00387,-0.00019
261.1400,10000,1.000e+17,0.00544,-0.000367
261.1400,30000,1.000e+17,0.00671,-0.000698
261.1400,50000,1.000e+17,0.00722,-0.000814
261.1400,100000,1.000e+17,0.00759,-0.00098
261.1400,150000,1.000e+17,0.00769,-0.00109
239.2900,5000,1.000e+17,0.00364,-5.43e-05
239.2900,10000,1.000e+17,0.00506,-0.000115
239.2900,30000,1.000e+17,0.0062,-0.000244
239.2900,50000,1.000e+17,0.00664,-0.000313
239.2900,100000,1.000e+17,0.00694,-0.00038
239.2900,150000,1.000e+17,0.00708,-0.000422
233.4800,5000,1.000e+17,0.00364,-3.61e-05
233.4800,10000,1.000e+17,0.00506,-7.77e-05
233.4800,30000,1.000e+17,0.0062,-0.000176
233.4800,50000,1.000e+17,0.00664,-0.000226
233.4800,100000,1.000e+17,0.00694,-0.000281
233.4800,150000,1.000e+17,0.00708,-0.000313
