transition,T_e,n_e,gamma_W,gamma_d
242.2400,5000,1.000e+17,0.208,-0.0404
242.2400,10000,1.000e+17,0.144,-0.0277
242.2400,50000,1.000e+17,0.075,-0.00455
242.2400,100000,1.000e+17,0.0738,0.00323
242.2400,250000,1.000e+17,0.0772,0.00495
242.2400,500000,1.000e+17,0.0753,0.00346
156.8400,5000,1.000e+17,0.166,-0.0111
156.8400,10000,1.000e+17,0.117,-0.00467
156.8400,50000,1.000e+17,0.0849,0.0154
156.8400,100000,1.000e+17,0.0848,0.0162
156.8400,250000,1.000e+17,0.0804,0.0107
156.8400,500000,1.000e+17,0.0627,0.00657
589.2700,5000,1.000e+17,1.09,-0.267
589.2700,10000,1.000e+17,0.761,-0.191
589.2700,50000,1.000e+17,0.351,-0.0893
589.2700,100000,1.000e+17,0.299,-0.0647
589.2700,250000,1.000e+17,0.294,-0.0515
589.2700,500000,1.000e+17,0.279,-0.043
128.4700,5000,1.000e+17,0.0208,0.0125
128.4700,10000,1.000e+17,0.0145,0.00905
128.4700,50000,1.000e+17,0.00635,0.00455
128.4700,100000,1.000e+17,0.00517,0.00394
128.4700,250000,1.000e+17,0.00523,0.00358
128.4700,500000,1.000e+17,0.00541,0.00294
81.3600,5000,1.000e+17,0.022,0.0125
81.3600,10000,1.000e+17,0.0153,0.0092
81.3600,50000,1.000e+17,0.00821,0.00574
81.3600,100000,1.000e+17,0.00803,0.00525
81.3600,250000,1.000e+17,0.00794,0.00415
81.3600,500000,1.000e+17,0.00735,0.00317
134.3500,5000,1.000e+17,0.0455,0.0237
134.3500,10000,1.000e+17,0.0318,0.0171
134.3500,50000,1.000e+17,0.0148,0.00842
134.3500,100000,1.000e+17,0.0123,0.00687
134.3500,250000,1.000e+17,0.0114,0.00542
134.3500,500000,1.000e+17,0.0108,0.00427
62.0600,5000,1.000e+17,0.00822,-0.000565
62.0600,10000,1.000e+17,0.00573,-0.00039
62.0600,50000,1.000e+17,0.00268,-9.82e-05
62.0600,100000,1.000e+17,0.00231,8.77e-05
62.0600,250000,1.000e+17,0.00227,0.000205
62.0600,500000,1.000e+17,0.00214,0.000169
535.1200,5000,1.000e+17,2.53,-0.453
535.1200,10000,1.000e+17,1.77,-0.295
535.1200,50000,1.000e+17,1.23,0.01
535.1200,100000,1.000e+17,1.25,0.0299
535.1200,250000,1.000e+17,1.19,0.0072
535.1200,500000,1.000e+17,0.955,-0.00971
355.8600,5000,1.000e+17,0.614,0.202
355.8600,10000,1.000e+17,0.427,0.149
355.8600,50000,1.000e+17,0.222,0.0963
355.8600,100000,1.000e+17,0.214,0.0884
355.8600,250000,1.000e+17,0.215,0.0697
355.8600,500000,1.000e+17,0.199,0.0538
490.7300,5000,1.000e+17,1.06,-0.318
490.7300,10000,1.000e+17,0.742,-0.229
490.7300,50000,1.000e+17,0.348,-0.108
490.7300,100000,1.000e+17,0.296,-0.079
490.7300,250000,1.000e+17,0.28,-0.0558
490.7300,500000,1.000e+17,0.259,-0.0438
