transition,T_e,n_e,gamma_W,gamma_d
1623.9800,5000,1.000e+17,8.59,-2.39
1623.9800,10000,1.000e+17,5.99,-1.72
1623.9800,50000,1.000e+17,2.75,-0.825
1623.9800,100000,1.000e+17,2.34,-0.657
1623.9800,250000,1.000e+17,2.31,-0.518
1623.9800,500000,1.000e+17,2.19,-0.421
517.6500,5000,1.000e+17,0.72,-0.19
517.6500,10000,1.000e+17,0.502,-0.136
517.6500,50000,1.000e+17,0.227,-0.0632
517.6500,100000,1.000e+17,0.19,-0.0433
517.6500,250000,1.000e+17,0.187,-0.0345
517.6500,500000,1.000e+17,0.179,-0.0293
115.9200,5000,1.000e+17,0.0187,0.0149
115.9200,10000,1.000e+17,0.013,0.0107
115.9200,50000,1.000e+17,0.0058,0.00535
115.9200,100000,1.000e+17,0.00488,0.00468
115.9200,250000,1.000e+17,0.0047,0.00403
115.9200,500000,1.000e+17,0.00463,0.00329
139.5500,5000,1.000e+17,0.0441,0.0237
139.5500,10000,1.000e+17,0.0308,0.0171
139.5500,50000,1.000e+17,0.0142,0.00836
139.5500,100000,1.000e+17,0.0118,0.00679
139.5500,250000,1.000e+17,0.011,0.00537
139.5500,500000,1.000e+17,0.0104,0.00427
100.3800,5000,1.000e+17,0.00849,0.00614
100.3800,10000,1.000e+17,0.0059,0.00443
100.3800,50000,1.000e+17,0.00255,0.00224
100.3800,100000,1.000e+17,0.00208,0.00187
100.3800,250000,1.000e+17,0.00217,0.00178
100.3800,500000,1.000e+17,0.00232,0.0015
105.0000,5000,1.000e+17,0.0229,0.0118
105.0000,10000,1.000e+17,0.016,0.0085
105.0000,50000,1.000e+17,0.00728,0.00412
105.0000,100000,1.000e+17,0.00595,0.00333
105.0000,250000,1.000e+17,0.00552,0.0027
105.0000,500000,1.000e+17,0.00519,0.00214
481.5700,5000,1.000e+17,0.956,-0.236
481.5700,10000,1.000e+17,0.668,-0.17
481.5700,50000,1.000e+17,0.311,-0.0799
481.5700,100000,1.000e+17,0.262,-0.0577
481.5700,250000,1.000e+17,0.247,-0.0399
481.5700,500000,1.000e+17,0.228,-0.031
421.9600,5000,1.000e+17,0.698,-0.207
421.9600,10000,1.000e+17,0.488,-0.149
421.9600,50000,1.000e+17,0.224,-0.0689
421.9600,100000,1.000e+17,0.186,-0.0496
421.9600,250000,1.000e+17,0.175,-0.0351
421.9600,500000,1.000e+17,0.162,-0.0276
