transition,T_e,n_e,gamma_W,gamma_d
149.8300,5000,1.000e+17,0.0521,-0.0135
149.8300,10000,1.000e+17,0.0363,-0.00949
149.8300,50000,1.000e+17,0.0162,-0.0037
149.8300,100000,1.000e+17,0.0134,-0.00145
149.8300,250000,1.000e+17,0.0133,0.00029
149.8300,500000,1.000e+17,0.0131,0.000457
275.2600,5000,1.000e+17,0.157,-0.025
275.2600,10000,1.000e+17,0.11,-0.0178
275.2600,50000,1.000e+17,0.0484,-0.00792
275.2600,100000,1.000e+17,0.0376,-0.00528
275.2600,250000,1.000e+17,0.0341,-0.00304
275.2600,500000,1.000e+17,0.0337,-0.00261
108.0300,5000,1.000e+17,0.0539,-0.00112
108.0300,10000,1.000e+17,0.0376,-0.000672
108.0300,50000,1.000e+17,0.0189,0.00031
108.0300,100000,1.000e+17,0.0169,0.000971
108.0300,250000,1.000e+17,0.0156,0.00102
108.0300,500000,1.000e+17,0.0142,0.000733
996.6300,5000,1.000e+17,4.16,0.941
996.6300,10000,1.000e+17,2.9,0.674
996.6300,50000,1.000e+17,1.33,0.325
996.6300,100000,1.000e+17,1.14,0.261
996.6300,250000,1.000e+17,1.14,0.198
996.6300,500000,1.000e+17,1.09,0.156
219.0600,5000,1.000e+17,0.375,0.113
219.0600,10000,1.000e+17,0.262,0.0827
219.0600,50000,1.000e+17,0.136,0.049
219.0600,100000,1.000e+17,0.127,0.0411
219.0600,250000,1.000e+17,0.119,0.0301
219.0600,500000,1.000e+17,0.107,0.0225
54.2400,5000,1.000e+17,0.00844,0.00389
54.2400,10000,1.000e+17,0.0059,0.00281
54.2400,50000,1.000e+17,0.0027,0.00142
54.2400,100000,1.000e+17,0.00225,0.00123
54.2400,250000,1.000e+17,0.00214,0.00101
54.2400,500000,1.000e+17,0.002,0.000807
45.4600,5000,1.000e+17,0.0134,0.00565
45.4600,10000,1.000e+17,0.00938,0.00413
45.4600,50000,1.000e+17,0.00501,0.00243
45.4600,100000,1.000e+17,0.00466,0.00209
45.4600,250000,1.000e+17,0.00426,0.0016
45.4600,500000,1.000e+17,0.00373,0.00121
332.9000,5000,1.000e+17,0.723,-0.163
332.9000,10000,1.000e+17,0.514,-0.112
332.9000,50000,1.000e+17,0.272,-0.0259
332.9000,100000,1.000e+17,0.253,-0.0076
332.9000,250000,1.000e+17,0.244,-0.00212
332.9000,500000,1.000e+17,0.202,-0.00201
247.2400,5000,1.000e+17,0.24,0.0685
247.2400,10000,1.000e+17,0.168,0.0495
247.2400,50000,1.000e+17,0.0763,0.0248
247.2400,100000,1.000e+17,0.0634,0.0215
247.2400,250000,1.000e+17,0.0609,0.0168
247.2400,500000,1.000e+17,0.0574,0.0131
131.4700,5000,1.000e+17,0.13,0.0438
131.4700,10000,1.000e+17,0.0912,0.032
131.4700,50000,1.000e+17,0.0476,0.019
131.4700,100000,1.000e+17,0.0437,0.0163
131.4700,250000,1.000e+17,0.0403,0.0122
131.4700,500000,1.000e+17,0.0357,0.0091
359.4800,5000,1.000e+17,0.396,-0.101
359.4800,10000,1.000e+17,0.277,-0.0722
359.4800,50000,1.000e+17,0.124,-0.032
359.4800,100000,1.000e+17,0.0981,-0.0226
359.4800,250000,1.000e+17,0.0884,-0.0139
359.4800,500000,1.000e+17,0.0828,-0.0109
118.9700,5000,1.000e+17,0.0793,-0.00774
118.9700,10000,1.000e+17,0.0554,-0.00541
118.9700,50000,1.000e+17,0.0274,-0.00166
118.9700,100000,1.000e+17,0.0242,-0.00031
118.9700,250000,1.000e+17,0.0223,0.00028
118.9700,500000,1.000e+17,0.02,0.000188
504.3700,5000,1.000e+17,2.57,0.585
504.3700,10000,1.000e+17,1.79,0.427
504.3700,50000,1.000e+17,0.95,0.246
504.3700,100000,1.000e+17,0.886,0.202
504.3700,250000,1.000e+17,0.819,0.147
504.3700,500000,1.000e+17,0.721,0.109
786.5700,5000,1.000e+17,5.5,-1.61
786.5700,10000,1.000e+17,3.84,-1.15
786.5700,50000,1.000e+17,1.99,-0.516
786.5700,100000,1.000e+17,1.82,-0.375
786.5700,250000,1.000e+17,1.65,-0.269
786.5700,500000,1.000e+17,1.42,-0.201
