transition,T_e,n_e,gamma_W,gamma_d
186.9200,3000,1.000e+17,0.00332,0.00149
186.9200,5000,1.000e+17,0.00498,0.00255
186.9200,10000,1.000e+17,0.00734,0.00396
186.9200,20000,1.000e+17,0.00875,0.00529
186.9200,30000,1.000e+17,0.00952,0.00589
186.9200,50000,1.000e+17,0.0108,0.00689
226.1000,3000,1.000e+17,0.00139,0.00171
226.1000,5000,1.000e+17,0.00269,0.00298
226.1000,10000,1.000e+17,0.0046,0.00463
226.1000,20000,1.000e+17,0.00682,0.00628
226.1000,30000,1.000e+17,0.00785,0.00706
226.1000,50000,1.000e+17,0.00924,0.00812
222.5400,3000,1.000e+17,0.00564,0.00362
222.5400,5000,1.000e+17,0.00839,0.00575
222.5400,10000,1.000e+17,0.0127,0.00892
222.5400,20000,1.000e+17,0.0156,0.0117
222.5400,30000,1.000e+17,0.0176,0.0132
222.5400,50000,1.000e+17,0.02,0.0154
284.8500,3000,1.000e+17,0.00266,0.00262
284.8500,5000,1.000e+17,0.00489,0.00456
284.8500,10000,1.000e+17,0.00802,0.00709
284.8500,20000,1.000e+17,0.0113,0.00966
284.8500,30000,1.000e+17,0.0129,0.0108
284.8500,50000,1.000e+17,0.0152,0.0126
194.2300,3000,1.000e+17,0.000618,6.48e-06
194.2300,5000,1.000e+17,0.0011,1.33e-05
194.2300,10000,1.000e+17,0.00182,2.96e-05
194.2300,20000,1.000e+17,0.00251,5.93e-05
194.2300,30000,1.000e+17,0.00272,8.17e-05
194.2300,50000,1.000e+17,0.00299,0.000114
164.9900,3000,1.000e+17,0.000654,5.11e-05
164.9900,5000,1.000e+17,0.00112,0.000103
164.9900,10000,1.000e+17,0.00176,0.000211
164.9900,20000,1.000e+17,0.00234,0.000347
164.9900,30000,1.000e+17,0.00253,0.000423
164.9900,50000,1.000e+17,0.00275,0.000519
398.5000,3000,1.000e+17,0.00382,0.000509
398.5000,5000,1.000e+17,0.00656,0.00102
398.5000,10000,1.000e+17,0.0103,0.00197
398.5000,20000,1.000e+17,0.0137,0.00306
398.5000,30000,1.000e+17,0.0149,0.00375
398.5000,50000,1.000e+17,0.0162,0.00439
