transition,T_e,n_e,gamma_W,gamma_d
743.3100,5000,1.000e+17,1.54,-0.0413
743.3100,10000,1.000e+17,1.07,-0.0277
743.3100,20000,1.000e+17,0.742,-0.0168
743.3100,30000,1.000e+17,0.618,-0.0117
743.3100,40000,1.000e+17,0.516,-0.084
743.3100,70000,1.000e+17,0.516,-0.0133
257.1400,5000,1.000e+17,0.61,-0.0464
257.1400,10000,1.000e+17,0.432,-0.0368
257.1400,20000,1.000e+17,0.322,-0.0328
257.1400,30000,1.000e+17,0.283,-0.0265
257.1400,40000,1.000e+17,0.262,-0.0223
257.1400,70000,1.000e+17,0.236,-0.0211
531.9100,5000,1.000e+17,2.68,0.859
531.9100,10000,1.000e+17,1.9,0.671
531.9100,20000,1.000e+17,1.45,0.627
531.9100,30000,1.000e+17,1.31,0.612
531.9100,40000,1.000e+17,1.26,0.559
531.9100,70000,1.000e+17,1.22,0.365
571.7300,5000,1.000e+17,1.12,-0.286
571.7300,10000,1.000e+17,0.778,-0.208
571.7300,20000,1.000e+17,0.548,-0.156
571.7300,30000,1.000e+17,0.462,-0.139
571.7300,40000,1.000e+17,0.426,-0.135
571.7300,70000,1.000e+17,0.398,-0.12
532.6300,5000,1.000e+17,0.942,-0.193
532.6300,10000,1.000e+17,0.654,-0.14
532.6300,20000,1.000e+17,0.456,-0.104
532.6300,30000,1.000e+17,0.382,-0.0898
532.6300,40000,1.000e+17,0.348,-0.0855
532.6300,70000,1.000e+17,0.318,-0.0723
247.4200,5000,1.000e+17,0.5,-0.0669
247.4200,10000,1.000e+17,0.354,-0.0511
247.4200,20000,1.000e+17,0.32,-0.0524
247.4200,30000,1.000e+17,0.28,-0.0451
247.4200,40000,1.000e+17,0.26,-0.0411
247.4200,70000,1.000e+17,0.238,-0.0397
1506.8300,5000,1.000e+17,33.0,-7.96
1506.8300,10000,1.000e+17,23.6,-6.28
1506.8300,20000,1.000e+17,18.3,-5.9
1506.8300,30000,1.000e+17,16.8,-5.61
1506.8300,40000,1.000e+17,16.3,-5.05
1506.8300,70000,1.000e+17,15.6,-3.58
111.7800,5000,1.000e+17,0.0157,0.00206
111.7800,10000,1.000e+17,0.0108,0.00161
111.7800,20000,1.000e+17,0.00742,0.00139
111.7800,30000,1.000e+17,0.0062,0.00136
111.7800,40000,1.000e+17,0.00556,0.00142
111.7800,70000,1.000e+17,0.00506,0.00186
122.2900,5000,1.000e+17,0.0312,0.0122
122.2900,10000,1.000e+17,0.0216,0.00901
122.2900,20000,1.000e+17,0.0152,0.00695
122.2900,30000,1.000e+17,0.0126,0.00632
122.2900,40000,1.000e+17,0.0113,0.00623
122.2900,70000,1.000e+17,0.00976,0.00626
