transition,T_e,n_e,gamma_W,gamma_d
1018.9500,100000,1.000e+17,2.93,1.04
466.5500,100000,1.000e+17,0.707,0.449
196.6700,5000,1.000e+17,0.0273,-0.0039
196.6700,10000,1.000e+17,0.0395,-0.00716
196.6700,20000,1.000e+17,0.0467,-0.0108
196.6700,30000,1.000e+17,0.0503,-0.0126
196.6700,50000,1.000e+17,0.0538,-0.0148
196.6700,100000,1.000e+17,0.0564,-0.0177
294.1900,5000,1.000e+17,0.00802,0.00509
294.1900,10000,1.000e+17,0.015,0.00998
294.1900,20000,1.000e+17,0.0226,0.0152
294.1900,30000,1.000e+17,0.0255,0.0178
294.1900,50000,1.000e+17,0.0294,0.021
294.1900,100000,1.000e+17,0.0347,0.025
165.7400,5000,1.000e+17,0.0129,0.0104
165.7400,10000,1.000e+17,0.0237,0.0188
165.7400,20000,1.000e+17,0.0316,0.0273
165.7400,30000,1.000e+17,0.0362,0.0328
165.7400,50000,1.000e+17,0.0424,0.0395
165.7400,100000,1.000e+17,0.0506,0.0453
173.5800,5000,1.000e+17,0.0106,0.00175
173.5800,10000,1.000e+17,0.0161,0.00344
173.5800,20000,1.000e+17,0.0196,0.00524
173.5800,30000,1.000e+17,0.0212,0.00614
173.5800,50000,1.000e+17,0.0231,0.00723
173.5800,100000,1.000e+17,0.0247,0.00864
124.7100,100000,1.000e+17,0.0522,-0.0298
202.7900,5000,1.000e+17,0.00214,0.00194
202.7900,10000,1.000e+17,0.00458,0.00391
202.7900,20000,1.000e+17,0.00729,0.00598
202.7900,30000,1.000e+17,0.00881,0.00714
202.7900,50000,1.000e+17,0.0104,0.00839
202.7900,100000,1.000e+17,0.0127,0.0101
130.1500,5000,1.000e+17,0.0042,0.00412
130.1500,10000,1.000e+17,0.00757,0.00742
130.1500,20000,1.000e+17,0.0112,0.0103
130.1500,30000,1.000e+17,0.0131,0.0124
130.1500,50000,1.000e+17,0.0156,0.0147
130.1500,100000,1.000e+17,0.0186,0.017
113.0400,100000,1.000e+17,0.0417,0.0372
735.6900,5000,1.000e+17,0.42,0.153
735.6900,10000,1.000e+17,0.616,0.28
735.6900,20000,1.000e+17,0.751,0.393
735.6900,30000,1.000e+17,0.832,0.471
735.6900,50000,1.000e+17,0.913,0.557
735.6900,100000,1.000e+17,0.981,0.636
752.2400,5000,1.000e+17,0.406,0.16
752.2400,10000,1.000e+17,0.608,0.293
752.2400,20000,1.000e+17,0.745,0.411
752.2400,30000,1.000e+17,0.826,0.493
752.2400,50000,1.000e+17,0.912,0.583
752.2400,100000,1.000e+17,0.985,0.666
784.3100,5000,1.000e+17,0.446,0.11
784.3100,10000,1.000e+17,0.647,0.194
784.3100,20000,1.000e+17,0.774,0.275
784.3100,30000,1.000e+17,0.837,0.327
784.3100,50000,1.000e+17,0.905,0.387
784.3100,100000,1.000e+17,0.958,0.452
702.9800,5000,1.000e+17,0.322,-0.0637
702.9800,10000,1.000e+17,0.471,-0.116
702.9800,20000,1.000e+17,0.559,-0.167
702.9800,30000,1.000e+17,0.604,-0.197
702.9800,50000,1.000e+17,0.651,-0.234
702.9800,100000,1.000e+17,0.693,-0.274
158.6500,5000,1.000e+17,0.00207,-2.93e-05
158.6500,10000,1.000e+17,0.00373,-7.33e-05
158.6500,20000,1.000e+17,0.0053,-0.000152
158.6500,30000,1.000e+17,0.00589,-0.000214
158.6500,50000,1.000e+17,0.00646,-0.000302
158.6500,100000,1.000e+17,0.0072,-0.000416
91.1000,5000,1.000e+17,0.00609,0.00173
91.1000,10000,1.000e+17,0.00888,0.00309
91.1000,20000,1.000e+17,0.0107,0.00436
91.1000,30000,1.000e+17,0.0116,0.00514
91.1000,50000,1.000e+17,0.0126,0.00608
91.1000,100000,1.000e+17,0.0136,0.00709
