transition,T_e,n_e,gamma_W,gamma_d
299.8800,20000,1.000e+17,0.0224,-0.00402
299.8800,50000,1.000e+17,0.027,-0.00627
299.8800,100000,1.000e+17,0.0301,-0.00751
299.8800,200000,1.000e+17,0.0317,-0.00892
299.8800,300000,1.000e+17,0.0323,-0.00977
299.8800,500000,1.000e+17,0.0331,-0.0109
407.3700,20000,1.000e+17,0.139,-0.0845
407.3700,50000,1.000e+17,0.175,-0.118
407.3700,100000,1.000e+17,0.196,-0.137
407.3700,200000,1.000e+17,0.216,-0.159
407.3700,300000,1.000e+17,0.235,-0.169
407.3700,500000,1.000e+17,0.255,-0.195
177.5600,20000,1.000e+17,0.0317,0.0199
177.5600,50000,1.000e+17,0.0395,0.0281
177.5600,100000,1.000e+17,0.0459,0.033
177.5600,200000,1.000e+17,0.0502,0.0369
177.5600,300000,1.000e+17,0.0505,0.039
177.5600,500000,1.000e+17,0.061,0.0444
593.5200,20000,1.000e+17,0.112,-0.0142
593.5200,50000,1.000e+17,0.133,-0.0224
593.5200,100000,1.000e+17,0.146,-0.0269
593.5200,200000,1.000e+17,0.153,-0.0319
593.5200,300000,1.000e+17,0.156,-0.0353
593.5200,500000,1.000e+17,0.159,-0.0388
203.9300,20000,1.000e+17,0.0385,-0.00686
203.9300,50000,1.000e+17,0.0448,-0.00952
203.9300,100000,1.000e+17,0.047,-0.0113
203.9300,200000,1.000e+17,0.0484,-0.0132
203.9300,300000,1.000e+17,0.0496,-0.0142
203.9300,500000,1.000e+17,0.0496,-0.0153
6343.9300,20000,1.000e+17,57.4,-36.1
6343.9300,50000,1.000e+17,72.5,-51.9
6343.9300,100000,1.000e+17,79.7,-58.7
6343.9300,200000,1.000e+17,89.3,-67.4
6343.9300,300000,1.000e+17,98.9,-71.6
6343.9300,500000,1.000e+17,104.0,-79.9
145.8700,20000,1.000e+17,0.00242,0.000746
145.8700,50000,1.000e+17,0.00327,0.00119
145.8700,100000,1.000e+17,0.00373,0.00143
145.8700,200000,1.000e+17,0.00415,0.00171
145.8700,300000,1.000e+17,0.00425,0.00189
145.8700,500000,1.000e+17,0.00444,0.00205
149.7000,20000,1.000e+17,0.00137,0.00157
149.7000,50000,1.000e+17,0.00247,0.00236
149.7000,100000,1.000e+17,0.00315,0.00285
149.7000,200000,1.000e+17,0.00382,0.00338
149.7000,300000,1.000e+17,0.00421,0.00365
149.7000,500000,1.000e+17,0.0047,0.0041
91.4500,20000,1.000e+17,0.00233,0.00244
91.4500,50000,1.000e+17,0.00336,0.00336
91.4500,100000,1.000e+17,0.00426,0.00393
91.4500,200000,1.000e+17,0.00495,0.00451
91.4500,300000,1.000e+17,0.00573,0.00489
91.4500,500000,1.000e+17,0.0059,0.00545
166.4500,20000,1.000e+17,0.000975,-7.73e-05
166.4500,50000,1.000e+17,0.00156,-0.000168
166.4500,100000,1.000e+17,0.00182,-0.000243
166.4500,200000,1.000e+17,0.00204,-0.000315
166.4500,300000,1.000e+17,0.00215,-0.000351
166.4500,500000,1.000e+17,0.00222,-0.0004
68.7400,20000,1.000e+17,0.00129,-4.94e-05
68.7400,50000,1.000e+17,0.00153,-8.9e-05
68.7400,100000,1.000e+17,0.0017,-0.000121
68.7400,200000,1.000e+17,0.00178,-0.000144
68.7400,300000,1.000e+17,0.00182,-0.00016
68.7400,500000,1.000e+17,0.00185,-0.000181
56.2800,20000,1.000e+17,0.00283,-0.00047
56.2800,50000,1.000e+17,0.00328,-0.000658
56.2800,100000,1.000e+17,0.00344,-0.000787
56.2800,200000,1.000e+17,0.00359,-0.000909
56.2800,300000,1.000e+17,0.00364,-0.000985
56.2800,500000,1.000e+17,0.0037,-0.0011
417.4600,20000,1.000e+17,0.0675,0.0512
417.4600,50000,1.000e+17,0.0885,0.0706
417.4600,100000,1.000e+17,0.106,0.0828
417.4600,200000,1.000e+17,0.119,0.0951
417.4600,300000,1.000e+17,0.134,0.102
417.4600,500000,1.000e+17,0.137,0.115
537.6200,20000,1.000e+17,0.0803,-0.0215
537.6200,50000,1.000e+17,0.0967,-0.0321
537.6200,100000,1.000e+17,0.108,-0.0386
537.6200,200000,1.000e+17,0.114,-0.046
537.6200,300000,1.000e+17,0.118,-0.0498
537.6200,500000,1.000e+17,0.122,-0.055
196.9000,20000,1.000e+17,0.0348,-0.0073
196.9000,50000,1.000e+17,0.0405,-0.01
196.9000,100000,1.000e+17,0.0426,-0.012
196.9000,200000,1.000e+17,0.0437,-0.0139
196.9000,300000,1.000e+17,0.0447,-0.0152
196.9000,500000,1.000e+17,0.0461,-0.0162
1214.6800,20000,1.000e+17,1.38,-0.531
1214.6800,50000,1.000e+17,1.64,-0.743
1214.6800,100000,1.000e+17,1.78,-0.875
1214.6800,200000,1.000e+17,1.88,-0.993
1214.6800,300000,1.000e+17,1.99,-1.1
1214.6800,500000,1.000e+17,2.07,-1.16
