transition,T_e,n_e,gamma_W,gamma_d
1174.5000,2500,1.000e+17,0.742,0.188
1174.5000,5000,1.000e+17,0.823,0.249
1174.5000,10000,1.000e+17,0.86,0.307
1174.5000,20000,1.000e+17,0.885,0.364
1174.5000,30000,1.000e+17,0.899,0.397
1174.5000,80000,1.000e+17,0.936,0.483
1249.2000,5000,1.000e+17,1.23,0.667
1249.2000,10000,1.000e+17,1.37,0.9
1249.2000,20000,1.000e+17,1.51,1.12
1249.2000,30000,1.000e+17,1.6,1.24
1249.2000,80000,1.000e+17,1.84,1.55
767.6200,2500,1.000e+17,0.246,0.056
767.6200,5000,1.000e+17,0.265,0.0711
767.6200,10000,1.000e+17,0.274,0.0857
767.6200,20000,1.000e+17,0.279,0.1
767.6200,30000,1.000e+17,0.282,0.109
767.6200,80000,1.000e+17,0.29,0.132
404.5200,80000,1.000e+17,0.437,0.223
