transition,T_e,n_e,gamma_W,gamma_d
26.0300,200000,1.000e+17,2.55e-05,5.56e-06
26.0300,500000,1.000e+17,4.55e-05,1.13e-05
26.0300,1000000,1.000e+17,5.72e-05,1.6e-05
26.0300,2000000,1.000e+17,6.52e-05,2e-05
26.0300,3000000,1.000e+17,6.98e-05,2.25e-05
26.0300,5000000,1.000e+17,7.38e-05,2.57e-05
15.7000,200000,1.000e+17,3.75e-05,9.66e-06
15.7000,500000,1.000e+17,5.4e-05,1.6e-05
15.7000,1000000,1.000e+17,6.17e-05,2.01e-05
15.7000,2000000,1.000e+17,6.89e-05,2.42e-05
15.7000,3000000,1.000e+17,7.16e-05,2.68e-05
15.7000,5000000,1.000e+17,7.47e-05,2.95e-05
46.4300,200000,1.000e+17,1.29e-05,-1.81e-06
46.4300,500000,1.000e+17,3.24e-05,-4.42e-06
46.4300,1000000,1.000e+17,4.83e-05,-7.7e-06
46.4300,2000000,1.000e+17,6.13e-05,-1.13e-05
46.4300,3000000,1.000e+17,6.62e-05,-1.38e-05
46.4300,5000000,1.000e+17,7.21e-05,-1.6e-05
14.7600,200000,1.000e+17,7.93e-06,5.82e-06
14.7600,500000,1.000e+17,1.52e-05,9.94e-06
14.7600,1000000,1.000e+17,1.99e-05,1.32e-05
14.7600,2000000,1.000e+17,2.39e-05,1.58e-05
14.7600,3000000,1.000e+17,2.65e-05,1.76e-05
14.7600,5000000,1.000e+17,2.9e-05,1.95e-05
18.5400,200000,1.000e+17,3.89e-06,1e-05
18.5400,500000,1.000e+17,1.16e-05,1.71e-05
18.5400,1000000,1.000e+17,2.05e-05,2.23e-05
18.5400,2000000,1.000e+17,2.69e-05,2.67e-05
18.5400,3000000,1.000e+17,3.06e-05,2.95e-05
18.5400,5000000,1.000e+17,3.63e-05,3.34e-05
11.2400,200000,1.000e+17,2.08e-05,1.73e-05
11.2400,500000,1.000e+17,3.28e-05,2.5e-05
11.2400,1000000,1.000e+17,4.02e-05,3.02e-05
11.2400,2000000,1.000e+17,4.79e-05,3.57e-05
11.2400,3000000,1.000e+17,5.21e-05,3.85e-05
11.2400,5000000,1.000e+17,5.72e-05,4.28e-05
12.1500,200000,1.000e+17,1.13e-05,1.88e-05
12.1500,500000,1.000e+17,2.4e-05,2.73e-05
12.1500,1000000,1.000e+17,3.19e-05,3.27e-05
12.1500,2000000,1.000e+17,4.07e-05,3.89e-05
12.1500,3000000,1.000e+17,4.57e-05,4.27e-05
12.1500,5000000,1.000e+17,5.16e-05,4.63e-05
9.9600,200000,1.000e+17,5.14e-05,4.17e-05
9.9600,500000,1.000e+17,6.91e-05,5.36e-05
9.9600,1000000,1.000e+17,8.35e-05,6.38e-05
9.9600,2000000,1.000e+17,9.47e-05,7.35e-05
9.9600,3000000,1.000e+17,0.000102,8.02e-05
9.9600,5000000,1.000e+17,0.000112,8.67e-05
10.3400,200000,1.000e+17,2.94e-05,4.05e-05
10.3400,500000,1.000e+17,5.03e-05,5.25e-05
10.3400,1000000,1.000e+17,6.4e-05,6.25e-05
10.3400,2000000,1.000e+17,7.83e-05,7.17e-05
10.3400,3000000,1.000e+17,8.67e-05,7.84e-05
10.3400,5000000,1.000e+17,9.76e-05,8.58e-05
9.3300,200000,1.000e+17,0.000103,8.26e-05
9.3300,500000,1.000e+17,0.000135,0.000106
9.3300,1000000,1.000e+17,0.000154,0.000122
9.3300,2000000,1.000e+17,0.000183,0.000139
9.3300,3000000,1.000e+17,0.000194,0.00015
9.3300,5000000,1.000e+17,0.000209,0.00016
9.5300,200000,1.000e+17,6.97e-05,7.82e-05
9.5300,500000,1.000e+17,0.0001,9.97e-05
9.5300,1000000,1.000e+17,0.000127,0.000117
9.5300,2000000,1.000e+17,0.000143,0.000135
9.5300,3000000,1.000e+17,0.000164,0.000146
9.5300,5000000,1.000e+17,0.000184,0.000153
62.6300,200000,1.000e+17,1.26e-05,-1.01e-05
62.6300,500000,1.000e+17,3.64e-05,-2.31e-05
62.6300,1000000,1.000e+17,5.96e-05,-3.64e-05
62.6300,2000000,1.000e+17,8.45e-05,-5.01e-05
62.6300,3000000,1.000e+17,9.34e-05,-5.6e-05
62.6300,5000000,1.000e+17,0.000106,-6.45e-05
13.1700,200000,1.000e+17,5.97e-06,8.58e-07
13.1700,500000,1.000e+17,1.07e-05,1.83e-06
13.1700,1000000,1.000e+17,1.37e-05,2.69e-06
13.1700,2000000,1.000e+17,1.55e-05,3.58e-06
13.1700,3000000,1.000e+17,1.66e-05,3.99e-06
13.1700,5000000,1.000e+17,1.75e-05,4.54e-06
9.8800,200000,1.000e+17,1.45e-05,3.58e-06
9.8800,500000,1.000e+17,2.1e-05,5.98e-06
9.8800,1000000,1.000e+17,2.4e-05,7.57e-06
9.8800,2000000,1.000e+17,2.67e-05,9.12e-06
9.8800,3000000,1.000e+17,2.76e-05,1e-05
9.8800,5000000,1.000e+17,2.87e-05,1.12e-05
57.1300,200000,1.000e+17,0.000548,4.77e-05
57.1300,500000,1.000e+17,0.000771,8.95e-05
57.1300,1000000,1.000e+17,0.000873,0.000123
57.1300,2000000,1.000e+17,0.000964,0.000149
57.1300,3000000,1.000e+17,0.000993,0.000166
57.1300,5000000,1.000e+17,0.00103,0.000188
128.6400,200000,1.000e+17,0.00103,0.000339
128.6400,500000,1.000e+17,0.00172,0.000598
128.6400,1000000,1.000e+17,0.00206,0.000816
128.6400,2000000,1.000e+17,0.00235,0.000978
128.6400,3000000,1.000e+17,0.00253,0.00108
128.6400,5000000,1.000e+17,0.00266,0.00122
34.5000,200000,1.000e+17,0.000214,0.000159
34.5000,500000,1.000e+17,0.000326,0.000229
34.5000,1000000,1.000e+17,0.000393,0.000276
34.5000,2000000,1.000e+17,0.000463,0.000327
34.5000,3000000,1.000e+17,0.000504,0.000355
34.5000,5000000,1.000e+17,0.00054,0.000392
44.6900,200000,1.000e+17,0.000175,0.000246
44.6900,500000,1.000e+17,0.000345,0.000359
44.6900,1000000,1.000e+17,0.00045,0.000432
44.6900,2000000,1.000e+17,0.00056,0.000515
44.6900,3000000,1.000e+17,0.000611,0.000558
44.6900,5000000,1.000e+17,0.0007,0.000617
24.7500,200000,1.000e+17,0.000324,0.000255
24.7500,500000,1.000e+17,0.000431,0.000328
24.7500,1000000,1.000e+17,0.000522,0.000393
24.7500,2000000,1.000e+17,0.000588,0.000451
24.7500,3000000,1.000e+17,0.000625,0.000488
24.7500,5000000,1.000e+17,0.000689,0.000531
27.2300,200000,1.000e+17,0.000207,0.000279
27.2300,500000,1.000e+17,0.000351,0.000361
27.2300,1000000,1.000e+17,0.000443,0.000431
27.2300,2000000,1.000e+17,0.000546,0.000492
27.2300,3000000,1.000e+17,0.000597,0.00054
27.2300,5000000,1.000e+17,0.000665,0.000591
21.1700,200000,1.000e+17,0.000532,0.000425
21.1700,500000,1.000e+17,0.000697,0.000543
21.1700,1000000,1.000e+17,0.000797,0.000627
21.1700,2000000,1.000e+17,0.000945,0.000712
21.1700,3000000,1.000e+17,0.001,0.000774
21.1700,5000000,1.000e+17,0.00107,0.000822
22.2300,200000,1.000e+17,0.00038,0.000425
22.2300,500000,1.000e+17,0.000545,0.000542
22.2300,1000000,1.000e+17,0.000691,0.000635
22.2300,2000000,1.000e+17,0.000778,0.00073
22.2300,3000000,1.000e+17,0.00089,0.000793
22.2300,5000000,1.000e+17,0.00101,0.000835
165.7900,200000,1.000e+17,0.001,-0.000636
165.7900,500000,1.000e+17,0.00188,-0.0011
165.7900,1000000,1.000e+17,0.00245,-0.00149
165.7900,2000000,1.000e+17,0.00291,-0.00178
165.7900,3000000,1.000e+17,0.00317,-0.00197
165.7900,5000000,1.000e+17,0.00351,-0.00224
31.9400,200000,1.000e+17,0.000151,1.2e-05
31.9400,500000,1.000e+17,0.000216,2.33e-05
31.9400,1000000,1.000e+17,0.000245,3.23e-05
31.9400,2000000,1.000e+17,0.000271,3.98e-05
31.9400,3000000,1.000e+17,0.000279,4.4e-05
31.9400,5000000,1.000e+17,0.000289,4.98e-05
269.3800,200000,1.000e+17,0.0186,0.00826
269.3800,500000,1.000e+17,0.0252,0.0121
269.3800,1000000,1.000e+17,0.0292,0.0145
269.3800,2000000,1.000e+17,0.0326,0.0172
269.3800,3000000,1.000e+17,0.0341,0.0185
269.3800,5000000,1.000e+17,0.0363,0.0204
66.0900,200000,1.000e+17,0.00249,0.00176
66.0900,500000,1.000e+17,0.00323,0.00227
66.0900,1000000,1.000e+17,0.00383,0.00272
66.0900,2000000,1.000e+17,0.00432,0.00312
66.0900,3000000,1.000e+17,0.00455,0.00333
66.0900,5000000,1.000e+17,0.00504,0.00365
87.3100,200000,1.000e+17,0.00243,0.00276
87.3100,500000,1.000e+17,0.00378,0.00359
87.3100,1000000,1.000e+17,0.00468,0.00427
87.3100,2000000,1.000e+17,0.00564,0.00497
87.3100,3000000,1.000e+17,0.0061,0.00529
87.3100,5000000,1.000e+17,0.00707,0.00585
45.5300,200000,1.000e+17,0.00251,0.00194
45.5300,500000,1.000e+17,0.00327,0.00249
45.5300,1000000,1.000e+17,0.00373,0.00286
45.5300,2000000,1.000e+17,0.00444,0.0033
45.5300,3000000,1.000e+17,0.00466,0.00357
45.5300,5000000,1.000e+17,0.00499,0.00375
50.7200,200000,1.000e+17,0.00201,0.00218
50.7200,500000,1.000e+17,0.00284,0.00279
50.7200,1000000,1.000e+17,0.00358,0.00328
50.7200,2000000,1.000e+17,0.00405,0.00373
50.7200,3000000,1.000e+17,0.00457,0.0041
50.7200,5000000,1.000e+17,0.00525,0.00431
344.8300,200000,1.000e+17,0.0192,-0.0123
344.8300,500000,1.000e+17,0.029,-0.0182
344.8300,1000000,1.000e+17,0.0346,-0.0218
344.8300,2000000,1.000e+17,0.0403,-0.0261
344.8300,3000000,1.000e+17,0.0432,-0.0283
344.8300,5000000,1.000e+17,0.0467,-0.031
