transition,T_e,n_e,gamma_W,gamma_d
335.9960,10000,1.000e+17,0.201,-0.074
335.9960,20000,1.000e+17,0.14,-0.058
335.9960,30000,1.000e+17,0.114,-0.051
335.9960,40000,1.000e+17,0.099,-0.047
335.9960,50000,1.000e+17,0.089,-0.045
335.9960,60000,1.000e+17,0.083,-0.044
335.9960,70000,1.000e+17,0.078,-0.042
331.9360,10000,1.000e+17,0.191,-0.068
331.9360,20000,1.000e+17,0.133,-0.05
331.9360,30000,1.000e+17,0.108,-0.041
331.9360,40000,1.000e+17,0.094,-0.035
331.9360,50000,1.000e+17,0.085,-0.032
331.9360,60000,1.000e+17,0.079,-0.03
331.9360,70000,1.000e+17,0.074,-0.028
292.4120,10000,1.000e+17,0.194,-0.057
292.4120,20000,1.000e+17,0.135,-0.044
292.4120,30000,1.000e+17,0.11,-0.039
292.4120,40000,1.000e+17,0.095,-0.038
292.4120,50000,1.000e+17,0.086,-0.037
292.4120,60000,1.000e+17,0.08,-0.036
292.4120,70000,1.000e+17,0.075,-0.037
352.5040,10000,1.000e+17,0.261,-0.044
352.5040,20000,1.000e+17,0.182,-0.032
352.5040,30000,1.000e+17,0.148,-0.025
352.5040,40000,1.000e+17,0.129,-0.022
352.5040,50000,1.000e+17,0.117,-0.02
352.5040,60000,1.000e+17,0.109,-0.018
352.5040,70000,1.000e+17,0.103,-0.017
329.3940,10000,1.000e+17,0.212,-0.033
329.3940,20000,1.000e+17,0.148,-0.024
329.3940,30000,1.000e+17,0.12,-0.02
329.3940,40000,1.000e+17,0.104,-0.016
329.3940,50000,1.000e+17,0.094,-0.015
329.3940,60000,1.000e+17,0.087,-0.014
329.3940,70000,1.000e+17,0.083,-0.013
