transition,T_e,n_e,gamma_W,gamma_d
29.4200,200000,1.000e+17,2.22e-05,3.96e-05
29.4200,500000,1.000e+17,5.19e-05,6.21e-05
29.4200,1000000,1.000e+17,7.61e-05,7.6e-05
29.4200,1500000,1.000e+17,8.76e-05,8.43e-05
29.4200,2000000,1.000e+17,9.56e-05,9.03e-05
29.4200,3000000,1.000e+17,0.000109,0.0001
18.4400,200000,1.000e+17,3.91e-05,5.92e-05
18.4400,500000,1.000e+17,7.48e-05,8.05e-05
18.4400,1000000,1.000e+17,9.56e-05,9.6e-05
18.4400,1500000,1.000e+17,0.00011,0.000105
18.4400,2000000,1.000e+17,0.000121,0.000112
18.4400,3000000,1.000e+17,0.000131,0.000119
66.5700,200000,1.000e+17,4.75e-05,-2.1e-05
66.5700,500000,1.000e+17,0.000103,-4.39e-05
66.5700,1000000,1.000e+17,0.000146,-6.33e-05
66.5700,1500000,1.000e+17,0.000161,-7.56e-05
66.5700,2000000,1.000e+17,0.000173,-8.14e-05
66.5700,3000000,1.000e+17,0.000187,-9.07e-05
18.2100,200000,1.000e+17,2.65e-05,6.39e-07
18.2100,500000,1.000e+17,4.01e-05,1.46e-06
18.2100,1000000,1.000e+17,4.55e-05,2.3e-06
18.2100,1500000,1.000e+17,4.86e-05,2.79e-06
18.2100,2000000,1.000e+17,5.07e-05,3.17e-06
18.2100,3000000,1.000e+17,5.28e-05,3.55e-06
69.7900,200000,1.000e+17,0.000716,0.000833
69.7900,500000,1.000e+17,0.00121,0.00114
69.7900,1000000,1.000e+17,0.0015,0.00135
69.7900,1500000,1.000e+17,0.00171,0.00149
69.7900,2000000,1.000e+17,0.00184,0.00158
69.7900,3000000,1.000e+17,0.00198,0.00169
169.2000,200000,1.000e+17,0.0024,-0.00117
169.2000,500000,1.000e+17,0.00373,-0.00186
169.2000,1000000,1.000e+17,0.00435,-0.0023
169.2000,1500000,1.000e+17,0.00472,-0.00254
169.2000,2000000,1.000e+17,0.00499,-0.00275
169.2000,3000000,1.000e+17,0.00534,-0.00303
