transition,T_e,n_e,gamma_W,gamma_d
403.5800,5000,1.000e+17,0.493,
403.5800,10000,1.000e+17,0.348,
403.5800,20000,1.000e+17,0.246,
403.5800,30000,1.000e+17,0.201,
403.5800,40000,1.000e+17,0.174,
403.5800,50000,1.000e+17,0.148,
379.4400,5000,1.000e+17,0.219,
379.4400,10000,1.000e+17,0.152,
379.4400,20000,1.000e+17,0.104,
379.4400,30000,1.000e+17,0.0853,
379.4400,40000,1.000e+17,0.0756,
379.4400,50000,1.000e+17,0.0707,
463.2000,5000,1.000e+17,0.336,
463.2000,10000,1.000e+17,0.232,
463.2000,20000,1.000e+17,0.16,
463.2000,30000,1.000e+17,0.131,
463.2000,40000,1.000e+17,0.116,
463.2000,50000,1.000e+17,0.109,
