transition,T_e,n_e,gamma_W,gamma_d
876.3700,5000,1.000e+17,5.56,
876.3700,10000,1.000e+17,3.88,
876.3700,20000,1.000e+17,2.78,
876.3700,30000,1.000e+17,2.38,
876.3700,40000,1.000e+17,2.2,
876.3700,50000,1.000e+17,2.1,
259.3200,5000,1.000e+17,0.231,
259.3200,10000,1.000e+17,0.161,
259.3200,20000,1.000e+17,0.115,
259.3200,30000,1.000e+17,0.0978,
259.3200,40000,1.000e+17,0.0889,
259.3200,50000,1.000e+17,0.0839,
261.3100,5000,1.000e+17,0.453,
261.3100,10000,1.000e+17,0.317,
261.3100,20000,1.000e+17,0.226,
261.3100,30000,1.000e+17,0.191,
261.3100,40000,1.000e+17,0.173,
261.3100,50000,1.000e+17,0.162,
328.0100,5000,1.000e+17,0.26,
328.0100,10000,1.000e+17,0.182,
328.0100,20000,1.000e+17,0.126,
328.0100,30000,1.000e+17,0.103,
328.0100,40000,1.000e+17,0.0892,
328.0100,50000,1.000e+17,0.0807,
124.2800,5000,1.000e+17,0.105,
124.2800,10000,1.000e+17,0.0734,
124.2800,20000,1.000e+17,0.0522,
124.2800,30000,1.000e+17,0.044,
124.2800,40000,1.000e+17,0.04,
124.2800,50000,1.000e+17,0.0376,
854.3900,5000,1.000e+17,7.47,
854.3900,10000,1.000e+17,5.22,
854.3900,20000,1.000e+17,3.74,
854.3900,30000,1.000e+17,3.2,
854.3900,40000,1.000e+17,2.95,
854.3900,50000,1.000e+17,2.81,
