transition,T_e,n_e,gamma_W,gamma_d
610.5300,30000,1.000e+17,0.913,-0.696
610.5300,40000,1.000e+17,0.955,-0.753
812.8700,2500,1.000e+17,0.425,0.191
812.8700,5000,1.000e+17,0.488,0.3
812.8700,10000,1.000e+17,0.546,0.397
812.8700,20000,1.000e+17,0.61,0.488
812.8700,30000,1.000e+17,0.65,0.541
812.8700,40000,1.000e+17,0.68,0.578
670.9600,2500,1.000e+17,0.107,-0.0122
670.9600,5000,1.000e+17,0.111,-0.0144
670.9600,10000,1.000e+17,0.112,-0.0166
670.9600,20000,1.000e+17,0.113,-0.019
670.9600,30000,1.000e+17,0.113,-0.0205
670.9600,40000,1.000e+17,0.113,-0.0216
