transition,T_e,n_e,gamma_W,gamma_d
168.1700,5000,1.000e+17,0.0225,0.0159
168.1700,10000,1.000e+17,0.0382,0.0282
168.1700,20000,1.000e+17,0.0503,0.0418
168.1700,40000,1.000e+17,0.0625,0.0558
175.5300,5000,1.000e+17,0.015,0.013
175.5300,10000,1.000e+17,0.0281,0.0238
175.5300,20000,1.000e+17,0.038,0.034
175.5300,40000,1.000e+17,0.0488,0.0447
149.3000,5000,1.000e+17,0.00647,-0.00503
149.3000,10000,1.000e+17,0.0111,-0.00891
149.3000,20000,1.000e+17,0.0158,-0.0127
149.3000,40000,1.000e+17,0.0197,-0.0163
165.3100,5000,1.000e+17,0.00777,0.00809
165.3100,10000,1.000e+17,0.0142,0.0145
165.3100,20000,1.000e+17,0.0217,0.0202
165.3100,40000,1.000e+17,0.0281,0.0264
958.4100,5000,1.000e+17,0.0295,-0.0447
958.4100,10000,1.000e+17,0.0768,-0.0923
958.4100,20000,1.000e+17,0.134,-0.141
958.4100,40000,1.000e+17,0.198,-0.185
548.6100,5000,1.000e+17,0.00557,-0.00693
548.6100,10000,1.000e+17,0.0142,-0.0152
548.6100,20000,1.000e+17,0.026,-0.0247
548.6100,40000,1.000e+17,0.0408,-0.0349
119.8100,5000,1.000e+17,0.0066,0.00421
119.8100,10000,1.000e+17,0.0109,0.00754
119.8100,20000,1.000e+17,0.0142,0.0105
119.8100,40000,1.000e+17,0.0177,0.0138
5738.8800,5000,1.000e+17,22.0,-13.3
5738.8800,10000,1.000e+17,36.8,-24.6
5738.8800,20000,1.000e+17,46.9,-34.7
5738.8800,40000,1.000e+17,57.8,-46.0
19.9300,5000,1.000e+17,8.46e-06,-3.58e-06
19.9300,10000,1.000e+17,1.94e-05,-8.49e-06
19.9300,20000,1.000e+17,3.28e-05,-1.54e-05
19.9300,40000,1.000e+17,4.65e-05,-2.23e-06
