transition,T_e,n_e,gamma_W,gamma_d
100.1200,10000,1.000e+17,0.0157,
100.1200,20000,1.000e+17,0.0111,
100.1200,50000,1.000e+17,0.00702,
100.1200,100000,1.000e+17,0.006,
305.8800,10000,1.000e+17,0.157,
305.8800,20000,1.000e+17,0.111,
305.8800,50000,1.000e+17,0.0703,
305.8800,100000,1.000e+17,0.0514,
256.4300,10000,1.000e+17,0.114,
256.4300,20000,1.000e+17,0.0809,
256.4300,50000,1.000e+17,0.0512,
256.4300,100000,1.000e+17,0.0368,
105.6500,10000,1.000e+17,0.0644,
105.6500,20000,1.000e+17,0.0456,
105.6500,50000,1.000e+17,0.0324,
105.6500,100000,1.000e+17,0.0287,
102.9800,10000,1.000e+17,0.0626,
102.9800,20000,1.000e+17,0.0443,
102.9800,50000,1.000e+17,0.0302,
102.9800,100000,1.000e+17,0.0266,
103.1500,10000,1.000e+17,0.0167,
103.1500,20000,1.000e+17,0.0118,
103.1500,50000,1.000e+17,0.00747,
103.1500,100000,1.000e+17,0.00638,
103.0300,10000,1.000e+17,0.0167,
103.0300,20000,1.000e+17,0.0118,
103.0300,50000,1.000e+17,0.00748,
103.0300,100000,1.000e+17,0.0064,
277.3400,10000,1.000e+17,0.134,
277.3400,20000,1.000e+17,0.0949,
277.3400,50000,1.000e+17,0.06,
277.3400,100000,1.000e+17,0.0431,
106.2000,10000,1.000e+17,0.0666,
106.2000,20000,1.000e+17,0.0471,
106.2000,50000,1.000e+17,0.0321,
106.2000,100000,1.000e+17,0.0283,
587.1300,10000,1.000e+17,1.42,
587.1300,20000,1.000e+17,1.0,
587.1300,50000,1.000e+17,0.669,
587.1300,100000,1.000e+17,0.63,
575.0300,10000,1.000e+17,1.35,
575.0300,20000,1.000e+17,0.953,
575.0300,50000,1.000e+17,0.636,
575.0300,100000,1.000e+17,0.601,
578.8100,10000,1.000e+17,1.37,
578.8100,20000,1.000e+17,0.966,
578.8100,50000,1.000e+17,0.645,
578.8100,100000,1.000e+17,0.609,
753.6400,10000,1.000e+17,1.4,
753.6400,20000,1.000e+17,0.988,
753.6400,50000,1.000e+17,0.625,
753.6400,100000,1.000e+17,0.512,
801.0900,10000,1.000e+17,1.58,
801.0900,20000,1.000e+17,1.11,
801.0900,50000,1.000e+17,0.705,
801.0900,100000,1.000e+17,0.579,
793.8700,10000,1.000e+17,1.55,
793.8700,20000,1.000e+17,1.1,
793.8700,50000,1.000e+17,0.693,
793.8700,100000,1.000e+17,0.57,
185.4600,10000,1.000e+17,0.0986,
185.4600,20000,1.000e+17,0.0698,
185.4600,50000,1.000e+17,0.0441,
185.4600,100000,1.000e+17,0.0325,
207.1200,10000,1.000e+17,0.112,
207.1200,20000,1.000e+17,0.079,
207.1200,50000,1.000e+17,0.0554,
207.1200,100000,1.000e+17,0.0472,
210.0100,10000,1.000e+17,0.0129,
210.0100,20000,1.000e+17,0.0912,
210.0100,50000,1.000e+17,0.0577,
210.0100,100000,1.000e+17,0.0421,
206.6000,10000,1.000e+17,0.127,
206.6000,20000,1.000e+17,0.0897,
206.6000,50000,1.000e+17,0.0567,
206.6000,100000,1.000e+17,0.0415,
238.2300,10000,1.000e+17,0.152,
238.2300,20000,1.000e+17,0.107,
238.2300,50000,1.000e+17,0.075,
238.2300,100000,1.000e+17,0.0635,
260.4100,10000,1.000e+17,0.144,
260.4100,20000,1.000e+17,0.102,
260.4100,50000,1.000e+17,0.0643,
260.4100,100000,1.000e+17,0.0471,
223.6900,10000,1.000e+17,0.109,
223.6900,20000,1.000e+17,0.0771,
223.6900,50000,1.000e+17,0.0488,
223.6900,100000,1.000e+17,0.0352,
99.6400,10000,1.000e+17,0.062,
99.6400,20000,1.000e+17,0.0438,
99.6400,50000,1.000e+17,0.031,
99.6400,100000,1.000e+17,0.0271,
97.2700,10000,1.000e+17,0.06,
97.2700,20000,1.000e+17,0.0424,
97.2700,50000,1.000e+17,0.0288,
97.2700,100000,1.000e+17,0.0251,
449.1300,10000,1.000e+17,1.05,
449.1300,20000,1.000e+17,0.744,
449.1300,50000,1.000e+17,0.511,
449.1300,100000,1.000e+17,0.471,
504.7500,10000,1.000e+17,1.48,
504.7500,20000,1.000e+17,1.05,
504.7500,50000,1.000e+17,0.711,
504.7500,100000,1.000e+17,0.654,
495.7800,10000,1.000e+17,1.41,
495.7800,20000,1.000e+17,0.994,
495.7800,50000,1.000e+17,0.674,
495.7800,100000,1.000e+17,0.621,
