transition,T_e,n_e,gamma_W,gamma_d
880.9200,20000,1.000e+17,0.501,0.134
880.9200,30000,1.000e+17,0.506,0.147
880.9200,50000,1.000e+17,0.511,0.164
1183.2000,5000,1.000e+17,0.484,0.222
1183.2000,10000,1.000e+17,0.523,0.288
1183.2000,20000,1.000e+17,0.559,0.351
1183.2000,30000,1.000e+17,0.582,0.387
1183.2000,50000,1.000e+17,0.613,0.433
517.9600,2500,1.000e+17,0.0631,0.0297
517.9600,5000,1.000e+17,0.0719,0.0447
517.9600,10000,1.000e+17,0.0802,0.0582
517.9600,20000,1.000e+17,0.0891,0.071
517.9600,30000,1.000e+17,0.0949,0.0785
517.9600,50000,1.000e+17,0.103,0.0879
285.3000,2500,1.000e+17,0.0213,0.00505
285.3000,5000,1.000e+17,0.0235,0.00662
285.3000,10000,1.000e+17,0.0245,0.00811
285.3000,20000,1.000e+17,0.0252,0.00958
285.3000,30000,1.000e+17,0.0255,0.0105
285.3000,50000,1.000e+17,0.0259,0.0116
