transition,T_e,n_e,gamma_W,gamma_d
448.2700,20000,1.000e+17,0.305,-0.237
448.2700,50000,1.000e+17,0.378,-0.309
448.2700,100000,1.000e+17,0.416,-0.335
448.2700,150000,1.000e+17,0.47,-0.39
1093.1000,5000,1.000e+17,0.584,-0.0232
1093.1000,10000,1.000e+17,0.704,-0.0406
1093.1000,20000,1.000e+17,0.8,-0.0594
1093.1000,50000,1.000e+17,0.872,-0.0781
1093.1000,100000,1.000e+17,0.0892,-0.0935
1093.1000,150000,1.000e+17,0.0912,-0.102
385.0200,50000,1.000e+17,0.307,-0.0352
385.0200,100000,1.000e+17,0.316,-0.0413
385.0200,150000,1.000e+17,0.318,-0.0448
279.6300,5000,1.000e+17,0.0123,0.00265
279.6300,10000,1.000e+17,0.0172,0.00433
279.6300,20000,1.000e+17,0.0198,0.00622
279.6300,50000,1.000e+17,0.0231,0.00606
279.6300,100000,1.000e+17,0.0244,0.00957
279.6300,150000,1.000e+17,0.0251,0.0103
173.6700,50000,1.000e+17,0.0774,0.0647
173.6700,100000,1.000e+17,0.0919,0.0711
173.6700,150000,1.000e+17,0.0945,0.0761
293.4700,5000,1.000e+17,0.00773,0.00764
293.4700,10000,1.000e+17,0.0129,0.0119
293.4700,20000,1.000e+17,0.0175,0.0157
293.4700,50000,1.000e+17,0.0233,0.0204
293.4700,100000,1.000e+17,0.0281,0.024
293.4700,150000,1.000e+17,0.0309,0.0261
175.2500,5000,1.000e+17,0.0133,0.0107
175.2500,10000,1.000e+17,0.0189,0.0155
175.2500,20000,1.000e+17,0.0242,0.0218
175.2500,50000,1.000e+17,0.0298,0.0281
175.2500,100000,1.000e+17,0.037,0.0325
175.2500,150000,1.000e+17,0.0397,0.0354
148.2200,100000,1.000e+17,0.0688,0.06
148.2200,150000,1.000e+17,0.0742,0.0667
279.8700,5000,1.000e+17,0.0038,-5.69e-05
279.8700,10000,1.000e+17,0.00588,-0.000126
279.8700,20000,1.000e+17,0.00772,-0.000242
279.8700,50000,1.000e+17,0.00906,-0.00042
279.8700,100000,1.000e+17,0.0099,-0.000564
279.8700,150000,1.000e+17,0.0101,-0.000628
124.0100,5000,1.000e+17,0.00654,0.000267
124.0100,10000,1.000e+17,0.00796,0.000475
124.0100,20000,1.000e+17,0.00906,0.000699
124.0100,50000,1.000e+17,0.00993,0.000925
124.0100,100000,1.000e+17,0.0103,0.0011
124.0100,150000,1.000e+17,0.0103,0.0012
102.6000,50000,1.000e+17,0.0761,-0.00227
102.6000,100000,1.000e+17,0.0218,-0.00228
102.6000,150000,1.000e+17,0.022,-0.00248
789.2100,50000,1.000e+17,1.65,1.33
789.2100,100000,1.000e+17,1.94,1.46
789.2100,150000,1.000e+17,2.0,1.56
823.0000,5000,1.000e+17,0.412,0.233
823.0000,10000,1.000e+17,0.531,0.338
823.0000,20000,1.000e+17,0.649,0.475
823.0000,50000,1.000e+17,0.758,0.606
823.0000,100000,1.000e+17,0.896,0.712
823.0000,150000,1.000e+17,0.959,0.766
443.3200,100000,1.000e+17,0.627,0.534
443.3200,150000,1.000e+17,0.671,0.594
922.9400,5000,1.000e+17,0.366,-0.0677
922.9400,10000,1.000e+17,0.447,-0.105
922.9400,20000,1.000e+17,0.512,-0.14
922.9400,50000,1.000e+17,0.563,-0.182
922.9400,100000,1.000e+17,0.596,-0.21
922.9400,150000,1.000e+17,0.611,-0.227
361.5400,50000,1.000e+17,0.266,-0.045
361.5400,100000,1.000e+17,0.27,-0.0509
361.5400,150000,1.000e+17,0.271,-0.056
