transition,T_e,n_e,gamma_W,gamma_d
217.8000,5000,1.000e+17,0.0567,
217.8000,10000,1.000e+17,0.0397,
217.8000,20000,1.000e+17,0.0277,
217.8000,30000,1.000e+17,0.0224,
217.8000,40000,1.000e+17,0.0193,
217.8000,50000,1.000e+17,0.0172,
213.4000,5000,1.000e+17,0.0551,
213.4000,10000,1.000e+17,0.0387,
213.4000,20000,1.000e+17,0.027,
213.4000,30000,1.000e+17,0.0218,
213.4000,40000,1.000e+17,0.0188,
213.4000,50000,1.000e+17,0.0168,
155.0000,5000,1.000e+17,0.0343,
155.0000,10000,1.000e+17,0.024,
155.0000,20000,1.000e+17,0.0168,
155.0000,30000,1.000e+17,0.0136,
155.0000,40000,1.000e+17,0.0117,
155.0000,50000,1.000e+17,0.0104,
207.2000,5000,1.000e+17,0.0484,
207.2000,10000,1.000e+17,0.0339,
207.2000,20000,1.000e+17,0.0237,
207.2000,30000,1.000e+17,0.0191,
207.2000,40000,1.000e+17,0.0165,
207.2000,50000,1.000e+17,0.0147,
189.3000,5000,1.000e+17,0.0392,
189.3000,10000,1.000e+17,0.0275,
189.3000,20000,1.000e+17,0.0192,
189.3000,30000,1.000e+17,0.0155,
189.3000,40000,1.000e+17,0.0134,
189.3000,50000,1.000e+17,0.0119,
243.4000,5000,1.000e+17,0.0631,
243.4000,10000,1.000e+17,0.0443,
243.4000,20000,1.000e+17,0.0309,
243.4000,30000,1.000e+17,0.025,
243.4000,40000,1.000e+17,0.0215,
243.4000,50000,1.000e+17,0.0192,
