transition,T_e,n_e,gamma_W,gamma_d
154.8100,10000,1.000e+17,0.0238,
154.8100,20000,1.000e+17,0.0169,
154.8100,40000,1.000e+17,0.0119,
154.8100,80000,1.000e+17,0.00843,
154.8100,160000,1.000e+17,0.00611,
191.1500,10000,1.000e+17,0.0314,
191.1500,20000,1.000e+17,0.0222,
191.1500,40000,1.000e+17,0.0157,
191.1500,80000,1.000e+17,0.0111,
191.1500,160000,1.000e+17,0.00828,
147.7800,10000,1.000e+17,0.0199,
147.7800,20000,1.000e+17,0.014,
147.7800,40000,1.000e+17,0.00993,
147.7800,80000,1.000e+17,0.00702,
147.7800,160000,1.000e+17,0.0052,
168.3000,10000,1.000e+17,0.0249,
168.3000,20000,1.000e+17,0.0176,
168.3000,40000,1.000e+17,0.0125,
168.3000,80000,1.000e+17,0.00882,
168.3000,160000,1.000e+17,0.00654,
